electorate,party,party_vote,candidate,candidate_vote,votes_counted,total_votes
Auckland Central,The Opportunities Party (TOP),776,"DELAMERE, Tuariki",320,100.0,36403
Auckland Central,TEA Party,35,"HOFFMAN DERVAN, Dominic",50,100.0,36403
Auckland Central,,,"LOVE, Joshua",73,100.0,36403
Auckland Central,New Zealand First Party,622,"MARCROFT, Jenny",274,100.0,36403
Auckland Central,National Party,7680,"MELLOW, Emma",9775,100.0,36403
Auckland Central,ACT New Zealand,2724,"POOLE, Felix",588,100.0,36403
Auckland Central,,,"SADLER, Chris",23,100.0,36403
Auckland Central,New Conservative,197,"STITT, Kevin",186,100.0,36403
Auckland Central,Green Party,6937,"SWARBRICK, Chlöe",12631,100.0,36403
Auckland Central,Sustainable New Zealand Party,59,"TAVA, Vernon",120,100.0,36403
Auckland Central,Labour Party,16751,"WHITE, Helen",11563,100.0,36403
Auckland Central,Advance NZ,198,,,100.0,36403
Auckland Central,Aotearoa Legalise Cannabis Party,99,,,100.0,36403
Auckland Central,HeartlandNZ,1,,,100.0,36403
Auckland Central,Māori Party,111,,,100.0,36403
Auckland Central,NZ Outdoors Party,15,,,100.0,36403
Auckland Central,ONE Party,20,,,100.0,36403
Auckland Central,Social Credit,7,,,100.0,36403
Auckland Central,Vision New Zealand,11,,,100.0,36403
Banks Peninsula,The Opportunities Party (TOP),1083,"ATKINSON, Ben",1518,100.0,49951
Banks Peninsula,National Party,10453,"CHU, Catherine",12237,100.0,49951
Banks Peninsula,ACT New Zealand,3478,"FOX, David",1715,100.0,49951
Banks Peninsula,New Conservative,626,"HONISS, Caleb",639,100.0,49951
Banks Peninsula,Labour Party,25091,"McLELLAN, Tracey Lee",25393,100.0,49951
Banks Peninsula,New Zealand First Party,991,"O'ROURKE, Denis",679,100.0,49951
Banks Peninsula,Green Party,7089,"SAGE, Eugenie",6222,100.0,49951
Banks Peninsula,Advance NZ,424,"WILLIAMS, Tiamara",506,100.0,49951
Banks Peninsula,Aotearoa Legalise Cannabis Party,133,,,100.0,49951
Banks Peninsula,HeartlandNZ,4,,,100.0,49951
Banks Peninsula,Māori Party,144,,,100.0,49951
Banks Peninsula,NZ Outdoors Party,37,,,100.0,49951
