10 East Coast Bays,Total Party Votes,"McCOOK, Michael John (ACT New Zealand)","JONES, Daniel Frank (Green Party)","HERNANDEZ, Monina (Labour Party)","STANFORD, Erica Louise (National Party)","WEBSTER, Matthew James (New Conservative)","KOEKEMOER, Marius Denyse (NZ Outdoors Party)","KRUGER, Susanna Susara (TEA Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3365,20.83,0.86,2.20,73.11,0.92,0.27,0.42,0.74,0.65,100.00
Advance NZ,237,6.75,12.66,5.91,28.69,21.10,11.39,2.11,8.44,2.95,100.00
Aotearoa Legalise Cannabis Party,83,2.41,25.30,32.53,20.48,1.20,9.64,1.20,7.23,0.00,100.00
Green Party,2353,0.55,39.74,42.24,14.75,0.13,0.34,0.21,0.93,1.10,100.00
HeartlandNZ,3,0.00,33.33,0.00,66.67,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,15372,1.21,7.21,65.24,22.76,0.31,0.26,0.31,1.95,0.76,100.00
Māori Party,65,7.69,23.08,32.31,24.62,4.62,4.62,0.00,3.08,0.00,100.00
National Party,14658,2.78,0.63,1.01,91.32,1.38,0.12,0.50,1.64,0.61,100.00
New Conservative,683,0.88,0.00,1.61,18.89,76.57,0.15,0.00,1.32,0.59,100.00
New Zealand First Party,657,4.72,6.70,30.14,44.44,5.18,2.44,1.22,4.41,0.76,100.00
NZ Outdoors Party,32,3.12,6.25,3.12,15.62,0.00,68.75,0.00,3.12,0.00,100.00
ONE Party,37,5.41,2.70,8.11,27.03,37.84,5.41,5.41,5.41,2.70,100.00
Social Credit,13,7.69,23.08,30.77,30.77,0.00,7.69,0.00,0.00,0.00,100.00
Sustainable New Zealand Party,29,3.45,27.59,3.45,55.17,0.00,6.90,0.00,3.45,0.00,100.00
TEA Party,161,1.24,0.00,3.73,13.66,0.62,1.24,71.43,7.45,0.62,100.00
The Opportunities Party (TOP),436,4.59,16.97,34.40,34.86,2.29,2.06,0.69,2.52,1.61,100.00
Vision New Zealand,11,0.00,27.27,27.27,18.18,9.09,9.09,0.00,0.00,9.09,100.00
Informal Party Votes,188,1.60,1.60,10.11,21.28,3.72,1.60,0.00,59.57,0.53,100.00
Total Party Votes and Percentages,38383,3.64,6.17,30.49,53.32,2.42,0.45,0.72,2.07,0.73,100.00
