18 Kaipara ki Mahurangi,Total Party Votes,"HOULBROOKE, Beth Patricia (ACT New Zealand)","BROWN, Antonio Zephyr (Green Party)","LUBECK, Maria Josina Elisabeth (Labour Party)","PENK, Christopher Aidan (National Party)","BERRY, Pauline Margaret (New Conservative)","STEELE, Brenda Marie (New Zealand First Party)","REEVES, Richard John (ONE Party)","NEYLON, Callan Ace (Social Credit)","FORD, David Anthony Robert (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,5158,25.05,0.74,3.35,68.03,0.52,0.68,0.02,0.19,0.33,0.39,0.70,100.00
Advance NZ,671,12.97,8.94,4.32,18.33,17.44,6.41,3.87,7.00,8.49,10.88,1.34,100.00
Aotearoa Legalise Cannabis Party,146,5.48,22.60,34.93,13.70,0.00,6.16,0.68,0.68,6.85,6.85,2.05,100.00
Green Party,2887,1.11,38.14,51.85,5.65,0.00,0.90,0.07,0.62,0.42,0.48,0.76,100.00
HeartlandNZ,7,0.00,14.29,0.00,28.57,0.00,28.57,0.00,0.00,14.29,14.29,0.00,100.00
Labour Party,18451,3.08,7.83,73.40,9.58,0.16,2.41,0.20,0.22,0.42,1.61,1.08,100.00
Māori Party,126,4.76,11.11,34.92,23.02,2.38,6.35,1.59,2.38,3.17,5.56,4.76,100.00
National Party,15547,5.44,0.46,0.83,89.94,0.68,0.66,0.15,0.14,0.17,0.96,0.57,100.00
New Conservative,682,1.76,0.15,1.03,37.83,54.55,0.29,0.73,0.29,0.88,0.73,1.76,100.00
New Zealand First Party,1181,4.40,2.12,19.98,23.20,0.76,43.52,1.10,1.02,1.10,1.61,1.19,100.00
NZ Outdoors Party,59,18.64,10.17,16.95,22.03,8.47,8.47,0.00,3.39,3.39,8.47,0.00,100.00
ONE Party,142,0.70,0.00,1.41,30.99,2.11,0.70,61.27,0.00,0.00,1.41,1.41,100.00
Social Credit,41,0.00,0.00,21.95,19.51,0.00,0.00,0.00,53.66,2.44,0.00,2.44,100.00
Sustainable New Zealand Party,54,14.81,20.37,12.96,37.04,3.70,1.85,1.85,3.70,3.70,0.00,0.00,100.00
TEA Party,16,12.50,0.00,6.25,31.25,0.00,0.00,12.50,0.00,6.25,25.00,6.25,100.00
The Opportunities Party (TOP),591,10.15,15.74,35.03,25.21,2.20,3.55,0.51,2.88,2.71,1.18,0.85,100.00
Vision New Zealand,10,0.00,10.00,10.00,20.00,10.00,10.00,30.00,0.00,0.00,0.00,10.00,100.00
Informal Party Votes,191,2.09,1.57,10.99,16.75,0.00,2.09,0.52,0.00,1.05,61.26,3.66,100.00
Total Party Votes and Percentages,45960,6.50,6.32,34.74,44.39,1.49,2.65,0.45,0.43,0.54,1.59,0.89,100.00
