19 Kelston,Total Party Votes,"PERCIVAL, Matthew Paul (ACT New Zealand)","KUMEROA, Maureen Te Riina Te Kamu (Advance NZ)","LYE, Jeff Eric (Aotearoa Legalise Cannabis Party)","FRASER, Jessamine Alana (Green Party)","SEPULONI, Carmel Jean (Labour Party)","BEERAM, Bala Venu Gopal Reddy (National Party)","TILDSLEY, Leao (New Conservative)","NISHA PALA, Ainul (New Zealand First Party)","LAVAKA TANGIPA, Faye Feaomoemanu (ONE Party)","JOBSIS, Jason Mark (Social Credit)","BRETT, Kevin William (Trump New Zealand Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,1543,42.26,0.06,0.71,1.30,10.37,42.26,0.58,0.58,0.06,0.00,0.45,1.04,0.32,100.00
Advance NZ,294,1.36,75.85,0.68,3.40,6.80,5.10,2.38,0.68,1.36,0.34,0.34,0.34,1.36,100.00
Aotearoa Legalise Cannabis Party,135,0.74,0.74,67.41,2.96,16.30,2.96,0.00,0.74,0.00,0.00,0.00,2.22,5.93,100.00
Green Party,2929,0.82,0.20,0.92,33.12,61.69,1.16,0.03,0.14,0.07,0.14,0.14,0.58,0.99,100.00
HeartlandNZ,4,0.00,25.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,100.00
Labour Party,22081,0.76,0.10,1.05,5.03,85.84,2.49,0.28,0.78,0.24,0.05,0.04,2.16,1.20,100.00
Māori Party,185,2.16,1.08,4.86,14.05,52.43,9.19,4.32,5.95,1.62,0.00,0.54,1.62,2.16,100.00
National Party,6121,4.72,0.23,0.36,1.47,6.22,81.20,1.72,0.62,0.16,0.02,0.28,2.22,0.78,100.00
New Conservative,484,0.62,0.41,0.21,0.21,9.30,10.74,71.49,1.03,1.86,0.00,0.62,2.48,1.03,100.00
New Zealand First Party,915,2.30,0.55,1.64,2.84,41.09,8.42,4.15,35.08,1.09,0.44,0.66,0.87,0.87,100.00
NZ Outdoors Party,14,7.14,28.57,7.14,7.14,14.29,14.29,0.00,14.29,0.00,7.14,0.00,0.00,0.00,100.00
ONE Party,109,0.00,0.92,0.00,1.83,5.50,11.01,3.67,0.92,74.31,0.00,0.00,1.83,0.00,100.00
Social Credit,14,0.00,0.00,0.00,14.29,7.14,14.29,0.00,0.00,0.00,42.86,14.29,7.14,0.00,100.00
Sustainable New Zealand Party,13,7.69,7.69,0.00,30.77,23.08,23.08,0.00,0.00,0.00,0.00,7.69,0.00,0.00,100.00
TEA Party,61,9.84,0.00,1.64,3.28,21.31,47.54,0.00,1.64,0.00,0.00,3.28,8.20,3.28,100.00
The Opportunities Party (TOP),408,4.17,0.98,2.94,23.04,46.32,14.95,1.96,1.23,0.49,0.98,0.25,2.21,0.49,100.00
Vision New Zealand,20,0.00,5.00,0.00,0.00,35.00,25.00,20.00,0.00,10.00,0.00,5.00,0.00,0.00,100.00
Informal Party Votes,367,1.09,0.27,0.00,0.54,25.61,8.45,0.82,1.09,0.27,0.00,0.54,59.67,1.63,100.00
Total Party Votes and Percentages,35697,3.35,0.81,1.19,6.63,62.13,18.26,1.66,1.61,0.50,0.09,0.16,2.54,1.08,100.00
