20 Mana,Total Party Votes,"PONDER, Edward (Advance NZ)","ILES, Michael Arthur (Attica)","LOGIE, Heather Janet (Green Party)","JORONEN (NEE CARTWRIGHT), Helen Rebecca Louise (Integrity New Zealand)","EDMONDS, Barbara Rachael Fati Palepa (Labour Party)","GOODE, Richard Simon (NAP)","HAYES, Joanne Kowhai (National Party)","BARRY, Roy Sidney (New Conservative)","HARAWIRA, Stephanie (ONE Party)","WALKER, Michael John (Progressive Aotearoa New Zealand)","MARSHALL, Gordon Clint (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2403,0.79,0.46,3.58,2.50,14.94,0.71,69.95,1.79,0.42,0.29,1.12,3.16,0.29,100.00
Advance NZ,349,75.93,0.57,2.87,0.86,4.87,0.29,4.01,2.29,3.72,0.86,0.86,1.72,1.15,100.00
Aotearoa Legalise Cannabis Party,148,2.70,0.00,20.95,0.68,47.97,1.35,6.76,3.38,2.70,2.70,2.03,4.73,4.05,100.00
Green Party,4187,0.12,0.12,37.69,0.45,58.59,0.05,1.55,0.07,0.07,0.19,0.07,0.53,0.50,100.00
HeartlandNZ,4,0.00,0.00,25.00,25.00,25.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,25271,0.09,0.08,7.96,0.55,85.30,0.11,2.30,0.27,0.20,0.19,0.13,1.99,0.83,100.00
Māori Party,242,1.24,0.83,18.18,1.24,54.96,0.83,5.79,1.24,5.79,2.07,0.83,3.31,3.72,100.00
National Party,7976,0.23,0.09,1.27,0.87,5.32,0.10,88.42,1.08,0.48,0.08,0.11,1.60,0.38,100.00
New Conservative,425,0.47,0.24,0.47,0.71,7.06,0.24,26.35,60.00,2.82,0.00,0.24,1.18,0.24,100.00
New Zealand First Party,954,1.15,0.73,5.87,2.10,56.92,0.00,20.02,2.73,1.89,0.94,1.89,4.61,1.15,100.00
NZ Outdoors Party,22,0.00,9.09,13.64,4.55,22.73,0.00,31.82,4.55,0.00,9.09,4.55,0.00,0.00,100.00
ONE Party,233,0.00,0.00,0.00,0.00,5.58,0.00,4.72,0.86,84.98,1.72,0.00,1.29,0.86,100.00
Social Credit,12,0.00,8.33,33.33,8.33,33.33,8.33,0.00,0.00,0.00,0.00,0.00,8.33,0.00,100.00
Sustainable New Zealand Party,20,0.00,5.00,30.00,10.00,15.00,0.00,15.00,0.00,0.00,10.00,5.00,10.00,0.00,100.00
TEA Party,6,16.67,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,33.33,16.67,0.00,100.00
The Opportunities Party (TOP),857,1.17,0.58,22.40,4.08,49.59,0.58,12.60,1.28,1.28,2.10,1.63,1.98,0.70,100.00
Vision New Zealand,55,9.09,1.82,5.45,3.64,20.00,0.00,18.18,14.55,9.09,3.64,3.64,7.27,3.64,100.00
Informal Party Votes,278,0.72,0.00,2.52,0.72,26.62,0.36,7.19,0.00,0.36,0.72,0.00,58.63,2.16,100.00
Total Party Votes and Percentages,43442,0.85,0.15,9.52,0.83,60.13,0.16,22.74,1.20,0.87,0.28,0.27,2.28,0.73,100.00
