23 Maungakiekie,Total Party Votes,"FERGUSSON, Thomas Wilson (ACT New Zealand)","MENENDEZ MARCH, Ricardo (Green Party)","RADHAKRISHNAN, Priyanca (Labour Party)","LEE, Denise (National Party)","HOLDER, Philip Alleyne (New Conservative)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2660,20.00,0.64,3.31,74.21,0.56,0.90,0.38,100.00
Advance NZ,206,10.19,14.08,7.77,25.73,27.18,14.56,0.49,100.00
Aotearoa Legalise Cannabis Party,99,5.05,27.27,37.37,19.19,1.01,10.10,0.00,100.00
Green Party,3403,0.29,31.85,54.98,11.67,0.06,0.53,0.62,100.00
HeartlandNZ,2,0.00,0.00,50.00,0.00,0.00,0.00,50.00,100.00
Labour Party,18895,1.16,6.51,70.52,17.97,0.26,2.70,0.87,100.00
Māori Party,159,1.89,22.01,37.11,29.56,3.14,4.40,1.89,100.00
National Party,9668,3.59,0.60,1.61,91.39,0.60,1.72,0.49,100.00
New Conservative,416,1.44,0.48,1.92,34.13,60.10,1.20,0.72,100.00
New Zealand First Party,780,5.00,3.85,37.82,41.15,5.64,5.51,1.03,100.00
NZ Outdoors Party,18,5.56,22.22,22.22,27.78,11.11,11.11,0.00,100.00
ONE Party,66,4.55,1.52,16.67,45.45,21.21,10.61,0.00,100.00
Social Credit,7,0.00,28.57,42.86,0.00,0.00,28.57,0.00,100.00
Sustainable New Zealand Party,24,8.33,29.17,20.83,33.33,0.00,4.17,4.17,100.00
TEA Party,82,10.98,3.66,13.41,58.54,2.44,9.76,1.22,100.00
The Opportunities Party (TOP),697,3.30,18.08,37.02,38.02,0.86,1.29,1.43,100.00
Vision New Zealand,47,4.26,8.51,23.40,25.53,10.64,25.53,2.13,100.00
Informal Party Votes,306,0.65,1.96,24.18,14.71,0.98,55.56,1.96,100.00
Total Party Votes and Percentages,37535,3.26,7.10,43.24,41.55,1.37,2.73,0.74,100.00
