25 Mt Roskill,Total Party Votes,"JOHNSTON, Christopher Mark (ACT New Zealand)","SHARMA, Anil Kumar (Advance NZ)","GHAHRAMAN, Golriz (Green Party)","WOOD, Michael Philip (Labour Party)","PARMAR, Kushmiita Parmjeet Kaur (National Party)","HOOD, Alister John (New Conservative)","PEHI, Charlene Roxanne (ONE Party)","HALL, Clifford Thomas (Social Credit)","CHOKSI, Vishal (TEA Party)","FREDERIKSON, Warwick George (Voice of the People)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,1904,34.24,0.37,2.00,15.39,43.75,1.31,0.05,0.58,0.21,0.11,1.31,0.68,100.00
Advance NZ,198,1.01,79.80,3.54,8.08,3.03,0.51,1.52,0.00,0.00,0.51,1.01,1.01,100.00
Aotearoa Legalise Cannabis Party,68,0.00,1.47,20.59,57.35,10.29,0.00,1.47,0.00,1.47,2.94,1.47,2.94,100.00
Green Party,3060,0.52,0.13,33.46,61.67,2.35,0.10,0.03,0.23,0.07,0.16,0.72,0.56,100.00
HeartlandNZ,3,33.33,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,0.00,33.33,0.00,100.00
Labour Party,21436,0.58,0.20,4.20,87.66,3.56,0.17,0.10,0.09,0.26,0.05,2.24,0.87,100.00
Māori Party,142,0.70,0.70,23.24,52.11,11.97,2.82,2.82,0.70,0.00,1.41,0.70,2.82,100.00
National Party,9328,5.49,0.24,0.86,11.10,76.80,1.73,0.25,0.16,0.74,0.06,2.10,0.48,100.00
New Conservative,459,0.22,0.87,0.65,7.41,17.43,69.28,1.96,0.44,0.22,0.44,0.87,0.22,100.00
New Zealand First Party,731,4.24,0.55,3.01,56.63,20.25,5.47,0.96,1.37,0.55,0.55,5.06,1.37,100.00
NZ Outdoors Party,13,0.00,7.69,0.00,46.15,7.69,7.69,0.00,7.69,0.00,7.69,15.38,0.00,100.00
ONE Party,103,1.94,0.00,0.97,10.68,10.68,4.85,62.14,1.94,0.00,0.00,2.91,3.88,100.00
Social Credit,18,0.00,0.00,0.00,16.67,5.56,0.00,0.00,66.67,0.00,5.56,5.56,0.00,100.00
Sustainable New Zealand Party,18,0.00,0.00,44.44,27.78,11.11,5.56,0.00,0.00,5.56,0.00,5.56,0.00,100.00
TEA Party,163,0.61,0.00,3.07,9.82,6.75,1.23,0.61,0.00,71.17,0.00,4.91,1.84,100.00
The Opportunities Party (TOP),499,4.41,0.80,23.25,55.11,10.82,1.00,0.80,1.00,0.00,0.80,1.40,0.60,100.00
Vision New Zealand,19,5.26,15.79,10.53,5.26,10.53,15.79,10.53,0.00,0.00,10.53,15.79,0.00,100.00
Informal Party Votes,321,1.56,1.56,2.18,46.73,7.48,1.25,0.31,0.00,0.00,0.62,36.45,1.87,100.00
Total Party Votes and Percentages,38483,3.56,0.67,5.88,59.90,23.90,1.59,0.37,0.23,0.66,0.12,2.37,0.77,100.00
