26 Napier,Total Party Votes,"KENDALL, Judith Dale (ACT New Zealand)","CROW, James Zachariah (Green Party)","NASH, Stuart Alexander (Labour Party)","NIMON, Katrina (National Party)","BURNSIDE, Deborah Yvette (New Conservative)","GASKIN, Ian Camden (Independent)","SMITH, John Clive (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3410,16.13,0.65,9.77,70.26,2.02,0.03,0.26,0.62,0.26,100.00
Advance NZ,355,6.76,10.99,11.55,14.93,20.85,5.07,16.34,10.99,2.54,100.00
Aotearoa Legalise Cannabis Party,179,3.35,18.99,43.02,15.64,1.12,2.79,4.47,6.15,4.47,100.00
Green Party,2444,0.49,27.54,63.58,6.42,0.41,0.16,0.20,0.70,0.49,100.00
HeartlandNZ,8,0.00,0.00,0.00,62.50,0.00,0.00,37.50,0.00,0.00,100.00
Labour Party,21245,0.69,4.62,83.97,7.40,0.71,0.13,0.24,1.52,0.72,100.00
Māori Party,118,0.85,16.95,45.76,15.25,7.63,2.54,0.85,6.78,3.39,100.00
National Party,11718,1.43,0.32,4.54,90.99,1.38,0.04,0.18,0.90,0.21,100.00
New Conservative,611,0.16,0.16,4.42,18.99,74.47,0.16,0.16,1.31,0.16,100.00
New Zealand First Party,899,2.67,3.23,55.06,25.47,6.23,0.89,2.22,3.67,0.56,100.00
NZ Outdoors Party,39,12.82,10.26,25.64,33.33,2.56,10.26,2.56,2.56,0.00,100.00
ONE Party,72,1.39,2.78,11.11,19.44,41.67,1.39,8.33,13.89,0.00,100.00
Social Credit,13,7.69,0.00,30.77,23.08,7.69,7.69,23.08,0.00,0.00,100.00
Sustainable New Zealand Party,21,4.76,38.10,14.29,28.57,4.76,4.76,4.76,0.00,0.00,100.00
TEA Party,11,9.09,0.00,36.36,36.36,0.00,0.00,0.00,18.18,0.00,100.00
The Opportunities Party (TOP),537,3.72,18.25,41.34,28.31,0.74,1.86,1.68,3.72,0.37,100.00
Vision New Zealand,24,4.17,8.33,37.50,12.50,16.67,4.17,0.00,12.50,4.17,100.00
Informal Party Votes,287,0.35,2.09,39.02,13.24,1.05,0.35,0.35,42.16,1.39,100.00
Total Party Votes and Percentages,41991,2.29,4.66,50.78,36.84,2.46,0.22,0.47,1.72,0.56,100.00
