28 New Lynn,Total Party Votes,"BLANCHFIELD, Shawn Michael (ACT New Zealand)","OLIVER, Stephen Thomas (Advance NZ)","ABEL, Stephen George Bremner (Green Party)","RUSSELL, Deborah Faye (Labour Party)","WHYTE, Lisa (National Party)","O'BRIEN, Victoria Mei-sien (New Conservative)","GORE, Robert Mathew (New Zealand First Party)","MALIK, Khurram Shahid (ONE Party)","ER, Lisa Elizabeth Anne (Social Credit)","PATEL, Smitaben (TEA Party)","DAVIE, Paul Clifford (Voice of the People)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2643,31.44,0.49,1.89,9.61,51.99,1.10,0.79,0.15,0.19,0.11,0.49,1.17,0.57,100.00
Advance NZ,368,0.54,77.17,2.17,3.53,7.61,1.36,1.09,0.27,2.17,0.54,0.82,1.09,1.63,100.00
Aotearoa Legalise Cannabis Party,103,1.94,3.88,18.45,32.04,10.68,1.94,4.85,0.00,2.91,0.00,7.77,7.77,7.77,100.00
Green Party,4794,0.25,0.31,33.54,62.72,1.46,0.06,0.17,0.00,0.46,0.00,0.04,0.44,0.54,100.00
HeartlandNZ,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,50.00,0.00,100.00
Labour Party,22339,0.83,0.28,7.56,84.41,2.25,0.22,0.83,0.14,0.13,0.25,0.09,1.92,1.08,100.00
Māori Party,191,1.57,1.57,27.75,37.70,11.52,4.19,3.66,1.57,1.05,0.00,1.05,2.62,5.76,100.00
National Party,9166,3.91,0.48,1.01,3.71,86.01,1.13,0.47,0.12,0.12,0.64,0.09,1.77,0.53,100.00
New Conservative,487,1.03,3.08,0.41,4.52,15.61,69.82,0.82,0.21,1.03,0.21,0.82,1.23,1.23,100.00
New Zealand First Party,976,1.84,1.33,2.46,37.70,13.32,2.66,36.58,0.20,0.41,0.41,0.51,1.84,0.72,100.00
NZ Outdoors Party,36,13.89,16.67,25.00,5.56,2.78,2.78,5.56,0.00,5.56,0.00,5.56,13.89,2.78,100.00
ONE Party,82,0.00,0.00,1.22,7.32,9.76,6.10,0.00,69.51,0.00,0.00,4.88,1.22,0.00,100.00
Social Credit,27,0.00,0.00,7.41,18.52,0.00,3.70,3.70,0.00,59.26,0.00,3.70,3.70,0.00,100.00
Sustainable New Zealand Party,30,0.00,0.00,36.67,20.00,30.00,3.33,0.00,0.00,6.67,0.00,0.00,3.33,0.00,100.00
TEA Party,81,1.23,1.23,1.23,12.35,18.52,0.00,0.00,0.00,0.00,53.09,2.47,7.41,2.47,100.00
The Opportunities Party (TOP),546,4.40,2.75,23.44,49.27,11.17,0.92,1.65,1.47,1.28,0.37,1.10,1.47,0.73,100.00
Vision New Zealand,16,0.00,25.00,0.00,18.75,12.50,6.25,0.00,6.25,0.00,0.00,18.75,6.25,6.25,100.00
Informal Party Votes,253,0.00,0.79,1.19,33.60,9.49,0.79,1.58,0.40,0.40,0.00,1.58,48.62,1.58,100.00
Total Party Votes and Percentages,42140,3.43,1.14,8.78,55.42,24.25,1.38,1.54,0.29,0.28,0.40,0.21,1.97,0.91,100.00
