29 New Plymouth,Total Party Votes,"XIAO, Wen (ACT New Zealand)","WOOD, Rowena (Advance NZ)","BENNETT, Glen Thomas (Labour Party)","YOUNG, Jonathan Edgar Joseph (National Party)","CHONG, Murray Brian (New Conservative)","LAUDERDALE, Kathleen (Social Credit)","THURSTON, Daniel George (The Opportunities Party (TOP))","BLACKTOPP, Russell Kane (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3534,13.38,0.40,6.25,73.54,4.16,0.23,0.45,0.74,0.68,0.17,100.00
Advance NZ,567,1.94,76.37,2.82,9.88,4.06,0.18,1.06,1.06,1.76,0.88,100.00
Aotearoa Legalise Cannabis Party,258,3.10,3.10,39.53,15.12,7.36,1.16,3.88,13.95,9.30,3.49,100.00
Green Party,2044,0.68,0.93,82.14,6.51,1.17,0.59,4.99,1.13,1.52,0.34,100.00
HeartlandNZ,10,0.00,0.00,40.00,30.00,0.00,0.00,10.00,20.00,0.00,0.00,100.00
Labour Party,21394,0.55,0.26,83.32,10.86,1.39,0.10,0.94,0.52,1.60,0.47,100.00
Māori Party,212,2.36,3.30,60.38,16.51,0.94,3.30,4.25,4.25,1.42,3.30,100.00
National Party,13336,1.47,0.16,1.97,92.68,2.01,0.04,0.19,0.18,1.03,0.25,100.00
New Conservative,765,0.52,0.78,4.18,37.39,54.25,0.13,0.13,1.44,0.78,0.39,100.00
New Zealand First Party,1001,2.70,1.40,40.26,33.97,11.09,1.20,1.10,5.00,3.00,0.30,100.00
NZ Outdoors Party,40,5.00,5.00,15.00,20.00,17.50,7.50,5.00,20.00,5.00,0.00,100.00
ONE Party,85,0.00,7.06,14.12,62.35,9.41,0.00,0.00,0.00,5.88,1.18,100.00
Social Credit,53,0.00,0.00,9.43,15.09,5.66,66.04,1.89,1.89,0.00,0.00,100.00
Sustainable New Zealand Party,20,0.00,0.00,45.00,20.00,5.00,5.00,10.00,5.00,5.00,5.00,100.00
TEA Party,8,0.00,25.00,12.50,12.50,37.50,0.00,0.00,12.50,0.00,0.00,100.00
The Opportunities Party (TOP),787,0.25,0.51,32.02,18.17,1.27,0.25,45.36,1.02,0.76,0.38,100.00
Vision New Zealand,35,5.71,14.29,8.57,42.86,0.00,0.00,0.00,5.71,20.00,2.86,100.00
Informal Party Votes,306,0.98,1.31,22.55,22.55,2.94,0.65,0.00,1.96,45.75,1.31,100.00
Total Party Votes and Percentages,44455,1.94,1.35,47.31,41.56,3.03,0.26,1.68,0.73,1.73,0.41,100.00
