03 Bay of Plenty,Total Party Votes,"CARLEY, Bruce Leo Benedict (ACT New Zealand)","MONCUR, Angela (Advance NZ)","COKER, Christopher Hamish (Aotearoa Legalise Cannabis Party)","HUGGINS, Peter Michael (Green Party)","CLARK, Angela Maree (Labour Party)","MULLER, Todd (National Party)","COLMORE, Margaret Louise (New Conservative)","LAWRENCE, Tricia Jane (New Zealand First Party)","DEVERY, Sharon Joanna (ONE Party)","JENKINS, Christopher James (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4571,24.57,0.18,0.55,0.55,3.39,67.97,0.57,0.42,0.07,0.74,0.61,0.39,100.00
Advance NZ,712,0.56,73.74,0.84,1.26,1.12,15.73,2.81,0.28,0.14,1.26,0.84,1.40,100.00
Aotearoa Legalise Cannabis Party,244,1.64,0.41,72.13,3.69,9.84,4.51,0.00,0.00,0.00,1.23,2.46,4.10,100.00
Green Party,2159,0.51,0.23,1.57,31.08,51.37,8.62,0.05,0.51,0.05,4.40,0.65,0.97,100.00
HeartlandNZ,12,8.33,0.00,0.00,8.33,41.67,33.33,8.33,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,19398,1.08,0.20,1.76,4.32,75.28,11.72,0.25,1.56,0.08,1.45,1.29,1.01,100.00
Māori Party,195,0.51,2.56,8.21,12.82,36.92,16.92,1.54,5.13,1.54,7.18,1.03,5.64,100.00
National Party,14758,4.59,0.24,0.28,0.33,0.93,90.59,0.86,0.49,0.10,0.28,0.87,0.42,100.00
New Conservative,972,0.41,0.51,0.51,0.31,1.95,34.36,58.64,0.82,0.41,0.51,0.82,0.72,100.00
New Zealand First Party,1337,1.72,0.52,1.72,0.82,22.96,26.40,0.97,39.42,0.15,2.99,1.50,0.82,100.00
NZ Outdoors Party,42,2.38,11.90,16.67,2.38,11.90,30.95,4.76,4.76,2.38,11.90,0.00,0.00,100.00
ONE Party,83,0.00,0.00,0.00,0.00,1.20,28.92,1.20,0.00,63.86,0.00,2.41,2.41,100.00
Social Credit,10,0.00,0.00,10.00,0.00,50.00,10.00,0.00,20.00,0.00,0.00,0.00,10.00,100.00
Sustainable New Zealand Party,31,3.23,0.00,3.23,19.35,16.13,32.26,9.68,0.00,0.00,9.68,6.45,0.00,100.00
TEA Party,11,0.00,0.00,18.18,0.00,9.09,36.36,9.09,0.00,0.00,0.00,27.27,0.00,100.00
The Opportunities Party (TOP),754,0.93,0.40,0.53,3.58,16.18,19.89,0.80,0.27,0.13,56.37,0.27,0.66,100.00
Vision New Zealand,29,0.00,0.00,13.79,3.45,20.69,20.69,3.45,6.90,6.90,0.00,20.69,3.45,100.00
Informal Party Votes,250,0.40,0.80,0.80,0.80,19.20,22.40,1.20,1.20,0.40,0.00,50.80,2.00,100.00
Total Party Votes and Percentages,45568,4.54,1.40,1.51,3.68,36.50,43.99,1.81,2.11,0.23,2.10,1.33,0.79,100.00
