33 Ōhāriu,Total Party Votes,"FITZPATRICK, Sean Daniel Thomas (ACT New Zealand)","SMITH, Jolene Georgina (Advance NZ)","RANTA, John Eric (Green Party)","O'CONNOR, Gregory Eamon (Labour Party)","WALSH, Liam Patrick (NAP)","HUDSON, Brett John (National Party)","LYNCH, Philip Michael (New Conservative)","MARTIN, Tracey (New Zealand First Party)","CAWOOD, Allan Bernard (ONE Party)","HAMMOND, Jessica Jane (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2662,17.28,0.04,0.53,11.83,0.00,58.60,0.30,2.14,0.19,8.26,0.53,0.30,100.00
Advance NZ,149,2.01,67.11,3.36,3.36,4.03,4.70,0.00,2.01,1.34,10.07,1.34,0.67,100.00
Aotearoa Legalise Cannabis Party,80,1.25,1.25,22.50,36.25,2.50,11.25,0.00,2.50,1.25,12.50,7.50,1.25,100.00
Green Party,5940,0.24,0.08,17.59,59.02,0.10,2.10,0.00,0.89,0.02,19.14,0.45,0.35,100.00
HeartlandNZ,1,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,22282,0.57,0.05,4.70,79.13,0.05,4.62,0.09,1.57,0.12,7.50,1.11,0.49,100.00
Māori Party,153,0.00,0.65,15.69,41.18,1.31,12.42,1.31,3.92,0.00,19.61,1.31,2.61,100.00
National Party,9732,1.90,0.08,0.40,8.25,0.10,81.51,0.77,1.34,0.43,3.63,1.25,0.33,100.00
New Conservative,375,0.53,0.27,0.27,6.40,0.27,18.13,62.13,3.47,3.20,2.93,2.13,0.27,100.00
New Zealand First Party,824,1.09,0.12,0.49,40.53,0.36,12.99,1.58,35.56,0.49,4.61,1.58,0.61,100.00
NZ Outdoors Party,15,6.67,0.00,6.67,26.67,13.33,13.33,6.67,6.67,0.00,0.00,13.33,6.67,100.00
ONE Party,143,1.40,0.70,1.40,2.80,0.00,12.59,2.10,1.40,69.93,4.90,1.40,1.40,100.00
Social Credit,8,0.00,12.50,0.00,37.50,12.50,0.00,0.00,0.00,0.00,25.00,0.00,12.50,100.00
Sustainable New Zealand Party,19,0.00,0.00,15.79,31.58,0.00,21.05,0.00,10.53,0.00,10.53,10.53,0.00,100.00
TEA Party,12,0.00,0.00,16.67,0.00,0.00,75.00,0.00,0.00,0.00,0.00,8.33,0.00,100.00
The Opportunities Party (TOP),1221,0.33,0.00,0.90,14.00,0.25,5.41,0.16,0.90,0.08,76.90,0.49,0.57,100.00
Vision New Zealand,17,0.00,0.00,0.00,5.88,5.88,23.53,0.00,17.65,11.76,23.53,11.76,0.00,100.00
Informal Party Votes,209,0.00,0.96,1.91,17.70,0.48,7.66,0.00,0.96,0.00,1.91,66.99,1.44,100.00
Total Party Votes and Percentages,43842,1.85,0.30,5.07,52.32,0.11,25.04,0.81,2.12,0.45,10.13,1.36,0.45,100.00
