36 Palmerston North,Total Party Votes,"PHILLIPS, Jack Allan Murray (ACT New Zealand)","LYON, Sharon Patricia (Advance NZ)","TUIONO, Teanau (Green Party)","UTIKERE, Tangi William Edward (Labour Party)","WOOD, William (National Party)","POPPELWELL, David Louis (New Conservative)","BALL, Darroch Leicester (New Zealand First Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2626,25.93,0.34,0.80,13.52,54.15,1.10,1.26,1.60,1.29,100.00
Advance NZ,332,0.60,82.83,1.51,6.33,2.41,2.11,0.90,1.20,2.11,100.00
Aotearoa Legalise Cannabis Party,157,4.46,3.82,21.02,43.95,7.64,0.64,3.82,5.73,8.92,100.00
Green Party,2876,0.14,0.28,28.48,65.86,2.99,0.14,0.52,0.35,1.25,100.00
HeartlandNZ,6,0.00,16.67,0.00,16.67,33.33,16.67,0.00,16.67,0.00,100.00
Labour Party,21315,0.74,0.28,4.43,85.90,4.23,0.34,0.98,1.64,1.47,100.00
Māori Party,177,1.13,2.82,14.12,60.45,10.17,2.82,1.13,3.39,3.95,100.00
National Party,8513,3.28,0.20,0.72,8.22,82.36,1.35,1.20,1.74,0.94,100.00
New Conservative,704,0.85,0.71,0.28,8.81,25.28,60.23,1.99,1.42,0.43,100.00
New Zealand First Party,1157,1.04,1.12,1.47,36.30,15.30,2.94,38.63,2.25,0.95,100.00
NZ Outdoors Party,21,0.00,4.76,14.29,23.81,38.10,4.76,9.52,4.76,0.00,100.00
ONE Party,112,1.79,10.71,0.89,26.79,24.11,16.96,7.14,8.04,3.57,100.00
Social Credit,13,7.69,7.69,7.69,30.77,15.38,23.08,7.69,0.00,0.00,100.00
Sustainable New Zealand Party,24,0.00,8.33,29.17,25.00,25.00,0.00,0.00,4.17,8.33,100.00
TEA Party,10,10.00,10.00,0.00,20.00,60.00,0.00,0.00,0.00,0.00,100.00
The Opportunities Party (TOP),756,4.23,1.46,13.23,57.80,14.42,1.72,3.70,1.85,1.59,100.00
Vision New Zealand,30,3.33,10.00,26.67,20.00,13.33,13.33,3.33,10.00,0.00,100.00
Informal Party Votes,274,1.46,0.36,0.73,31.75,11.31,0.36,1.82,48.91,3.28,100.00
Total Party Votes and Percentages,39103,3.05,1.10,5.24,57.58,25.59,1.87,2.24,1.96,1.36,100.00
