37 Panmure-Ōtāhuhu,Total Party Votes,"JONES, Bryn Walby (Advance NZ)","BROWN, Patrick (Communist League)","SIMIONA, Mark Tau (Green Party)","SALESA, Jennifer (Labour Party)","BAKSHI, Kanwaljit Singh (National Party)","JOHNSTON, Edward George Tanu Faleauto (New Conservative)","BRIDGE, Phillip Stewart William (NZ Outdoors Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,744,1.08,1.08,3.90,17.61,62.10,5.11,4.57,3.90,0.67,100.00
Advance NZ,259,77.99,0.39,1.93,8.49,3.09,2.32,0.39,3.09,2.32,100.00
Aotearoa Legalise Cannabis Party,136,3.68,2.21,19.85,48.53,4.41,3.68,3.68,4.41,9.56,100.00
Green Party,1284,0.16,0.62,34.42,58.49,2.57,0.93,0.39,1.32,1.09,100.00
HeartlandNZ,4,0.00,0.00,0.00,0.00,25.00,0.00,0.00,75.00,0.00,100.00
Labour Party,22929,0.20,0.14,2.73,89.02,1.76,0.41,0.22,3.69,1.82,100.00
Māori Party,202,1.49,0.99,15.35,54.95,4.95,5.94,0.99,4.95,10.40,100.00
National Party,3970,0.50,0.33,1.81,10.05,77.61,3.22,1.06,4.06,1.36,100.00
New Conservative,383,1.57,0.26,1.83,14.36,6.79,69.45,1.57,2.35,1.83,100.00
New Zealand First Party,772,1.81,0.52,5.83,63.34,10.10,6.48,3.11,6.99,1.81,100.00
NZ Outdoors Party,33,6.06,0.00,3.03,21.21,15.15,3.03,51.52,0.00,0.00,100.00
ONE Party,45,4.44,0.00,8.89,31.11,15.56,33.33,4.44,0.00,2.22,100.00
Social Credit,2,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,100.00
Sustainable New Zealand Party,9,11.11,0.00,11.11,33.33,33.33,0.00,11.11,0.00,0.00,100.00
TEA Party,37,2.70,5.41,13.51,35.14,29.73,2.70,5.41,2.70,2.70,100.00
The Opportunities Party (TOP),234,1.71,1.71,20.51,51.28,14.96,1.28,4.70,2.56,1.28,100.00
Vision New Zealand,87,5.75,1.15,17.24,33.33,10.34,17.24,5.75,6.90,2.30,100.00
Informal Party Votes,485,0.41,0.62,1.24,40.21,2.89,0.62,0.41,50.72,2.89,100.00
Total Party Votes and Percentages,31615,1.02,0.26,4.32,72.17,13.26,2.05,0.66,4.44,1.81,100.00
