38 Papakura,Total Party Votes,"WHITEHEAD, Bruce Craig (ACT New Zealand)","POMARE, Vikki-Lee Levi (Advance NZ)","COWIE, Susan Joyce (Green Party)","KANONGATA'A-SUISUIKI, Anahila Lose (Labour Party)","COLLINS, Judith Anne (National Party)","ARVIDSON, David Stanley (New Conservative)","MONDS, Robert Daniel (New Zealand First Party)","SMITH, Teena (NZ Outdoors Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3525,20.91,0.09,0.45,1.93,74.16,0.62,0.28,0.60,0.48,0.48,100.00
Advance NZ,277,1.44,74.73,0.72,1.08,11.19,2.89,0.36,0.72,1.44,5.42,100.00
Aotearoa Legalise Cannabis Party,149,8.05,0.67,21.48,26.85,14.09,2.01,5.37,10.74,4.70,6.04,100.00
Green Party,1618,0.68,0.19,36.65,49.07,9.33,0.37,0.12,0.80,1.17,1.61,100.00
HeartlandNZ,25,24.00,0.00,8.00,0.00,44.00,0.00,4.00,12.00,4.00,4.00,100.00
Labour Party,17106,1.90,0.34,6.61,72.30,11.49,0.56,1.72,0.63,2.32,2.13,100.00
Māori Party,127,3.15,5.51,10.24,44.88,9.45,2.36,8.66,1.57,3.94,10.24,100.00
National Party,14854,2.04,0.11,0.44,0.56,93.89,0.94,0.19,0.09,0.97,0.77,100.00
New Conservative,631,0.48,0.63,0.95,2.22,21.87,71.47,0.32,0.16,0.63,1.27,100.00
New Zealand First Party,1112,2.07,0.99,1.71,18.88,30.67,2.79,39.66,0.63,1.71,0.90,100.00
NZ Outdoors Party,36,8.33,2.78,2.78,5.56,5.56,2.78,0.00,69.44,2.78,0.00,100.00
ONE Party,56,0.00,1.79,5.36,19.64,28.57,19.64,8.93,0.00,10.71,5.36,100.00
Social Credit,12,0.00,8.33,0.00,33.33,33.33,8.33,8.33,0.00,8.33,0.00,100.00
Sustainable New Zealand Party,24,8.33,0.00,25.00,20.83,25.00,4.17,8.33,8.33,0.00,0.00,100.00
TEA Party,38,18.42,5.26,2.63,13.16,44.74,2.63,5.26,2.63,2.63,2.63,100.00
The Opportunities Party (TOP),328,6.40,0.61,18.29,38.11,25.30,1.52,3.05,4.57,1.22,0.91,100.00
Vision New Zealand,108,1.85,9.26,0.93,10.19,24.07,9.26,7.41,3.70,30.56,2.78,100.00
Informal Party Votes,214,0.47,0.00,1.40,17.76,16.36,1.40,0.47,0.00,57.01,5.14,100.00
Total Party Votes and Percentages,40240,3.64,0.82,4.85,34.39,48.26,1.97,2.06,0.58,1.95,1.49,100.00
