40 Rangitata,Total Party Votes,"HUTTON, Hamish Geoffry Inglis (ACT New Zealand)","WILSON, Rawinia Tau Aroha (Advance NZ)","LIGTENBERG, Gerdina Henrica Adriana Maria (Green Party)","LUXTON, Jo-Anne Marie (Labour Party)","RAE, James Daniel (NAP)","HANDS, Megan Leah (National Party)","ASHTON, Stuart Lachlan (New Conservative)","KELYNACK, Grant William (NZ Outdoors Party)","FAVEL, Brannon Alistair (Social Credit)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4101,20.99,0.10,0.15,8.41,0.24,66.76,1.34,0.85,0.10,0.76,0.29,100.00
Advance NZ,306,0.98,72.88,1.31,7.52,0.00,8.82,4.25,2.61,0.00,0.65,0.98,100.00
Aotearoa Legalise Cannabis Party,204,2.94,2.94,17.16,36.27,3.92,10.78,3.92,10.29,0.98,6.37,4.41,100.00
Green Party,1325,0.60,0.15,24.08,66.79,0.30,5.81,0.45,0.75,0.08,0.60,0.38,100.00
HeartlandNZ,5,0.00,0.00,0.00,40.00,20.00,20.00,0.00,0.00,0.00,20.00,0.00,100.00
Labour Party,20742,0.80,0.12,1.89,89.75,0.09,4.59,0.31,0.41,0.14,1.49,0.41,100.00
Māori Party,55,0.00,7.27,10.91,34.55,0.00,25.45,9.09,1.82,1.82,3.64,5.45,100.00
National Party,13368,2.09,0.04,0.16,2.44,0.04,92.64,1.26,0.20,0.04,0.94,0.16,100.00
New Conservative,854,0.35,0.23,0.23,2.81,0.23,14.05,79.74,0.59,0.00,1.52,0.23,100.00
New Zealand First Party,848,4.25,1.42,2.95,49.53,0.94,23.82,6.25,2.59,2.36,5.19,0.71,100.00
NZ Outdoors Party,109,1.83,0.00,2.75,11.01,0.00,11.93,2.75,67.89,0.00,1.83,0.00,100.00
ONE Party,53,3.77,0.00,1.89,18.87,0.00,26.42,32.08,3.77,3.77,7.55,1.89,100.00
Social Credit,44,0.00,0.00,0.00,6.82,0.00,18.18,6.82,0.00,65.91,2.27,0.00,100.00
Sustainable New Zealand Party,20,15.00,0.00,10.00,20.00,5.00,25.00,10.00,5.00,5.00,5.00,0.00,100.00
TEA Party,6,0.00,0.00,0.00,33.33,0.00,16.67,0.00,33.33,0.00,16.67,0.00,100.00
The Opportunities Party (TOP),414,4.59,1.21,7.25,48.31,2.66,22.71,2.90,4.83,2.42,1.93,1.21,100.00
Vision New Zealand,10,10.00,10.00,0.00,40.00,10.00,10.00,10.00,0.00,0.00,10.00,0.00,100.00
Informal Party Votes,407,1.47,0.74,1.23,43.98,0.25,16.22,0.98,0.49,0.74,33.42,0.49,100.00
Total Party Votes and Percentages,42871,3.25,0.68,1.99,49.33,0.17,39.05,2.55,0.73,0.25,1.64,0.36,100.00
