43 Rongotai,Total Party Votes,"McKEE, Nicole Raima (ACT New Zealand)","CROSSEN, Teall Elizabeth (Green Party)","MIHAKA, Troy Tahi (Integrity New Zealand)","EAGLE, Tahere Paul (Labour Party)","PATTERSON, David John (National Party)","WELSH, Bruce Alexander (New Conservative)","ARNEIL, Taylor Russell (New Zealand First Party)","SIMMONS, Geoffrey Leonard (The Opportunities Party (TOP))","McDONALD, Donald Stuart (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,1759,29.51,1.76,0.23,15.69,44.17,0.80,0.28,5.86,0.28,1.02,0.40,100.00
Advance NZ,184,7.61,11.96,8.70,11.41,10.33,15.76,2.72,15.22,4.89,10.33,1.09,100.00
Aotearoa Legalise Cannabis Party,70,5.71,21.43,0.00,37.14,7.14,2.86,4.29,8.57,8.57,2.86,1.43,100.00
Green Party,10765,0.09,37.29,0.49,49.86,0.53,0.07,0.08,10.56,0.18,0.35,0.50,100.00
HeartlandNZ,2,50.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,23878,0.70,10.15,0.24,79.19,2.58,0.30,0.58,3.74,0.21,1.76,0.56,100.00
Māori Party,201,1.49,16.92,0.50,52.74,5.47,1.49,1.49,14.93,1.00,2.99,1.00,100.00
National Party,6013,3.66,1.18,0.23,9.40,78.81,1.43,0.43,2.78,0.15,1.43,0.50,100.00
New Conservative,232,2.16,0.00,0.00,5.17,14.22,73.28,0.43,2.59,0.43,0.86,0.86,100.00
New Zealand First Party,883,1.70,3.62,0.45,38.96,14.72,2.15,30.69,3.06,0.68,2.94,1.02,100.00
NZ Outdoors Party,21,9.52,14.29,4.76,4.76,14.29,14.29,0.00,19.05,4.76,9.52,4.76,100.00
ONE Party,45,0.00,4.44,0.00,20.00,22.22,40.00,6.67,4.44,0.00,2.22,0.00,100.00
Social Credit,10,0.00,0.00,20.00,40.00,10.00,10.00,0.00,10.00,0.00,0.00,10.00,100.00
Sustainable New Zealand Party,27,0.00,18.52,7.41,40.74,7.41,0.00,3.70,22.22,0.00,0.00,0.00,100.00
TEA Party,7,0.00,0.00,14.29,42.86,14.29,14.29,0.00,14.29,0.00,0.00,0.00,100.00
The Opportunities Party (TOP),1272,0.24,4.72,0.31,14.70,2.44,0.31,0.16,76.18,0.08,0.47,0.39,100.00
Vision New Zealand,21,4.76,9.52,4.76,23.81,23.81,9.52,4.76,4.76,0.00,14.29,0.00,100.00
Informal Party Votes,259,0.39,1.93,0.39,30.12,3.09,0.39,1.16,2.32,0.77,57.92,1.54,100.00
Total Party Votes and Percentages,45649,2.11,14.72,0.35,56.79,14.12,0.94,1.03,7.42,0.24,1.71,0.55,100.00
