44 Rotorua,Total Party Votes,"KIRKWOOD, Peter Gwilym (ACT New Zealand)","WARD, Kiri (Advance NZ)","SPARKE, Kaya Rose (Green Party)","MAHON, Claire Frances (Labour Party)","McCLAY, Todd Michael (National Party)","SOLOMON, Alan Tāne (New Conservative)","TABUTEAU, Fletcher Hoporona (New Zealand First Party)","VERCOE, Karri-Ann Alisa (ONE Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3463,18.63,0.14,0.81,4.01,73.58,0.52,1.16,0.23,0.64,0.29,100.00
Advance NZ,518,0.97,78.96,1.16,1.74,8.49,2.32,1.35,2.12,1.74,1.16,100.00
Aotearoa Legalise Cannabis Party,179,2.23,12.85,30.17,29.05,7.82,1.12,4.47,3.35,2.79,6.15,100.00
Green Party,1816,0.33,0.33,31.99,55.78,7.93,0.17,1.54,0.44,0.72,0.77,100.00
HeartlandNZ,4,0.00,0.00,25.00,0.00,25.00,25.00,25.00,0.00,0.00,0.00,100.00
Labour Party,17845,0.69,0.36,5.33,74.55,12.57,0.39,2.62,0.52,1.84,1.13,100.00
Māori Party,347,1.15,3.75,17.87,35.73,17.87,2.02,10.37,4.03,3.46,3.75,100.00
National Party,10951,1.93,0.06,0.44,1.00,93.79,0.45,0.64,0.25,1.04,0.41,100.00
New Conservative,703,0.71,0.85,1.14,1.56,39.40,52.35,1.28,1.42,0.71,0.57,100.00
New Zealand First Party,1383,1.08,0.36,1.52,20.39,22.63,0.65,50.11,1.30,1.45,0.51,100.00
NZ Outdoors Party,50,6.00,8.00,10.00,20.00,28.00,8.00,2.00,6.00,2.00,10.00,100.00
ONE Party,177,0.00,1.13,0.00,1.69,14.12,2.26,0.00,77.40,0.56,2.82,100.00
Social Credit,16,6.25,12.50,6.25,25.00,25.00,0.00,12.50,6.25,6.25,0.00,100.00
Sustainable New Zealand Party,21,9.52,0.00,14.29,23.81,33.33,0.00,19.05,0.00,0.00,0.00,100.00
TEA Party,8,12.50,12.50,0.00,37.50,0.00,12.50,0.00,12.50,12.50,0.00,100.00
The Opportunities Party (TOP),606,4.29,0.50,17.33,42.08,26.73,1.65,3.63,0.99,2.31,0.50,100.00
Vision New Zealand,141,1.42,7.09,3.55,9.22,25.53,2.13,12.77,20.57,14.89,2.84,100.00
Informal Party Votes,260,0.00,0.77,2.69,20.00,17.69,1.15,2.31,0.38,51.54,3.46,100.00
Total Party Votes and Percentages,38488,2.74,1.46,4.90,39.98,42.12,1.47,3.67,0.97,1.82,0.88,100.00
