45 Selwyn,Total Party Votes,"ARMSTRONG, Stuart Grant (ACT New Zealand)","LARASON, Jerome Walter Jr (Advance NZ)","O'DONNELL, Abe Lewis Smith (Green Party)","DAVIDSON, Reuben John (Labour Party)","GRIGG, Nicola Anna (National Party)","LYELL, Bronwyn Joy (New Conservative)","PAYNE, Calvin Antony (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,5396,22.02,0.33,0.35,3.37,71.78,0.46,0.74,0.61,0.33,100.00
Advance NZ,306,1.31,82.68,1.31,1.96,8.50,2.61,0.00,1.31,0.33,100.00
Aotearoa Legalise Cannabis Party,85,12.94,2.35,17.65,34.12,14.12,1.18,14.12,2.35,1.18,100.00
Green Party,2092,0.62,0.19,28.78,57.31,9.99,0.33,1.72,0.62,0.43,100.00
HeartlandNZ,4,0.00,50.00,0.00,0.00,25.00,0.00,25.00,0.00,0.00,100.00
Labour Party,18102,1.43,0.19,5.13,76.56,13.07,0.51,1.08,1.51,0.52,100.00
Māori Party,59,3.39,1.69,8.47,32.20,37.29,3.39,8.47,3.39,1.69,100.00
National Party,14616,2.23,0.10,0.29,0.72,94.03,0.99,0.29,1.04,0.31,100.00
New Conservative,761,0.26,0.66,0.66,2.89,21.68,71.88,0.53,0.92,0.53,100.00
New Zealand First Party,861,6.50,1.74,3.02,37.63,35.89,6.39,4.41,3.95,0.46,100.00
NZ Outdoors Party,38,5.26,2.63,15.79,18.42,31.58,10.53,15.79,0.00,0.00,100.00
ONE Party,49,0.00,6.12,0.00,14.29,34.69,22.45,8.16,12.24,2.04,100.00
Social Credit,2,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,100.00
Sustainable New Zealand Party,25,4.00,8.00,24.00,12.00,28.00,4.00,12.00,8.00,0.00,100.00
TEA Party,9,0.00,11.11,11.11,0.00,22.22,22.22,33.33,0.00,0.00,100.00
The Opportunities Party (TOP),564,4.08,0.89,14.36,38.30,29.08,1.24,7.98,3.01,1.06,100.00
Vision New Zealand,5,20.00,20.00,0.00,20.00,20.00,0.00,0.00,20.00,0.00,100.00
Informal Party Votes,219,1.37,0.00,2.74,17.81,26.03,0.91,0.46,48.86,1.83,100.00
Total Party Votes and Percentages,43193,4.38,0.84,4.05,37.08,48.59,2.11,1.01,1.51,0.44,100.00
