49 Tāmaki,Total Party Votes,"CLARIDGE, Carmel Nancy (ACT New Zealand)","TEPOU, Sarai (Advance NZ)","BOYS, Sylvia Jane (Green Party)","BROWN, Shirin (Labour Party)","O'CONNOR, Simon (National Party)","SOMMER, Paul Christian (New Conservative)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4887,21.04,0.04,0.68,2.17,74.83,0.23,0.70,0.33,100.00
Advance NZ,178,4.49,70.22,3.37,2.25,12.92,1.12,2.25,3.37,100.00
Aotearoa Legalise Cannabis Party,60,3.33,1.67,35.00,31.67,10.00,3.33,8.33,6.67,100.00
Green Party,3200,1.06,0.06,39.50,49.28,8.59,0.06,0.59,0.84,100.00
HeartlandNZ,4,0.00,0.00,25.00,25.00,0.00,25.00,0.00,25.00,100.00
Labour Party,16082,2.05,0.11,9.93,68.65,15.73,0.17,2.33,1.03,100.00
Māori Party,127,2.36,0.79,17.32,33.07,28.35,0.79,5.51,11.81,100.00
National Party,15435,4.25,0.05,0.71,0.78,92.24,0.30,1.14,0.52,100.00
New Conservative,286,1.05,0.35,2.10,0.70,49.65,41.96,2.45,1.75,100.00
New Zealand First Party,673,5.94,1.34,5.20,35.22,43.83,2.67,4.16,1.63,100.00
NZ Outdoors Party,16,0.00,12.50,25.00,12.50,37.50,6.25,0.00,6.25,100.00
ONE Party,31,0.00,3.23,0.00,9.68,54.84,16.13,9.68,6.45,100.00
Social Credit,6,0.00,0.00,16.67,33.33,16.67,0.00,16.67,16.67,100.00
Sustainable New Zealand Party,32,3.12,0.00,21.88,25.00,43.75,6.25,0.00,0.00,100.00
TEA Party,62,4.84,1.61,9.68,11.29,61.29,3.23,8.06,0.00,100.00
The Opportunities Party (TOP),558,6.99,1.08,24.55,34.77,28.67,0.36,2.33,1.25,100.00
Vision New Zealand,16,6.25,6.25,25.00,25.00,12.50,12.50,6.25,6.25,100.00
Informal Party Votes,202,1.98,0.99,2.97,16.34,15.84,0.50,57.92,3.47,100.00
Total Party Votes and Percentages,41855,5.14,0.43,7.79,32.02,51.30,0.59,1.90,0.84,100.00
