50 Taranaki-King Country,Total Party Votes,"MILES, Brent Roderick (ACT New Zealand)","ROBERTS, Angela Susan (Labour Party)","KURIGER, Barbara Joan (National Party)","SMITH, Lee Anne (New Conservative)","GREY, Christopher Shane (NZ Outdoors Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4648,28.94,3.18,63.02,2.58,1.25,0.71,0.32,100.00
Advance NZ,513,8.58,7.02,13.26,30.21,23.98,15.59,1.36,100.00
Aotearoa Legalise Cannabis Party,154,5.19,37.01,11.04,4.55,24.03,11.04,7.14,100.00
Green Party,1962,2.24,80.78,7.19,0.76,5.91,2.34,0.76,100.00
HeartlandNZ,8,12.50,12.50,37.50,0.00,37.50,0.00,0.00,100.00
Labour Party,15341,1.56,82.93,9.43,1.43,1.47,2.01,1.15,100.00
Māori Party,187,0.53,55.08,18.18,8.56,10.16,3.21,4.28,100.00
National Party,14851,3.80,0.79,90.23,3.06,0.40,1.26,0.46,100.00
New Conservative,1115,0.54,1.26,8.79,87.26,0.27,1.52,0.36,100.00
New Zealand First Party,1123,6.86,39.98,30.90,9.62,5.97,5.70,0.98,100.00
NZ Outdoors Party,121,3.31,7.44,11.57,1.65,71.07,2.48,2.48,100.00
ONE Party,66,0.00,15.15,7.58,65.15,3.03,6.06,3.03,100.00
Social Credit,21,14.29,28.57,14.29,9.52,14.29,14.29,4.76,100.00
Sustainable New Zealand Party,26,7.69,30.77,26.92,3.85,23.08,3.85,3.85,100.00
TEA Party,18,5.56,11.11,44.44,11.11,11.11,11.11,5.56,100.00
The Opportunities Party (TOP),502,5.98,48.21,25.50,3.59,10.76,4.58,1.39,100.00
Vision New Zealand,30,6.67,13.33,26.67,26.67,10.00,10.00,6.67,100.00
Informal Party Votes,260,1.54,20.77,17.69,2.31,1.15,53.85,2.69,100.00
Total Party Votes and Percentages,40946,5.80,38.02,45.67,5.25,2.12,2.29,0.83,100.00
