51 Taupō,Total Party Votes,"FREEMAN, David Randall (ACT New Zealand)","JAMES, Antoinette Rachel (Advance NZ)","GLENDINING, Danna Mary (Green Party)","AL-BUSTANJI, Ala' (Labour Party)","UPSTON, Louise Claire (National Party)","QUINN, Jan-Marie (New Conservative)","DOWNARD, Micheal Patrick (NZ Outdoors Party)","COFFIN, Gary Michael (ONE Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4340,22.67,0.12,0.48,2.79,70.85,0.48,1.13,0.21,0.99,0.28,100.00
Advance NZ,476,0.00,82.35,0.84,2.73,6.72,1.05,1.05,1.05,1.47,2.73,100.00
Aotearoa Legalise Cannabis Party,165,2.42,3.03,19.39,38.18,13.33,1.21,7.27,1.21,9.09,4.85,100.00
Green Party,1677,0.89,0.36,33.93,46.87,13.54,0.42,1.01,0.48,1.43,1.07,100.00
HeartlandNZ,3,33.33,0.00,0.00,33.33,33.33,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,19978,1.91,0.26,5.96,70.59,15.43,0.43,1.48,0.79,2.20,0.95,100.00
Māori Party,164,1.22,3.05,16.46,40.24,23.17,1.22,2.44,4.88,1.22,6.10,100.00
National Party,14452,2.45,0.10,0.27,0.47,94.16,0.53,0.46,0.21,0.95,0.40,100.00
New Conservative,681,0.29,1.47,0.15,1.17,40.38,51.10,1.03,2.20,2.06,0.15,100.00
New Zealand First Party,1227,5.13,1.79,3.34,38.39,34.15,3.42,5.05,2.93,5.30,0.49,100.00
NZ Outdoors Party,123,0.81,4.88,1.63,5.69,15.45,0.81,68.29,0.00,0.81,1.63,100.00
ONE Party,184,0.54,2.17,0.54,1.63,19.02,1.09,1.63,70.11,1.09,2.17,100.00
Social Credit,14,14.29,7.14,21.43,21.43,7.14,7.14,7.14,14.29,0.00,0.00,100.00
Sustainable New Zealand Party,23,0.00,4.35,21.74,17.39,26.09,4.35,21.74,0.00,4.35,0.00,100.00
TEA Party,9,0.00,0.00,11.11,0.00,77.78,0.00,11.11,0.00,0.00,0.00,100.00
The Opportunities Party (TOP),592,4.73,1.01,12.67,38.34,33.11,1.35,4.73,0.51,3.55,0.00,100.00
Vision New Zealand,23,4.35,4.35,8.70,17.39,21.74,8.70,8.70,21.74,4.35,0.00,100.00
Informal Party Votes,275,3.27,0.36,1.45,12.73,19.64,1.09,1.09,1.82,56.36,2.18,100.00
Total Party Votes and Percentages,44406,4.16,1.20,4.54,35.99,47.52,1.37,1.45,0.93,2.09,0.74,100.00
