53 Te Atatū,Total Party Votes,"COURT, Simon Thomas (ACT New Zealand)","HINDMAN, Scott James (Green Party)","TWYFORD, Philip Stoner (Labour Party)","NGARO, Alf Metuakore (National Party)","PASEKA, Okusitino Isitolo (New Conservative)","AMOAH, Frank (TEA Party)","MONK, Brendon John (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,1954,39.10,1.07,6.65,49.69,0.41,0.41,0.77,1.18,0.72,100.00
Advance NZ,289,8.30,11.42,17.99,25.61,13.15,2.08,7.96,11.76,1.73,100.00
Aotearoa Legalise Cannabis Party,128,3.91,21.09,44.53,7.03,3.91,0.78,3.91,11.72,3.12,100.00
Green Party,2480,0.65,31.33,58.75,4.88,0.08,0.16,2.46,0.93,0.77,100.00
HeartlandNZ,2,0.00,0.00,0.00,50.00,0.00,0.00,0.00,50.00,0.00,100.00
Labour Party,22106,1.13,4.77,82.99,6.00,0.34,0.33,0.68,2.69,1.08,100.00
Māori Party,256,2.34,14.45,43.36,22.27,2.34,1.17,3.52,3.91,6.64,100.00
National Party,8653,5.27,0.59,4.45,85.89,0.43,0.49,0.39,1.96,0.53,100.00
New Conservative,537,0.74,0.93,2.79,54.38,38.36,0.00,0.56,1.68,0.56,100.00
New Zealand First Party,966,5.69,4.66,47.00,28.78,4.87,0.72,2.48,5.18,0.62,100.00
NZ Outdoors Party,21,9.52,19.05,14.29,19.05,0.00,19.05,19.05,0.00,0.00,100.00
ONE Party,110,2.73,2.73,10.91,59.09,15.45,0.91,0.00,7.27,0.91,100.00
Social Credit,11,0.00,9.09,45.45,18.18,9.09,0.00,18.18,0.00,0.00,100.00
Sustainable New Zealand Party,31,9.68,22.58,29.03,6.45,0.00,6.45,16.13,6.45,3.23,100.00
TEA Party,114,6.14,0.00,8.77,10.53,0.88,65.79,0.88,6.14,0.88,100.00
The Opportunities Party (TOP),403,2.48,4.47,25.81,13.40,0.74,0.50,49.38,0.50,2.73,100.00
Vision New Zealand,22,0.00,4.55,18.18,31.82,4.55,13.64,9.09,13.64,4.55,100.00
Informal Party Votes,319,1.88,0.94,31.03,11.91,0.63,0.94,0.00,51.41,1.25,100.00
Total Party Votes and Percentages,38402,4.19,5.44,55.34,27.98,1.17,0.61,1.40,2.90,0.97,100.00
