54 Tukituki,Total Party Votes,"DAFFERN, Elizabeth Janine (ACT New Zealand)","PETERSON, Carl James (Advance NZ)","MANNING, Romana Lea (Aotearoa Legalise Cannabis Party)","TOSH, Allister David (Future Youth Party)","PERLEY, Christopher John Keith (Green Party)","LORCK, Anna Louise (Labour Party)","YULE, Lawrence Arden (National Party)","McMINN-COLLARD, Nicholas Geoffrey (New Conservative)","PETROWSKI, Melanie Lorraine (ONE Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3745,15.57,0.21,0.35,0.16,0.80,9.13,71.38,0.83,0.27,0.88,0.43,100.00
Advance NZ,396,1.77,67.93,0.51,0.25,3.79,4.29,15.66,2.02,1.01,1.77,1.01,100.00
Aotearoa Legalise Cannabis Party,204,0.98,1.47,65.20,0.49,6.86,15.20,3.43,0.98,0.00,0.98,4.41,100.00
Green Party,2273,0.22,0.26,1.19,0.22,26.26,60.76,9.81,0.04,0.04,0.66,0.53,100.00
HeartlandNZ,5,0.00,0.00,40.00,0.00,0.00,20.00,40.00,0.00,0.00,0.00,0.00,100.00
Labour Party,20300,0.64,0.07,1.28,0.09,4.82,79.51,10.52,0.29,0.21,1.59,0.99,100.00
Māori Party,162,2.47,1.23,8.64,0.62,12.35,50.00,14.81,2.47,3.09,1.85,2.47,100.00
National Party,12524,2.16,0.06,0.18,0.04,0.39,3.00,91.82,0.81,0.21,1.07,0.27,100.00
New Conservative,902,0.89,0.33,0.11,0.00,0.67,3.77,42.68,48.67,0.78,1.33,0.78,100.00
New Zealand First Party,869,2.76,1.38,1.96,0.58,1.84,52.01,29.00,3.22,1.61,4.72,0.92,100.00
NZ Outdoors Party,33,3.03,6.06,15.15,3.03,12.12,30.30,21.21,0.00,3.03,6.06,0.00,100.00
ONE Party,104,0.00,0.96,0.00,0.00,0.00,5.77,31.73,1.92,56.73,1.92,0.96,100.00
Social Credit,20,5.00,5.00,0.00,0.00,15.00,45.00,10.00,5.00,5.00,10.00,0.00,100.00
Sustainable New Zealand Party,25,4.00,0.00,4.00,4.00,16.00,36.00,24.00,4.00,0.00,8.00,0.00,100.00
TEA Party,5,0.00,0.00,20.00,0.00,0.00,20.00,20.00,0.00,20.00,20.00,0.00,100.00
The Opportunities Party (TOP),454,2.20,1.10,3.96,0.66,14.98,35.90,35.02,1.10,0.22,3.30,1.54,100.00
Vision New Zealand,19,0.00,0.00,0.00,10.53,5.26,5.26,26.32,15.79,5.26,21.05,10.53,100.00
Informal Party Votes,309,1.62,0.65,1.62,0.32,0.97,25.24,21.36,0.32,0.32,44.98,2.59,100.00
Total Party Votes and Percentages,42349,2.48,0.79,1.23,0.12,4.27,45.18,41.42,1.62,0.41,1.74,0.74,100.00
