55 Upper Harbour,Total Party Votes,"CHHOUR, Karen Louise (ACT New Zealand)","VAUGHAN, Peter John (Advance NZ)","NICHOLLS, Ryan George (Green Party)","WALTERS, Vanushi (Labour Party)","BEZZANT, Jacob Max (National Party)","SOARES, Bernadette Lourdes (New Conservative)","GIORZA, Catherine Veronica (NZ Outdoors Party)","THOMAS, Dion Robert Wayne (Sustainable New Zealand Party)","TAN, Winson (TEA Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3066,27.79,0.20,0.78,3.69,63.70,1.30,0.16,0.20,0.75,0.98,0.46,100.00
Advance NZ,256,0.78,78.91,2.34,1.95,7.42,4.30,1.17,0.39,0.00,1.17,1.56,100.00
Aotearoa Legalise Cannabis Party,157,3.18,1.91,24.20,43.95,7.64,0.64,3.82,2.55,1.27,3.82,7.01,100.00
Green Party,2151,1.30,0.23,35.56,54.81,5.07,0.46,0.56,0.23,0.14,0.70,0.93,100.00
HeartlandNZ,5,40.00,0.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,100.00
Labour Party,19507,1.52,0.20,7.06,78.42,6.94,0.99,0.30,0.25,0.51,2.68,1.14,100.00
Māori Party,144,3.47,3.47,20.14,41.67,12.50,2.78,4.86,0.00,1.39,4.17,5.56,100.00
National Party,12675,3.35,0.17,0.78,1.55,88.36,2.01,0.13,0.09,1.18,1.75,0.62,100.00
New Conservative,752,0.40,0.00,0.40,1.33,10.51,85.24,0.13,0.27,0.27,1.06,0.40,100.00
New Zealand First Party,797,6.40,1.38,4.27,39.15,29.74,8.28,2.38,1.13,1.25,4.64,1.38,100.00
NZ Outdoors Party,22,0.00,0.00,0.00,9.09,13.64,0.00,68.18,0.00,4.55,0.00,4.55,100.00
ONE Party,81,7.41,11.11,1.23,7.41,20.99,38.27,0.00,0.00,6.17,4.94,2.47,100.00
Social Credit,5,0.00,0.00,0.00,20.00,40.00,0.00,20.00,0.00,0.00,20.00,0.00,100.00
Sustainable New Zealand Party,46,4.35,0.00,4.35,15.22,15.22,2.17,2.17,54.35,2.17,0.00,0.00,100.00
TEA Party,136,0.00,0.00,0.74,0.74,13.24,0.00,0.00,0.74,80.15,3.68,0.74,100.00
The Opportunities Party (TOP),559,5.19,1.07,17.17,44.54,22.54,1.07,1.97,2.33,0.54,1.79,1.79,100.00
Vision New Zealand,20,5.00,5.00,10.00,15.00,20.00,15.00,0.00,0.00,5.00,20.00,5.00,100.00
Informal Party Votes,281,1.78,0.36,3.56,21.71,8.54,1.07,0.00,0.00,0.00,59.43,3.56,100.00
Total Party Votes and Percentages,40660,4.21,0.76,6.12,43.22,37.34,3.11,0.39,0.31,1.01,2.56,0.97,100.00
