56 Waikato,Total Party Votes,"McDOWALL, James Samuel (ACT New Zealand)","LEONI, Kerrin (Labour Party)","VAN DE MOLEN, Timothy John (National Party)","ANSELL, Caleb John (New Conservative)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4340,24.65,2.07,70.60,1.54,0.53,0.60,100.00
Advance NZ,373,14.48,13.94,23.32,34.32,12.87,1.07,100.00
Aotearoa Legalise Cannabis Party,173,9.25,50.29,19.08,6.36,7.51,7.51,100.00
Green Party,1454,2.54,79.92,12.79,1.58,2.48,0.69,100.00
HeartlandNZ,16,37.50,6.25,56.25,0.00,0.00,0.00,100.00
Labour Party,16288,1.76,81.81,12.14,0.66,2.27,1.36,100.00
Māori Party,145,4.83,51.03,25.52,6.90,4.83,6.90,100.00
National Party,15562,2.82,0.58,93.32,1.63,1.12,0.53,100.00
New Conservative,1053,1.04,2.09,22.70,72.46,0.66,1.04,100.00
New Zealand First Party,1117,7.79,39.21,35.81,9.67,6.54,0.98,100.00
NZ Outdoors Party,30,20.00,36.67,20.00,10.00,10.00,3.33,100.00
ONE Party,87,3.45,1.15,39.08,50.57,3.45,2.30,100.00
Social Credit,19,5.26,52.63,31.58,0.00,10.53,0.00,100.00
Sustainable New Zealand Party,20,10.00,30.00,45.00,0.00,15.00,0.00,100.00
TEA Party,13,30.77,0.00,46.15,7.69,7.69,7.69,100.00
The Opportunities Party (TOP),518,9.27,44.59,39.58,3.09,2.51,0.97,100.00
Vision New Zealand,46,4.35,17.39,15.22,17.39,32.61,13.04,100.00
Informal Party Votes,263,1.52,20.15,19.01,2.66,53.61,3.04,100.00
Total Party Votes and Percentages,41517,5.02,37.72,50.29,3.74,2.25,0.99,100.00
