57 Waimakariri,Total Party Votes,"DAVIES, James John (ACT New Zealand)","RICHARDSON, Anthea Rochelle (Advance NZ)","ROSEWARNE, Daniel Peter (Labour Party)","DOOCEY, Matthew Maurice (National Party)","BAKER, Leighton James (New Conservative)","McISAAC, Lawrence William Russell (Social Credit)","HYNDMAN, John (Sustainable New Zealand Party)","SADLER, Bjorn Michael Serge (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4324,18.50,0.14,3.56,74.01,2.24,0.19,0.37,0.21,0.56,0.23,100.00
Advance NZ,353,1.13,66.29,4.25,7.93,13.60,0.85,1.70,0.57,2.55,1.13,100.00
Aotearoa Legalise Cannabis Party,174,5.17,1.72,38.51,26.44,2.87,2.87,4.02,6.32,7.47,4.60,100.00
Green Party,2168,1.06,0.78,70.94,17.67,0.92,0.55,4.80,0.83,1.75,0.69,100.00
HeartlandNZ,3,33.33,0.00,0.00,33.33,0.00,0.00,0.00,0.00,33.33,0.00,100.00
Labour Party,23088,0.84,0.17,74.95,19.97,0.76,0.21,0.68,0.42,1.48,0.53,100.00
Māori Party,74,2.70,0.00,28.38,36.49,10.81,1.35,10.81,2.70,4.05,2.70,100.00
National Party,13245,1.80,0.17,0.73,93.39,2.39,0.05,0.09,0.09,0.91,0.37,100.00
New Conservative,1399,0.50,0.21,0.93,8.22,88.78,0.07,0.14,0.00,0.79,0.36,100.00
New Zealand First Party,989,4.15,1.11,39.03,37.01,8.49,0.71,1.72,1.92,5.46,0.40,100.00
NZ Outdoors Party,37,5.41,8.11,18.92,27.03,5.41,0.00,18.92,5.41,10.81,0.00,100.00
ONE Party,49,6.12,6.12,2.04,26.53,46.94,2.04,0.00,0.00,10.20,0.00,100.00
Social Credit,40,2.50,2.50,10.00,15.00,0.00,67.50,0.00,2.50,0.00,0.00,100.00
Sustainable New Zealand Party,55,5.45,0.00,9.09,23.64,1.82,0.00,52.73,0.00,5.45,1.82,100.00
TEA Party,14,7.14,0.00,35.71,21.43,0.00,7.14,0.00,28.57,0.00,0.00,100.00
The Opportunities Party (TOP),435,4.14,2.76,39.08,33.33,4.83,0.92,8.97,3.45,1.61,0.92,100.00
Vision New Zealand,20,10.00,25.00,0.00,10.00,20.00,5.00,0.00,5.00,25.00,0.00,100.00
Informal Party Votes,356,1.40,0.56,34.27,22.19,2.81,0.56,0.56,1.40,34.83,1.40,100.00
Total Party Votes and Percentages,46823,2.89,0.78,42.52,45.74,4.39,0.27,0.86,0.42,1.63,0.49,100.00
