58 Wairarapa,Total Party Votes,"GREENSLADE, Roger Murray (ACT New Zealand)","GRAY, Nigel Antony (Advance NZ)","WADE-BROWN, Celia Margaret (Green Party)","McANULTY, Kieran Michael (Labour Party)","BUTTERICK, Michael David (National Party)","BUTTERWORTH, Warren Langley (New Conservative)","MARK, Ron Stanley (New Zealand First Party)","HAEATA, Aileen Myra (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4132,14.84,0.22,0.34,11.79,65.49,1.02,5.42,0.15,0.46,0.29,100.00
Advance NZ,464,1.72,73.92,1.72,5.82,8.41,1.72,3.02,0.22,2.37,1.08,100.00
Aotearoa Legalise Cannabis Party,167,3.59,3.59,22.75,34.73,8.38,1.20,14.37,4.79,4.19,2.40,100.00
Green Party,2329,0.13,0.04,19.28,73.94,2.75,0.13,2.58,0.39,0.34,0.43,100.00
HeartlandNZ,3,0.00,0.00,0.00,0.00,0.00,33.33,33.33,33.33,0.00,0.00,100.00
Labour Party,21673,0.50,0.16,3.27,84.58,3.17,0.13,6.13,0.14,1.29,0.64,100.00
Māori Party,125,0.00,0.80,12.80,44.80,14.40,0.00,16.00,5.60,1.60,4.00,100.00
National Party,13165,2.28,0.11,0.34,4.36,87.35,0.91,3.40,0.04,0.92,0.29,100.00
New Conservative,670,0.90,0.15,0.15,3.58,30.45,51.79,11.19,0.45,0.90,0.45,100.00
New Zealand First Party,1545,0.45,0.19,0.91,25.18,8.80,0.58,62.33,0.39,0.71,0.45,100.00
NZ Outdoors Party,50,8.00,14.00,10.00,20.00,16.00,2.00,24.00,4.00,2.00,0.00,100.00
ONE Party,137,2.19,8.76,0.00,10.95,18.98,10.22,33.58,4.38,10.22,0.73,100.00
Social Credit,9,0.00,11.11,0.00,44.44,11.11,11.11,11.11,0.00,11.11,0.00,100.00
Sustainable New Zealand Party,9,11.11,0.00,0.00,55.56,11.11,0.00,11.11,11.11,0.00,0.00,100.00
TEA Party,5,0.00,0.00,20.00,20.00,20.00,0.00,20.00,0.00,20.00,0.00,100.00
The Opportunities Party (TOP),490,2.45,1.22,11.43,54.69,13.88,1.43,8.57,4.49,0.82,1.02,100.00
Vision New Zealand,12,0.00,0.00,0.00,16.67,16.67,16.67,33.33,8.33,8.33,0.00,100.00
Informal Party Votes,279,1.43,1.08,1.43,24.73,8.60,0.72,5.02,0.00,53.76,3.23,100.00
Total Party Votes and Percentages,45264,2.38,0.98,3.00,48.70,34.24,1.30,7.24,0.24,1.41,0.52,100.00
