59 Waitaki,Total Party Votes,"BEAMISH, Sean Michael (ACT New Zealand)","PENNYCOOK, Heather Meri (Advance NZ)","KIURU, Sampsa Petri (Green Party)","WAIREPO, Liam Storm (Labour Party)","DEAN, Jacqueline Isobel (National Party)","ALLAN, Troy David (New Conservative)","ODERING, Anthony Vickers (New Zealand First Party)","MOWAT-GAINSFORD, Brian Clifford (Sustainable New Zealand Party)","SHAND, Daniel James (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,5145,20.80,0.41,0.80,3.19,69.89,0.66,0.06,0.17,2.99,0.78,0.25,100.00
Advance NZ,471,1.70,82.17,0.21,2.12,6.79,1.27,0.42,0.64,3.18,0.00,1.49,100.00
Aotearoa Legalise Cannabis Party,185,3.24,2.70,17.84,31.89,11.35,3.24,4.32,2.16,17.30,4.32,1.62,100.00
Green Party,2501,0.52,0.60,36.27,50.02,5.96,0.00,0.20,0.68,4.56,0.80,0.40,100.00
HeartlandNZ,2,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,19466,1.08,0.33,6.76,73.27,12.52,0.34,0.77,0.34,2.36,1.71,0.53,100.00
Māori Party,54,1.85,7.41,9.26,31.48,20.37,1.85,3.70,3.70,11.11,5.56,3.70,100.00
National Party,13805,3.22,0.25,0.33,0.75,92.41,0.72,0.14,0.15,0.83,0.84,0.36,100.00
New Conservative,848,0.35,2.36,0.24,1.53,23.58,69.10,0.24,0.00,0.83,1.53,0.24,100.00
New Zealand First Party,876,1.60,1.60,1.48,23.40,26.71,2.63,35.27,0.68,3.65,2.40,0.57,100.00
NZ Outdoors Party,73,2.74,10.96,9.59,15.07,17.81,2.74,4.11,8.22,20.55,6.85,1.37,100.00
ONE Party,71,1.41,9.86,1.41,7.04,43.66,19.72,1.41,2.82,1.41,9.86,1.41,100.00
Social Credit,9,0.00,11.11,11.11,22.22,11.11,0.00,0.00,0.00,22.22,22.22,0.00,100.00
Sustainable New Zealand Party,63,3.17,0.00,3.17,7.94,15.87,0.00,3.17,57.14,9.52,0.00,0.00,100.00
TEA Party,8,0.00,0.00,0.00,25.00,25.00,0.00,0.00,25.00,25.00,0.00,0.00,100.00
The Opportunities Party (TOP),576,5.38,1.91,17.71,35.07,18.23,1.56,1.04,2.43,14.41,1.56,0.69,100.00
Vision New Zealand,11,0.00,9.09,0.00,9.09,18.18,27.27,0.00,0.00,27.27,0.00,9.09,100.00
Informal Party Votes,273,0.73,0.37,2.56,23.81,20.15,0.73,2.20,0.37,4.03,44.69,0.37,100.00
Total Party Votes and Percentages,44437,4.07,1.34,5.59,36.86,44.24,1.92,1.17,0.43,2.38,1.57,0.46,100.00
