60 Wellington Central,Total Party Votes,"van VELDEN, Brooke Olivia (ACT New Zealand)","GREALLY, Roseanne Mary (Advance NZ)","APPLEBY, Michael George (Aotearoa Legalise Cannabis Party)","SHAW, James Peter Edward (Green Party)","ROBERTSON, Grant Murray (Labour Party)","WILLIS, Nicola Valentine (National Party)","RICHFIELD, Liam James (New Conservative)","BRUCE, Robert (NZ Outdoors Party)","SUNDERLAND, Gina Dolores (ONE Party)","GRAY, Abraham Gabriel (The Opportunities Party (TOP))","RICHARDSON, Jesse (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2339,22.15,0.09,0.43,3.38,13.72,57.37,0.34,0.26,0.04,0.73,0.64,0.26,0.60,100.00
Advance NZ,103,1.94,73.79,3.88,3.88,3.88,2.91,0.00,0.97,1.94,0.97,0.00,2.91,2.91,100.00
Aotearoa Legalise Cannabis Party,132,0.76,0.00,59.85,13.64,12.12,3.79,0.00,0.00,0.00,0.76,1.52,2.27,5.30,100.00
Green Party,14587,0.23,0.02,0.51,36.57,57.87,1.24,0.01,0.05,0.01,1.27,1.52,0.22,0.47,100.00
HeartlandNZ,1,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,20876,0.44,0.02,0.84,11.40,80.71,3.50,0.04,0.12,0.04,1.00,0.43,0.74,0.71,100.00
Māori Party,255,2.75,0.78,1.96,25.49,43.92,14.12,1.18,1.96,0.78,3.14,1.57,1.57,0.78,100.00
National Party,6937,2.29,0.10,0.36,1.82,8.59,84.01,0.69,0.09,0.19,0.40,0.17,0.75,0.53,100.00
New Conservative,204,0.98,0.98,0.00,1.47,6.86,18.63,62.75,0.49,3.43,0.98,0.00,2.94,0.49,100.00
New Zealand First Party,537,4.10,1.49,2.42,6.15,52.51,21.97,2.61,0.93,0.74,1.86,1.30,2.42,1.49,100.00
NZ Outdoors Party,27,3.70,0.00,0.00,0.00,18.52,7.41,0.00,55.56,3.70,3.70,3.70,3.70,0.00,100.00
ONE Party,56,0.00,1.79,0.00,1.79,12.50,8.93,1.79,0.00,67.86,1.79,0.00,3.57,0.00,100.00
Social Credit,18,5.56,0.00,5.56,22.22,38.89,11.11,0.00,0.00,0.00,11.11,5.56,0.00,0.00,100.00
Sustainable New Zealand Party,32,0.00,0.00,0.00,25.00,28.12,31.25,0.00,0.00,3.12,6.25,6.25,0.00,0.00,100.00
TEA Party,12,0.00,0.00,0.00,0.00,41.67,41.67,0.00,0.00,0.00,0.00,0.00,16.67,0.00,100.00
The Opportunities Party (TOP),1790,1.56,0.11,0.61,17.71,36.76,8.72,0.11,0.22,0.11,31.45,1.62,0.50,0.50,100.00
Vision New Zealand,8,0.00,0.00,0.00,12.50,12.50,25.00,12.50,0.00,37.50,0.00,0.00,0.00,0.00,100.00
Informal Party Votes,176,0.00,0.57,1.70,3.98,21.02,13.64,0.57,0.00,0.00,0.57,0.00,55.68,2.27,100.00
Total Party Votes and Percentages,48090,1.80,0.22,0.83,17.43,56.91,17.65,0.45,0.16,0.17,2.14,0.80,0.80,0.63,100.00
