63 Whangaparāoa,Total Party Votes,"GRACE, Paul Russel (ACT New Zealand)","FLAY, Kathryn Grace (Advance NZ)","FERGUSON, Lorayne Frances (Labour Party)","MITCHELL, Mark Patrick (National Party)","MACKENZIE, Fiona (New Conservative)","CHEEL, Patricia (NZ Outdoors Party)","DAVIES, John Whyndham (Sustainable New Zealand Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4827,18.79,0.35,2.15,76.22,1.16,0.27,0.23,0.52,0.31,100.00
Advance NZ,525,1.33,83.43,1.14,9.71,2.10,0.95,0.76,0.38,0.19,100.00
Aotearoa Legalise Cannabis Party,124,4.84,3.23,33.87,21.77,1.61,17.74,11.29,4.03,1.61,100.00
Green Party,2227,1.66,1.12,69.65,14.01,0.63,3.50,6.74,1.71,0.99,100.00
HeartlandNZ,3,0.00,0.00,66.67,33.33,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,18217,1.42,0.44,74.41,18.32,0.70,0.90,1.48,1.60,0.73,100.00
Māori Party,91,0.00,3.30,50.55,25.27,3.30,5.49,4.40,5.49,2.20,100.00
National Party,16696,2.74,0.22,0.63,92.61,2.08,0.20,0.20,1.03,0.30,100.00
New Conservative,1028,0.58,0.88,0.97,17.41,78.50,0.10,0.10,1.17,0.29,100.00
New Zealand First Party,979,5.01,2.76,31.97,42.39,7.97,1.53,2.55,5.11,0.72,100.00
NZ Outdoors Party,48,0.00,0.00,6.25,12.50,2.08,72.92,0.00,2.08,4.17,100.00
ONE Party,55,1.82,10.91,5.45,45.45,29.09,5.45,0.00,1.82,0.00,100.00
Social Credit,11,0.00,0.00,18.18,27.27,9.09,18.18,18.18,9.09,0.00,100.00
Sustainable New Zealand Party,65,0.00,0.00,10.77,13.85,3.08,3.08,67.69,1.54,0.00,100.00
TEA Party,39,2.56,7.69,15.38,51.28,10.26,0.00,2.56,10.26,0.00,100.00
The Opportunities Party (TOP),554,4.87,1.62,39.17,38.99,2.35,3.43,7.40,1.44,0.72,100.00
Vision New Zealand,9,0.00,0.00,11.11,33.33,11.11,0.00,11.11,22.22,11.11,100.00
Informal Party Votes,180,0.56,0.56,13.89,30.00,1.67,1.11,2.22,48.33,1.67,100.00
Total Party Votes and Percentages,45678,3.85,1.44,35.03,52.15,3.25,0.88,1.32,1.54,0.54,100.00
