64 Whangārei,Total Party Votes,"SEYMOUR, David Andrew (ACT New Zealand)","WETERE, Christopher Alexander Mohi (Advance NZ)","de JONGE, Jennifer Marie (Aotearoa Legalise Cannabis Party)","ARMSTRONG, Moea (Green Party)","HENDERSON, Lorenza Emily Preston (Labour Party)","RETI, Shane (National Party)","CAMPBELL, Kerry Alex (New Conservative)","WILSON, David Ashley (New Zealand First Party)","WATTS, Daniel Ross (ONE Party)","LEITCH, Christopher John (Social Credit)","SWORDS, Ciara Rose (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3650,24.11,0.19,0.19,0.14,2.77,69.73,0.30,0.66,0.14,0.60,0.49,0.30,0.38,100.00
Advance NZ,686,3.21,77.26,1.31,0.87,1.90,8.16,1.17,0.58,0.58,0.87,0.87,1.75,1.46,100.00
Aotearoa Legalise Cannabis Party,274,2.19,1.09,63.50,2.92,16.06,4.74,0.36,1.82,0.00,0.00,0.73,1.82,4.74,100.00
Green Party,2738,1.31,0.33,1.17,23.85,59.35,7.93,0.11,0.69,0.15,1.28,2.99,0.29,0.55,100.00
HeartlandNZ,4,0.00,0.00,0.00,0.00,25.00,0.00,50.00,0.00,0.00,0.00,25.00,0.00,0.00,100.00
Labour Party,20942,2.30,0.15,1.47,4.08,72.41,13.25,0.15,2.19,0.24,0.55,1.13,1.25,0.83,100.00
Māori Party,149,5.37,3.36,5.37,16.78,27.52,20.13,0.67,5.37,2.68,3.36,2.01,2.01,5.37,100.00
National Party,11602,5.00,0.15,0.14,0.22,0.92,91.05,0.41,0.53,0.16,0.22,0.16,0.79,0.23,100.00
New Conservative,814,1.84,1.35,0.12,0.25,1.84,39.07,50.49,1.23,1.60,1.11,0.25,0.49,0.37,100.00
New Zealand First Party,2268,3.70,0.40,1.01,0.66,22.13,25.88,0.84,40.39,0.71,1.72,0.49,1.15,0.93,100.00
NZ Outdoors Party,42,16.67,19.05,7.14,4.76,11.90,19.05,2.38,7.14,0.00,4.76,7.14,0.00,0.00,100.00
ONE Party,249,0.00,4.42,0.00,0.00,0.80,21.69,0.40,0.40,66.27,1.61,0.40,0.80,3.21,100.00
Social Credit,133,2.26,1.50,0.00,0.00,12.03,12.03,0.75,3.01,0.00,63.16,2.26,2.26,0.75,100.00
Sustainable New Zealand Party,23,4.35,4.35,0.00,21.74,13.04,39.13,4.35,0.00,0.00,4.35,8.70,0.00,0.00,100.00
TEA Party,10,10.00,10.00,10.00,10.00,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
The Opportunities Party (TOP),663,3.32,0.30,0.60,3.77,20.36,20.66,0.15,1.06,0.75,0.75,47.51,0.00,0.75,100.00
Vision New Zealand,44,2.27,13.64,11.36,4.55,6.82,25.00,2.27,6.82,4.55,2.27,0.00,13.64,6.82,100.00
Informal Party Votes,297,2.02,0.34,2.02,1.68,14.48,16.50,1.01,1.01,0.00,0.34,0.00,59.60,1.01,100.00
Total Party Votes and Percentages,44588,4.83,1.47,1.34,3.67,39.97,39.01,1.22,3.42,0.64,0.80,1.58,1.37,0.68,100.00
