66 Hauraki-Waikato,Total Party Votes,"LAMBERT, Phillip Stephen (Advance NZ)","MAHUTA, Nanaia Cybele (Labour Party)","POKERE-PHILLIPS, Donna (Māori Party)","HILL, Richard Edward (New Conservative)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,322,7.14,31.06,33.85,15.53,8.70,3.73,100.00
Advance NZ,685,72.70,8.91,10.66,1.17,2.19,4.38,100.00
Aotearoa Legalise Cannabis Party,486,3.91,47.12,36.21,1.23,7.20,4.32,100.00
Green Party,1557,1.54,56.84,36.87,0.51,1.67,2.57,100.00
HeartlandNZ,21,0.00,57.14,23.81,14.29,4.76,0.00,100.00
Labour Party,15884,0.51,79.71,14.54,0.33,2.19,2.71,100.00
Māori Party,3008,0.63,29.16,65.82,0.17,1.83,2.39,100.00
National Party,915,7.54,18.25,40.55,18.69,9.84,5.14,100.00
New Conservative,100,2.00,10.00,8.00,76.00,0.00,4.00,100.00
New Zealand First Party,898,3.34,56.46,30.96,2.45,4.12,2.67,100.00
NZ Outdoors Party,28,7.14,35.71,28.57,17.86,0.00,10.71,100.00
ONE Party,69,5.80,21.74,43.48,7.25,20.29,1.45,100.00
Social Credit,3,0.00,33.33,66.67,0.00,0.00,0.00,100.00
Sustainable New Zealand Party,9,11.11,33.33,44.44,0.00,0.00,11.11,100.00
TEA Party,1,0.00,0.00,100.00,0.00,0.00,0.00,100.00
The Opportunities Party (TOP),250,3.60,51.60,37.20,2.40,2.80,2.40,100.00
Vision New Zealand,301,10.30,20.27,46.84,1.66,18.60,2.33,100.00
Informal Party Votes,525,1.52,29.90,11.81,0.57,52.00,4.19,100.00
Total Party Votes and Percentages,25062,3.27,63.38,24.84,1.70,3.93,2.88,100.00
