68 Tāmaki Makaurau,Total Party Votes,"DAVIDSON, Marama Mere-Ana (Green Party)","HENARE, Peeni Ereatara Gladwyn (Labour Party)","TAMIHERE, John Henry (Māori Party)","ANDERSON, Erina Jane (New Conservative)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,284,11.27,18.66,45.42,16.20,5.99,2.46,100.00
Advance NZ,490,17.76,7.14,50.82,8.37,12.04,3.88,100.00
Aotearoa Legalise Cannabis Party,393,23.41,32.32,32.32,0.25,5.34,6.36,100.00
Green Party,2801,56.91,16.82,23.17,0.11,0.68,2.32,100.00
HeartlandNZ,2,50.00,0.00,50.00,0.00,0.00,0.00,100.00
Labour Party,16066,15.42,53.39,25.74,0.30,1.93,3.22,100.00
Māori Party,3401,9.20,9.67,76.10,0.26,1.56,3.20,100.00
National Party,832,11.66,10.82,51.92,14.78,8.05,2.76,100.00
New Conservative,138,2.90,7.97,15.22,70.29,0.72,2.90,100.00
New Zealand First Party,1126,9.77,33.39,49.11,2.93,3.37,1.42,100.00
NZ Outdoors Party,16,31.25,25.00,25.00,6.25,0.00,12.50,100.00
ONE Party,64,9.38,17.19,51.56,4.69,9.38,7.81,100.00
Social Credit,5,0.00,20.00,60.00,0.00,20.00,0.00,100.00
Sustainable New Zealand Party,13,38.46,23.08,30.77,0.00,7.69,0.00,100.00
TEA Party,8,25.00,12.50,37.50,0.00,12.50,12.50,100.00
The Opportunities Party (TOP),274,36.50,21.53,37.96,1.09,0.36,2.55,100.00
Vision New Zealand,388,10.31,7.99,54.12,4.12,18.30,5.15,100.00
Informal Party Votes,485,8.45,15.88,17.11,0.62,50.31,7.63,100.00
Total Party Votes and Percentages,26786,18.69,38.29,34.83,1.59,3.40,3.20,100.00
