70 Te Tai Tokerau,Total Party Votes,"HERBERT, Sheree Dawn (Maki) (Aotearoa Legalise Cannabis Party)","DAVIS, Kelvin (Labour Party)","KAPA-KINGI, Mariameno (Māori Party)","SHORTLAND, Daniel (New Conservative)","TE KAHIKA, William Desmond (NZ Public Party)","ARAHANGA-EPIHA, Janice Ruby Maria (ONE Party)","DEARLOVE, Clinton John (Independent)","MOHOAWHENUA, Moemoea (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,363,8.82,30.58,27.27,7.71,8.26,2.48,4.41,1.10,6.61,2.75,100.00
Advance NZ,771,3.89,1.82,2.33,0.26,85.47,0.39,0.78,0.00,1.69,3.37,100.00
Aotearoa Legalise Cannabis Party,791,68.39,11.50,7.71,0.25,4.55,0.76,0.51,0.38,2.15,3.79,100.00
Green Party,2044,7.68,45.11,39.38,0.49,2.59,0.34,0.64,0.49,0.93,2.35,100.00
HeartlandNZ,3,0.00,66.67,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,16692,6.24,70.26,16.36,0.25,1.28,0.61,0.75,0.23,1.67,2.35,100.00
Māori Party,2828,3.43,17.15,69.63,0.21,3.64,0.50,0.88,0.67,1.34,2.55,100.00
National Party,1002,7.88,21.56,35.13,9.58,5.79,2.79,3.89,2.20,8.08,3.09,100.00
New Conservative,108,0.00,2.78,6.48,66.67,15.74,5.56,0.00,0.00,0.93,1.85,100.00
New Zealand First Party,1974,4.20,54.31,26.65,1.72,4.81,1.06,1.37,0.96,3.34,1.57,100.00
NZ Outdoors Party,25,20.00,20.00,12.00,4.00,16.00,0.00,8.00,4.00,8.00,8.00,100.00
ONE Party,284,1.41,7.04,6.69,0.70,4.58,75.00,0.35,0.00,2.11,2.11,100.00
Social Credit,3,0.00,66.67,0.00,0.00,33.33,0.00,0.00,0.00,0.00,0.00,100.00
Sustainable New Zealand Party,9,11.11,11.11,33.33,0.00,11.11,0.00,0.00,11.11,11.11,11.11,100.00
TEA Party,1,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
The Opportunities Party (TOP),279,7.17,44.09,34.41,0.72,7.89,0.36,1.08,1.43,0.72,2.15,100.00
Vision New Zealand,141,5.67,12.06,32.62,0.00,16.31,13.48,1.42,4.26,10.64,3.55,100.00
Informal Party Votes,474,6.75,25.11,6.96,0.00,4.01,0.84,0.42,0.42,52.32,3.16,100.00
Total Party Votes and Percentages,27792,7.67,53.73,24.35,1.07,4.85,1.56,0.95,0.46,2.92,2.44,100.00
