"",ALP,,LIB,,NP,,CLP,
From,F/Party,% F,F/Party,% F,F/Party,% F,F/Party,% F
21.8.1943,1/22,4.5,0/12,,0/2,,,
1.7.1947,1/33,3.0,1/2,50.0,0/1,,,
22.2./1.7.1950,1/34,2.9,3/20,15.0,0/6,,,
28.4.1951*,1/28,3.6,3/26,11.5,0/6,,,
1.7.1953,1/29,3.4,3/26,11.5,0/5,,,
11.10.1955,1/29,3.4,4/26,15.4,0/5,,,
10.12.1955,1/29,3.4,3/25,12.0,1/6,16.7,,
1.7.1956,1/28,3.6,3/24,12.5,1/6,16.7,,
1.7.1959,1/26,3.8,3/25,12.0,1/7,14.3,,
1.7.1962,1/28,3.6,4/24,16.7,0/6,,,
1.7.1965,1/27,3.7,3/23,13.0,0/7,,,
1.7.1968,0/27,,3/21,14.3,0/7,,,
11.6.1971,0/27,,2/21,9.5,0/7,,,
1.7.1971,0/26,,2/21,9.5,0/5,,,
18.5.1974*,2/29,6.9,2/23,8.7,0/6,,,
13.12.1975*,3/27,11.1,3/27,11.1,0/7,,0/1,
14.12.1977,3/27,11.1,3/27,11.1,0/7,,0/1,
1.7.1978,3/26,11.5,3/29,10.3,0/5,,0/1,
15.10.1980,4/26,15.4,3/28,10.7,0/6,,0/1,
12.3.1981,4/26,15.4,3/28,10.7,1/6,16.7,0/1,
5.5.1981,4/26,15.4,4/28,14.2,1/6,16.7,0/1,
1.7.1981,4/27,14.8,4/27,14.8,1/3,33.3,0/1,
5.3.1983*,7/30,23.3,4/23,17.4,1/4,25.0,0/1,
22.11.1984,7/30,23.3,3/23,13.0,1/4,25.0,0/1,
1.12.1984,7/35,20.0,5/27,18.5,1/6,16.7,0/1,
1.7.1985,6/34,17.6,5/27,18.5,1/5,20.0,0/1,
13.3.1986,6/34,17.6,6/27,22.2,1/5,20.0,0/1,
26.8.1986,6/34,17.6,6/27,22.2,1/5,20.0,0/1,
11.2.1987,7/34,20.6,6/27,22.2,1/5,20.0,0/1,
11.7.1987*,5/32,15.6,7/27,25.9,1/6,16.7,0/1,
16.2.1988,4/32,12.5,7/27,25.9,1/6,16.7,0/1,
21.7.1988,4/32,12.5,7/27,25.9,1/6,16.7,0/1,
4.4.1990,4/32,12.5,7/27,25.9,1/6,16.7,0/1,
1.7.1990,5/32,15.6,7/29,24.1,1/4,25.0,0/1,
29.8.1991,5/32,15.6,7/29,24.1,1/4,25.0,0/1,
12.3.1992,5/32,15.6,7/29,24.1,1/4,25.0,0/1,
"",ALP,,LIB,,NP,,CLP,
From,F/Party,% F,F/Party,% F,F/Party,% F,F/Party,% F
31.7.1992,5/32,15.6,7/29,24.1,1/4,25.0,0/1,
1.7.1993,4/30,13.3,7/30,23.3,0/5,,0/1,
24.8.1993,5/30,16.7,7/30,23.3,0/5,,0/1,
8.3.1994,6/30,20.0,6/30,20.0,0/5,,0/1,
3.5.1995,6/30,20.0,6/30,20.0,0/5,,0/1,
29.11.1995,6/30,20.0,6/30,20.0,0/5,,0/1,
8.3.1996,7/30,23.3,6/30,20.0,0/5,,0/1,
1.7.1996,9/29,31.0,8/31,25.8,0/5,,0/1,
9.4.1997,9/28,32.1,9/31,29.0,0/5,,0/1,
13.5.1997,9/28,32.1,10/31,32.3,0/5,,0/1,
30.10.1997,9/28,32.1,10/31,32.3,0/5,,0/1,
16.6.1998,10/28,35.7,10/31,32.3,0/5,,0/1,
14.10.1998,9/28,32.1,10/31,32.3,0/5,,0/1,
1.7.1999,9/29,31.0,9/31,29.0,0/3,,0/1,
12.2.2002,9/28,32.1,8/31,25.8,0/3,,0/1,
1.7.2002,11/28,39.3,8/31,25.8,0/3,,0/1,
26.7.2002,11/28,39.3,8/31,25.8,0/3,,0/1,
18.2.2003,11/28,39.3,7/31,22.6,0/3,,0/1,
5.5.2005,11/28,39.3,8/31,25.8,0/3,,0/1,
1.7.2005,13/28,46.4,8/33,24.2,1/5,20.0,0/1,
3.2.2006,13/28,46.4,8/34,23.5,1/4,25.0,0/1,
19.4.2007,13/28,46.4,9/34,26.5,1/4,25.0,0/1,
3.5.2007,13/28,46.4,8/34,23.5,1/4,25.0,0/1,
8.5.2008,14/28,50.0,8/34,23.5,1/4,25.0,0/1,
1.7.2008,14/32,43.8,9/32,28.1,1/4,25.0,0/1,
1.7.2011,14/31,45.2,8/28,28.6,2/5,40.0,0/1,
13.10.2011,14/31,45.2,7/28,25.0,2/5,40.0,0/1,
2.5.2012,14/31,45.2,6/28,21.4,2/5,40.0,0/1,
20.6.2012,15/31,48.4,6/28,21.4,2/5,40.0,0/1,
15.5.2013,16/31,51.6,6/28,21.4,2/5,40.0,0/1,
13.11.2013,17/31,54.8,6/28,21.4,2/5,40.0,0/1,
1.7.2014,14/25,56.0,5/27,18.5,2/5,40.0,0/1,
2.7.2016*,14/26,53.8,6/24,25.0,2/5,40.0,0/1,
25.10.2016,15/26,57.7,6/24,25.0,2/5,40.0,0/1,
19.4.2017,15/26,57.7,6/24,25.0,2/5,40.0,0/1,
10.11.2017,15/26,57.7,6/24,25.0,2/5,40.0,0/1,
22.12.2017,15/26,57.7,6/25,24.0,1/4,25.0,0/1,
9.2.2018,15/26,57.7,6/25,24.0,1/4,25.0,0/1,
14.2.2018,16/26,61.5,6/25,24.0,1/4,25.0,0/1,
16.2.2018,16/26,61.5,6/25,24.0,1/4,25.0,0/1,
21.3.2018,16/26,61.5,7/25,28.0,1/4,25.0,0/1,
23.5.2018,15/26,57.7,7/25,28.0,1/4,25.0,0/1,
"",ALP,,LIB,,NP,,CLP,
From,F/Party,% F,F/Party,% F,F/Party,% F,F/Party,% F
6.9.2018,15/26,57.7,7/25,28.0,1/4,25.0,0/1,
6.3.2019,14/26,53.8,8/25,32.0,1/4,25.0,0/1,
1.7.2019,16/26,61.5,10/31,32.3,3/4,75.0,1/1,100
11.9.2019,16/26,61.5,11/31,35.5,3/4,75.0,1/1,100
"",,,,,,Others,,
"",AD,,GREENS,NXT/CA,PHON,(IND etc),,Female
From,F/Party % F,,F/Party % F,F/Party % F,F/Party % F,F/Party % F,Size,No. %
21.8.1943,,,,,,,36,1 2.8
1.7.1947,,,,,,,36,2 5.6
22.2/1.7.1950,,,,,,,60,4 6.7
28.4.1951*,,,,,,,60,4 6.7
1.7.1953,,,,,,,60,4 6.7
11.10.1955,,,,,,,60,5 8.3
10.12.1955,,,,,,,60,5 8.3
1.7.1956,,,,,,0/2,60,5 8.3
1.7.1959,,,,,,0/2,60,5 8.3
1.7.1962,,,,,,0/2,60,5 8.3
1.7.1965,,,,,,0/3,60,4 6.7
1.7.1968,,,,,,0/5,60,3 5.0
11.6.1971,,,,,,0/5,60,2 3.3
1.7.1971,,,,,,0/8,60,2 3.3
18.5.1974*,,,,,,0/2,60,4 6.7
13.12.1975*,,,,,,0/2,64,6 9.4
14.12.1977,1/1 100.0,,,,,0/1,64,7 10.9
1.7.1978,0/2,,,,,0/1,64,6 9.4
15.10.1980,0/2,,,,,0/1,64,7 10.9
12.3.1981,0/2,,,,,0/1,64,8 12.5
5.5.1981,0/2,,,,,0/1,64,9 14.1
1.7.1981,1/5 20.0,,,,,0/1,64,10 15.6
5.3.1983*,1/5 20.0,,,,,0/1,64,13 20.3
22.11.1984,1/5 20.0,,,,,0/1,64,12 18.8
1.12.1984,1/6 16.7,,,,,0/1,76,14 18.4
1.7.1985,1/7 14.3,,,,,1/2 50.0,76,14 18.4
13.3.1986,1/7 14.3,,,,,1/2 50.0,76,15 19.7
26.8.1986,2/7 28.6,,,,,1/2 50.0,76,16 21.1
11.2.1987,2/7 28.6,,,,,1/2 50.0,76,17 22.4
11.7.1987*,3/7 42.9,,,,,1/3 33.3,76,17 22.4
"",,,,,,Others,,
"",AD,,GREENS,NXT/CA,PHON,(IND etc),,Female
From,F/Party,% F,F/Party % F,F/Party % F,F/Party % F,F/Party % F,Size,No. %
16.2.1988,3/7,42.9,,,,1/3 33.3,76,16 21.1
21.7.1988,3/7,42.9,,,,2/3 66.7,76,17 22.4
4.4.1990,3/7,42.9,,,,2/3 66.7,76,17 22.4
1.7.1990,4/8,50.0,1/1 100.0,,,0/1,76,18 23.7
29.8.1991,5/8,62.5,1/1 100.0,,,0/1,76,19 25.0
12.3.1992,5/8,62.5,1/1 100.0,,,0/1,76,19 25.0
31.7.1992,4/7,57.1,1/1 100.0,,,1/2 50.0,76,19 25.0
1.7.1993,3/7,42.9,2/2 100.0,,,0/1,76,16 21.1
24.8.1993,3/7,42.9,2/2 100.0,,,0/1,76,17 22.4
8.3.1994,3/7,42.9,2/2 100.0,,,0/1,76,17 22.4
3.5.1995,3/7,42.9,2/2 100.0,,,0/1,76,17 22.4
29.11.1995,4/7,57.1,2/2 100.0,,,0/1,76,18 23.7
8.3.1996,4/7,57.1,2/2 100.0,,,0/1,76,19 25.0
1.7.1996,5/7,71.4,1/2 50.0,,,0/1,76,23 30.3
9.4.1997,5/7,71.4,1/2 50.0,,,0/2,76,24 31.6
13.5.1997,5/7,71.4,1/2 50.0,,,0/2,76,25 32.9
30.10.1997,4/7,57.1,1/2 50.0,,,0/2,76,24 31.6
16.6.1998,4/7,57.1,1/2 50.0,,,0/2,76,25 32.9
14.10.1998,4/7,57.1,1/2 50.0,,,0/2,76,24 31.6
1.7.1999,4/9,44.4,0/1,,,0/2,76,22 28.9
12.2.2002,4/9,44.4,0/1,,0/1,0/2,76,21 27.6
1.7.2002,3/8,37.5,1/2 50.0,,0/1,0/2,76,23 30.3
26.7.2002,2/7,28.6,1/2 50.0,,0/1,1/2 50.0,76,23 30.3
18.2.2003,2/7,28.6,1/2 50.0,,0/1,1/2 50.0,76,22 28.9
5.5.2005,2/7,28.6,1/2 50.0,,,1/3 33.3,76,23 30.3
1.7.2005,2/4,50.0,3/4 75.0,,,0/2,76,27 35.5
3.2.2006,2/4,50.0,3/4 75.0,,,0/2,76,27 35.5
19.4.2007,2/4,50.0,3/4 75.0,,,0/2,76,28 36.8
3.5.2007,2/4,50.0,3/4 75.0,,,0/2,76,27 35.5
8.5.2008,2/4,50.0,3/4 75.0,,,0/2,76,28 36.8
1.7.2008,,,3/5 60.0,,,0/2,76,27 35.5
1.7.2011,,,6/9 66.7,,,0/2,76,30 39.5
13.10.2011,,,6/9 66.7,,,0/2,76,29 38.1
2.5.2012,,,6/9 66.7,,,0/2,76,28 36.8
20.6.2012,,,6/9 66.7,,,0/2,76,29 38.1
15.5.2013,,,6/9 66.7,,,0/2,76,30 39.5
13.11.2013,,,6/9 66.7,,,0/1,76,31 40.8
1.7.2014,,,7/10 70.0,,,1/6 16.7,76,29 38.2
2.7.2016*,,,5/9 55.6,1/3 33.3,1/4 25.0,1/4 25.0,76,30 39.5
19.4.2017,,,5/9 55.6,1/3 33.3,1/4 25.0,2/4 50.0,76,31 40.8
10.11.2017,,,4/9 44.4,1/3 33.3,1/4 25.0,2/4 50.0,76,30 39.5
"",,,,,,Others,,
"",AD,,GREENS,NXT/CA,PHON,(IND etc),,Female
From,F/Party,% F,F/Party % F,F/Party % F,F/Party % F,F/Party % F,Size,No. %
22.12.2017,,,4/9 44.4,1/3 33.3,1/4 25.0,2/4 50.0,76,29 38.2
9.2.2018,,,4/9 44.4,1/3 33.3,1/4 25.0,1/4 25.0,76,28 36.8
14.2.2018,,,4/9 44.4,1/3 33.3,1/4 25.0,1/4 25.0,76,29 38.2
16.2.2018,,,4/9 44.4,0/3,1/4 25.0,1/4 25.0,76,28 36.8
21.3.2018,,,4/9 44.4,0/3,1/4 25.0,1/4 25.0,76,29 38.2
23.5.2018,,,4/9 44.4,0/3,1/4 25.0,1/4 25.0,76,28 36.8
6.9.2018,,,5/9 55.6,0/3,1/4 25.0,1/4 25.0,76,29 38.2
6.3.2019,,,5/9 55.6,0/3,1/4 25.0,1/4 25.0,76,29 38.2
1/7/2019,,,5/9 55.6,0/2,1/2 50.0,1/1 100,76,37 48.7
11/9/2019,,,6/9 66.7,0/1,1/2 50.0,1/1 100,76,39 51.3
"",ALP,,LIB,,NP,,CLP,,Other,Total,Female
From,F/Party,% F,F/Party,% F,F/Party,% F,F/Party,% F,F/Party % F,MPs,No. %
21.8.1943,0/49,,1/12,8.3,0/12,,,,0/2,75,1 1.3
28.9.1946,0/43,,1/17,5.9,0/12,,,,1/3 33.3,75,2 2.7
10.12.1949,0/48,,1/55,1.8,0/19,,,,0/1,123,1 0.8
28.4.1951*,0/54,,0/52,,0/17,,,,,123,
29.5.1954,0/59,,0/47,,0/17,,,,,123,
10.12.1955,0/49,,0/57,,0/18,,,,,124,
22.11.1958,0/47,,0/58,,0/19,,,,,124,
9.12.1961,0/62,,0/45,,0/17,,,,,124,
30.11.1963,0/52,,0/52,,0/20,,,,,124,
26.11.1966,0/41,,1/61,1.6,0/21,,,,0/1,124,1 0.8
25.10.1969,0/59,,0/46,,0/20,,,,,125,
2.12.1972,0/67,,0/38,,0/20,,,,,125,
18.5.1974*,1/66,1.5,0/40,,0/21,,,,,127,1 0.8
13.12.1975*,0/36,,0/68,,0/22,,0/1,,,127,
10.12.1977,0/38,,0/67,,0/18,,0/1,,,124,
