01 Auckland Central,Total Party Votes,"POOLE, Felix Thomas (ACT New Zealand)","SWARBRICK, Chlöe Charlotte (Green Party)","WHITE, Helen (Labour Party)","MELLOW-SANDFORD, Emma Jane (National Party)","STITT, Kevin Eric (New Conservative)","MARCROFT, Jennifer Lyn (New Zealand First Party)","TAVA, Vernon Ivan (Sustainable New Zealand Party)","HOFFMAN DERVAN, Dominic (TEA Party)","DELAMERE, Tuariki John Edward (The Opportunities Party (TOP))","LOVE, Joshua Nathanuel (Independent)","SADLER, Chris Tekiripute (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2724,13.22,6.86,5.58,72.06,0.22,0.15,0.29,0.04,0.44,0.11,0.11,0.44,0.48,100.00
Advance NZ,198,4.55,27.27,6.06,12.63,9.60,3.54,2.53,0.51,8.08,4.55,2.02,16.16,2.53,100.00
Aotearoa Legalise Cannabis Party,99,1.01,38.38,27.27,5.05,0.00,1.01,2.02,2.02,1.01,6.06,2.02,3.03,11.11,100.00
Green Party,6937,0.07,81.26,16.33,0.89,0.03,0.01,0.16,0.00,0.17,0.10,0.01,0.19,0.76,100.00
HeartlandNZ,1,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,16751,0.37,34.35,57.87,3.89,0.04,0.45,0.21,0.05,0.44,0.17,0.04,0.84,1.27,100.00
Māori Party,111,0.00,39.64,30.63,7.21,0.00,2.70,0.90,0.00,4.50,0.90,0.90,0.90,11.71,100.00
National Party,7680,1.77,5.08,1.95,87.88,0.30,0.34,0.17,0.07,0.33,0.12,0.04,0.87,1.09,100.00
New Conservative,197,1.02,6.09,2.54,23.35,59.39,0.51,1.02,0.51,0.51,0.51,0.51,1.52,2.54,100.00
New Zealand First Party,622,0.96,11.58,35.53,22.51,0.96,23.95,0.80,0.16,0.64,0.00,0.16,1.93,0.80,100.00
NZ Outdoors Party,15,0.00,26.67,20.00,6.67,0.00,6.67,6.67,6.67,0.00,13.33,0.00,0.00,13.33,100.00
ONE Party,20,0.00,10.00,5.00,40.00,25.00,5.00,0.00,10.00,0.00,0.00,0.00,5.00,0.00,100.00
Social Credit,7,0.00,14.29,14.29,0.00,14.29,0.00,14.29,0.00,14.29,14.29,0.00,14.29,0.00,100.00
Sustainable New Zealand Party,59,0.00,22.03,3.39,15.25,0.00,3.39,50.85,0.00,1.69,0.00,0.00,3.39,0.00,100.00
TEA Party,35,0.00,2.86,0.00,8.57,0.00,0.00,2.86,74.29,0.00,2.86,0.00,2.86,5.71,100.00
The Opportunities Party (TOP),776,0.64,51.93,11.86,11.34,0.00,0.26,0.52,0.13,21.78,0.52,0.00,0.26,0.77,100.00
Vision New Zealand,11,9.09,9.09,27.27,27.27,9.09,0.00,0.00,0.00,0.00,0.00,0.00,18.18,0.00,100.00
Informal Party Votes,160,0.62,10.62,21.25,8.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.62,3.75,100.00
Total Party Votes and Percentages,36403,1.62,34.70,31.76,26.85,0.51,0.75,0.33,0.14,0.88,0.20,0.06,1.05,1.15,100.00
