11 Epsom,Total Party Votes,"SEYMOUR, David Breen (ACT New Zealand)","AARON, Faith-Joy (Advance NZ)","MacDONALD, Kyle Alexander (Green Party)","BELICH, Camilla Vera Feslier (Labour Party)","HARRIS, Finnlay Clifford Jack (NAP)","GOLDSMITH, Paul Jonathan (National Party)","SUTTON, Arthur Norman (New Conservative)","PROCHAZKA, Maia (NZ Outdoors Party)","WITHERS, Shannon Daniel (Sustainable New Zealand Party)","JIANG, Yiqian (TEA Party)","AVENDANO CHRISTIE, Adriana Catalina Ruth (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4355,92.93,0.05,0.23,0.39,0.02,4.78,0.18,0.02,0.02,0.32,0.14,0.23,0.69,100.00
Advance NZ,147,14.29,67.35,2.04,3.40,0.00,4.76,0.00,0.00,0.00,1.36,1.36,4.08,1.36,100.00
Aotearoa Legalise Cannabis Party,36,13.89,0.00,36.11,13.89,2.78,13.89,0.00,0.00,0.00,0.00,2.78,2.78,13.89,100.00
Green Party,4596,9.18,0.07,33.99,34.75,0.04,16.38,0.00,0.09,0.28,0.04,4.13,0.33,0.72,100.00
HeartlandNZ,6,50.00,0.00,0.00,16.67,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,15078,23.01,0.20,8.92,54.80,0.03,7.10,0.10,0.07,0.19,0.56,1.70,1.21,2.12,100.00
Māori Party,108,30.56,0.93,15.74,22.22,0.93,12.96,0.93,0.93,0.93,1.85,6.48,0.00,5.56,100.00
National Party,15668,69.72,0.12,0.45,0.54,0.04,26.18,0.37,0.04,0.04,0.77,0.26,0.86,0.60,100.00
New Conservative,211,16.11,0.47,0.47,1.42,0.00,17.54,59.24,0.00,0.00,0.00,0.95,0.95,2.84,100.00
New Zealand First Party,609,39.74,0.82,3.12,26.44,1.31,16.91,2.30,0.66,0.66,1.81,2.13,3.12,0.99,100.00
NZ Outdoors Party,7,28.57,0.00,0.00,0.00,0.00,28.57,0.00,14.29,0.00,0.00,0.00,0.00,28.57,100.00
ONE Party,27,11.11,11.11,3.70,7.41,0.00,29.63,25.93,0.00,0.00,0.00,3.70,3.70,3.70,100.00
Social Credit,8,25.00,0.00,0.00,25.00,0.00,0.00,12.50,12.50,25.00,0.00,0.00,0.00,0.00,100.00
Sustainable New Zealand Party,30,16.67,0.00,10.00,10.00,0.00,10.00,0.00,0.00,43.33,3.33,0.00,6.67,0.00,100.00
TEA Party,112,8.04,0.00,0.89,0.89,0.00,3.57,0.89,0.89,0.89,81.25,0.00,0.89,1.79,100.00
The Opportunities Party (TOP),822,28.47,0.00,6.57,10.95,0.12,6.93,0.00,0.00,0.24,0.73,44.89,0.24,0.85,100.00
Vision New Zealand,8,12.50,12.50,0.00,0.00,0.00,50.00,12.50,0.00,0.00,0.00,0.00,0.00,12.50,100.00
Informal Party Votes,203,21.18,0.99,0.49,8.37,0.00,8.87,0.00,0.49,0.00,1.48,0.49,53.20,4.43,100.00
Total Party Votes and Percentages,42031,46.39,0.39,7.38,24.45,0.06,15.22,0.55,0.07,0.17,0.80,2.12,1.15,1.24,100.00
