13 Hamilton West,Total Party Votes,"WELDON, Roger Jack (ACT New Zealand)","ORMSBY-KINGI, Cherie Eileen (Advance NZ)","SHARMA, Gaurav (Labour Party)","MACINDOE, Timothy Harley (National Party)","DU PLOOY, Rudolph Arnoldus (New Conservative)","MANSFIELD, Chloe May Lavinia (NZ Outdoors Party)","HETA, Hoani Rongopai (ONE Party)","CARGO, Hayden Sean (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2779,23.68,0.25,4.61,67.76,0.25,1.04,0.00,1.22,0.40,0.79,100.00
Advance NZ,390,0.77,75.64,3.33,9.74,2.05,2.82,0.26,0.51,1.28,3.59,100.00
Aotearoa Legalise Cannabis Party,214,6.54,4.67,48.13,8.88,0.93,9.35,4.21,3.27,7.48,6.54,100.00
Green Party,2279,1.18,0.61,78.63,8.34,0.48,2.68,0.35,5.88,0.97,0.88,100.00
HeartlandNZ,4,0.00,0.00,25.00,50.00,0.00,25.00,0.00,0.00,0.00,0.00,100.00
Labour Party,21136,0.87,0.49,83.30,9.14,0.31,0.67,0.29,1.44,2.07,1.42,100.00
Māori Party,212,0.47,4.25,42.92,21.70,1.42,4.72,9.43,6.60,0.47,8.02,100.00
National Party,10161,2.20,0.13,1.93,91.95,0.72,0.23,0.08,0.48,1.52,0.77,100.00
New Conservative,824,1.21,1.09,2.06,41.87,49.27,0.61,1.33,0.36,1.21,0.97,100.00
New Zealand First Party,1029,4.57,2.33,42.66,35.37,2.72,2.14,0.97,3.11,4.57,1.55,100.00
NZ Outdoors Party,44,0.00,4.55,15.91,18.18,2.27,50.00,0.00,4.55,4.55,0.00,100.00
ONE Party,133,0.75,0.00,1.50,31.58,1.50,0.00,63.16,0.00,1.50,0.00,100.00
Social Credit,15,6.67,0.00,40.00,26.67,6.67,13.33,0.00,6.67,0.00,0.00,100.00
Sustainable New Zealand Party,21,9.52,4.76,28.57,33.33,0.00,4.76,0.00,19.05,0.00,0.00,100.00
TEA Party,9,11.11,0.00,11.11,33.33,0.00,0.00,22.22,0.00,11.11,11.11,100.00
The Opportunities Party (TOP),837,0.96,0.00,24.73,19.47,0.12,0.60,0.00,51.61,0.72,1.79,100.00
Vision New Zealand,60,1.67,3.33,13.33,26.67,3.33,3.33,13.33,1.67,23.33,10.00,100.00
Informal Party Votes,300,1.33,0.33,26.67,10.67,1.33,0.67,0.33,1.33,54.33,3.00,100.00
Total Party Votes and Percentages,40447,2.93,1.21,51.19,35.69,1.52,0.88,0.55,2.53,2.21,1.29,100.00
