14 Hutt South,Total Party Votes,"PARKINS, Andrew John (ACT New Zealand)","DAKEN, Michaela Anne Byrne (Advance NZ)","McINTOSH, Richard James (Green Party)","ANDERSEN, Virginia Ruby (Labour Party)","BISHOP, Christopher (National Party)","EARP, Roger (New Conservative)","BINDRA, Mahesh (New Zealand First Party)","BEARMAN-RIEDEL, Wilfred (NZ Outdoors Party)","SHANLY, Edward John (ONE Party)","WYLIE-VAN EERD, Benjamin James (The Opportunities Party (TOP))","WINIATA, Paris James (Vision New Zealand)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2568,8.76,0.08,0.43,5.06,83.68,0.47,0.08,0.27,0.12,0.31,0.08,0.23,0.43,100.00
Advance NZ,309,0.32,75.08,0.97,3.56,11.65,1.94,0.97,0.00,0.65,0.65,1.29,0.65,2.27,100.00
Aotearoa Legalise Cannabis Party,112,0.89,2.68,10.71,40.18,23.21,0.89,0.89,4.46,0.00,2.68,0.89,5.36,7.14,100.00
Green Party,4301,0.07,0.14,11.21,72.03,12.14,0.60,0.12,0.30,0.00,2.19,0.30,0.37,0.53,100.00
HeartlandNZ,3,0.00,0.00,0.00,66.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,100.00
Labour Party,25159,0.18,0.11,2.40,72.46,21.41,0.10,0.30,0.17,0.04,0.54,0.32,1.00,0.99,100.00
Māori Party,201,0.00,1.99,3.48,42.79,31.34,1.49,1.00,0.00,1.00,2.99,5.47,2.99,5.47,100.00
National Party,10033,0.42,0.14,0.20,1.47,94.35,0.95,0.22,0.13,0.21,0.15,0.25,0.98,0.55,100.00
New Conservative,528,0.38,0.38,0.00,2.84,25.19,66.86,0.38,0.00,1.52,0.19,0.57,0.38,1.33,100.00
New Zealand First Party,1071,0.37,0.84,1.21,32.87,39.03,2.52,18.67,0.47,0.37,0.75,0.84,0.93,1.12,100.00
NZ Outdoors Party,38,0.00,0.00,2.63,10.53,21.05,0.00,0.00,63.16,0.00,0.00,0.00,0.00,2.63,100.00
ONE Party,201,1.00,0.50,0.00,3.48,12.44,3.48,0.50,0.00,69.15,1.49,2.99,1.99,2.99,100.00
Social Credit,9,0.00,0.00,0.00,22.22,33.33,11.11,11.11,11.11,0.00,11.11,0.00,0.00,0.00,100.00
Sustainable New Zealand Party,30,0.00,0.00,13.33,10.00,53.33,0.00,0.00,0.00,0.00,13.33,6.67,3.33,0.00,100.00
TEA Party,25,8.00,0.00,4.00,0.00,68.00,0.00,0.00,4.00,0.00,4.00,0.00,8.00,4.00,100.00
The Opportunities Party (TOP),986,0.10,0.20,1.01,27.79,36.92,0.10,0.10,0.20,0.30,31.14,0.30,0.51,1.32,100.00
Vision New Zealand,51,0.00,0.00,0.00,1.96,7.84,0.00,0.00,0.00,0.00,0.00,82.35,0.00,7.84,100.00
Informal Party Votes,255,0.78,0.00,0.78,18.43,15.29,1.96,0.39,0.39,0.39,0.78,0.00,58.82,1.96,100.00
Total Party Votes and Percentages,45880,0.72,0.66,2.55,48.94,40.71,1.22,0.69,0.25,0.42,1.29,0.44,1.22,0.90,100.00
