15 Ilam,Total Party Votes,"GILBERT, Paul de Vallenger (ACT New Zealand)","PENGELLY, Toni Deborah (Advance NZ)","BENNETT, David John (Green Party)","PALLETT, Sarah Jean (Labour Party)","BROWNLEE, Gerard Anthony (National Party)","WALMISLEY, Simon Robert (New Conservative)","JENSEN-WARREN, Heidi Joanne (NZ Outdoors Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3807,26.14,0.32,1.34,5.86,63.57,0.66,0.87,0.97,0.29,100.00
Advance NZ,210,0.48,73.81,4.29,6.19,9.52,1.90,0.95,1.43,1.43,100.00
Aotearoa Legalise Cannabis Party,77,3.90,6.49,20.78,36.36,11.69,2.60,6.49,9.09,2.60,100.00
Green Party,4489,0.45,0.07,28.02,66.09,3.65,0.13,0.60,0.56,0.42,100.00
HeartlandNZ,3,66.67,0.00,0.00,0.00,0.00,0.00,0.00,33.33,0.00,100.00
Labour Party,19497,1.15,0.13,7.49,79.04,8.99,0.27,0.48,1.77,0.68,100.00
Māori Party,108,1.85,0.93,21.30,37.04,23.15,2.78,3.70,6.48,2.78,100.00
National Party,12861,4.73,0.12,1.35,2.53,88.09,1.11,0.24,1.42,0.41,100.00
New Conservative,533,1.13,0.38,1.13,4.13,26.45,63.79,1.13,0.94,0.94,100.00
New Zealand First Party,769,6.24,1.30,4.81,40.18,34.33,6.24,1.82,4.55,0.52,100.00
NZ Outdoors Party,45,0.00,2.22,4.44,8.89,4.44,2.22,73.33,2.22,2.22,100.00
ONE Party,54,0.00,5.56,3.70,24.07,24.07,35.19,0.00,7.41,0.00,100.00
Social Credit,20,5.00,0.00,15.00,25.00,20.00,15.00,10.00,10.00,0.00,100.00
Sustainable New Zealand Party,41,2.44,2.44,17.07,34.15,29.27,2.44,12.20,0.00,0.00,100.00
TEA Party,21,0.00,0.00,0.00,9.52,57.14,9.52,4.76,14.29,4.76,100.00
The Opportunities Party (TOP),856,5.14,1.17,20.56,48.36,17.64,0.93,3.27,2.22,0.70,100.00
Vision New Zealand,6,0.00,16.67,16.67,16.67,33.33,16.67,0.00,0.00,0.00,100.00
Informal Party Votes,248,0.40,0.40,2.42,14.11,16.53,1.21,0.81,63.31,0.81,100.00
Total Party Votes and Percentages,43645,4.48,0.57,7.40,45.42,37.49,1.51,0.66,1.91,0.56,100.00
