16 Invercargill,Total Party Votes,"ROHLOFF, Kurt Helmuth (Advance NZ)","FRANCIS, Rochelle Monique (Green Party)","CRAIG, Elizabeth Dorothy (Labour Party)","SIMMONDS, Penelope Elsie (National Party)","HONISS, Joshua (New Conservative)","GUNN, Joshua George (New Zealand First Party)","WEST, Jacqueline (ONE Party)","AROHA, Winsome (Social Credit)","HAYDEN, Zy Maceahno (Independent)","WALKER, Basil Walter (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3846,0.62,0.78,7.64,83.07,1.59,1.66,0.34,0.47,0.65,1.22,1.30,0.65,100.00
Advance NZ,406,77.09,1.48,3.20,10.34,1.48,0.74,0.49,1.48,0.00,0.00,1.72,1.97,100.00
Aotearoa Legalise Cannabis Party,220,2.73,20.45,35.45,13.18,1.36,7.73,2.73,1.36,5.00,3.64,4.55,1.82,100.00
Green Party,1386,0.22,27.99,56.78,10.32,0.51,0.87,0.36,0.87,0.14,0.36,1.01,0.58,100.00
HeartlandNZ,8,0.00,12.50,12.50,25.00,0.00,12.50,0.00,12.50,12.50,12.50,0.00,0.00,100.00
Labour Party,19252,0.14,2.87,81.50,11.27,0.34,0.86,0.22,0.33,0.15,0.26,1.59,0.47,100.00
Māori Party,76,0.00,14.47,36.84,28.95,1.32,6.58,0.00,3.95,2.63,2.63,1.32,1.32,100.00
National Party,11996,0.17,0.23,1.21,95.31,0.58,0.33,0.18,0.16,0.04,0.34,1.17,0.28,100.00
New Conservative,862,0.58,0.23,2.55,33.99,58.00,1.39,0.93,0.35,0.35,0.23,1.16,0.23,100.00
New Zealand First Party,1218,0.41,1.15,29.72,27.26,1.81,32.76,1.31,0.99,0.66,1.15,2.05,0.74,100.00
NZ Outdoors Party,44,0.00,9.09,15.91,25.00,13.64,4.55,6.82,6.82,4.55,6.82,6.82,0.00,100.00
ONE Party,158,0.00,0.63,3.80,19.62,1.27,0.00,70.25,1.27,0.00,0.63,1.90,0.63,100.00
Social Credit,81,3.70,0.00,11.11,12.35,2.47,2.47,0.00,61.73,0.00,2.47,3.70,0.00,100.00
Sustainable New Zealand Party,20,5.00,20.00,15.00,15.00,5.00,5.00,5.00,0.00,10.00,5.00,10.00,5.00,100.00
TEA Party,16,0.00,0.00,12.50,37.50,6.25,0.00,0.00,0.00,12.50,18.75,12.50,0.00,100.00
The Opportunities Party (TOP),433,2.08,10.85,40.18,32.56,1.85,2.31,1.15,1.62,2.31,1.62,2.54,0.92,100.00
Vision New Zealand,8,0.00,0.00,12.50,12.50,0.00,12.50,37.50,12.50,0.00,0.00,12.50,0.00,100.00
Informal Party Votes,308,0.32,1.30,26.62,21.10,0.65,0.65,0.00,0.65,0.32,0.00,47.40,0.97,100.00
Total Party Votes and Percentages,40338,1.03,2.82,43.89,44.45,1.88,1.82,0.59,0.51,0.25,0.46,1.82,0.47,100.00
