17 Kaikōura,Total Party Votes,"EVANS, Richard Warwick (ACT New Zealand)","ROMANA, Lisa Claire (Advance NZ)","McCUBBIN, Richard (Green Party)","FLIGHT, Matthew Ronald Keith (Labour Party)","BHAVIK, Prince (Money Free Party)","SMITH, Stuart Tayler (National Party)","GREENSLADE, David John (New Conservative)","ARBUCKLE, Jamie Arthur (New Zealand First Party)","MORGAN, Darlene Moana (NZ Outdoors Party)","MOORE, John Donald (ONE Party)","McCASKEY, John Stuart James (Social Credit)","HOWARD, Thomas Edward (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4917,22.62,0.16,0.75,3.52,0.06,66.30,0.81,2.91,0.92,0.31,0.45,0.16,0.71,0.33,100.00
Advance NZ,390,1.54,68.21,1.79,1.54,0.00,10.26,2.05,5.64,3.08,1.28,1.03,0.26,0.77,2.56,100.00
Aotearoa Legalise Cannabis Party,139,5.76,3.60,20.86,30.22,0.00,10.79,2.88,7.19,7.91,0.72,2.16,1.44,2.88,3.60,100.00
Green Party,2282,0.53,0.44,40.27,46.80,0.04,7.36,0.35,1.58,0.92,0.04,0.39,0.26,0.53,0.48,100.00
HeartlandNZ,4,0.00,0.00,0.00,25.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,100.00
Labour Party,19159,1.18,0.20,6.16,72.54,0.03,11.01,0.22,5.09,0.66,0.14,0.31,0.20,1.61,0.64,100.00
Māori Party,70,7.14,1.43,17.14,34.29,1.43,17.14,0.00,8.57,4.29,1.43,1.43,2.86,1.43,1.43,100.00
National Party,13007,3.12,0.09,0.54,0.89,0.00,91.00,0.78,1.67,0.21,0.22,0.21,0.08,0.77,0.43,100.00
New Conservative,798,0.88,0.13,0.63,2.13,0.00,17.67,65.91,4.76,1.25,4.14,0.63,0.13,1.13,0.63,100.00
New Zealand First Party,1247,1.36,0.24,1.76,17.56,0.16,17.48,1.36,54.37,1.04,0.80,1.04,0.40,1.84,0.56,100.00
NZ Outdoors Party,124,1.61,0.81,1.61,8.87,0.00,12.90,1.61,3.23,63.71,0.00,0.00,1.61,2.42,1.61,100.00
ONE Party,246,0.00,0.41,0.41,2.03,0.00,6.91,2.85,2.44,0.41,82.11,0.00,0.00,1.22,1.22,100.00
Social Credit,35,0.00,0.00,5.71,8.57,0.00,5.71,2.86,8.57,0.00,0.00,62.86,5.71,0.00,0.00,100.00
Sustainable New Zealand Party,27,3.70,3.70,7.41,11.11,0.00,25.93,3.70,7.41,18.52,0.00,0.00,7.41,11.11,0.00,100.00
TEA Party,7,0.00,0.00,0.00,14.29,0.00,28.57,0.00,28.57,14.29,0.00,0.00,0.00,14.29,0.00,100.00
The Opportunities Party (TOP),493,5.07,1.42,16.63,29.01,0.00,33.87,0.81,5.48,2.23,0.61,1.42,1.83,1.22,0.41,100.00
Vision New Zealand,10,10.00,10.00,0.00,0.00,10.00,20.00,20.00,10.00,10.00,0.00,0.00,10.00,0.00,0.00,100.00
Informal Party Votes,251,1.59,0.40,2.39,17.53,0.00,21.51,1.20,3.98,1.20,0.80,0.40,0.80,46.61,1.59,100.00
Total Party Votes and Percentages,43206,4.24,0.83,5.50,36.51,0.03,41.82,1.77,5.05,0.85,0.76,0.40,0.22,1.46,0.57,100.00
