02 Banks Peninsula,Total Party Votes,"FOX, David Owen (ACT New Zealand)","WILLIAMS, Ruth Elizabeth (Advance NZ)","SAGE, Eugenie (Green Party)","McLELLAN, Tracey Lee (Labour Party)","CHU, Catherine (National Party)","HONISS, Caleb (New Conservative)","O'ROURKE, Denis John (New Zealand First Party)","ATKINSON, Benjamin Luke (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3478,25.73,0.29,3.57,9.23,56.04,0.63,0.58,2.36,1.01,0.58,100.00
Advance NZ,424,0.94,85.38,0.94,2.36,5.42,1.89,0.24,1.42,0.71,0.71,100.00
Aotearoa Legalise Cannabis Party,133,4.51,1.50,25.56,39.10,6.77,3.01,5.26,6.02,5.26,3.01,100.00
Green Party,7089,0.20,0.14,34.42,59.49,1.85,0.01,0.20,3.10,0.31,0.28,100.00
HeartlandNZ,4,0.00,0.00,25.00,25.00,0.00,50.00,0.00,0.00,0.00,0.00,100.00
Labour Party,25091,0.76,0.18,12.59,77.98,4.12,0.11,0.71,1.67,1.29,0.59,100.00
Māori Party,144,1.39,4.17,18.75,31.94,18.75,2.08,6.25,11.11,4.86,0.69,100.00
National Party,10453,5.45,0.25,2.42,4.20,82.60,1.08,0.80,1.04,1.72,0.43,100.00
New Conservative,626,0.96,2.40,0.48,4.47,22.68,65.18,0.80,1.76,1.12,0.16,100.00
New Zealand First Party,991,1.92,0.71,3.63,38.35,14.43,2.02,34.51,2.62,1.31,0.50,100.00
NZ Outdoors Party,37,5.41,10.81,18.92,18.92,24.32,10.81,2.70,8.11,0.00,0.00,100.00
ONE Party,69,0.00,5.80,5.80,10.14,15.94,23.19,7.25,11.59,18.84,1.45,100.00
Social Credit,22,0.00,4.55,9.09,27.27,0.00,13.64,13.64,9.09,22.73,0.00,100.00
Sustainable New Zealand Party,41,0.00,4.88,36.59,24.39,7.32,2.44,4.88,9.76,7.32,2.44,100.00
TEA Party,10,0.00,0.00,10.00,40.00,40.00,0.00,0.00,10.00,0.00,0.00,100.00
The Opportunities Party (TOP),1083,0.37,0.28,10.06,23.27,8.03,0.37,0.37,55.31,0.83,1.11,100.00
Vision New Zealand,15,6.67,20.00,0.00,6.67,13.33,6.67,6.67,6.67,20.00,13.33,100.00
Informal Party Votes,241,0.41,2.49,1.66,19.50,11.62,0.41,1.24,1.24,58.92,2.49,100.00
Total Party Votes and Percentages,49951,3.43,1.01,12.46,50.84,24.50,1.28,1.36,3.04,1.55,0.54,100.00
