21 Māngere,Total Party Votes,"JONES, Leslie Wilson (Climate First)","SYKES, Peter Brian (Green Party)","SIO, Aupito Toesulusulu Tofae Sua William (Labour Party)","LOHENI, Akenese Loretta (National Party)","ALAILIMA, Fuiavailili (New Conservative)","CROWTHER, Grant David (Social Credit)","NOOROA, Wayne Tetou (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,483,1.66,4.97,12.42,69.57,4.35,1.66,1.24,3.31,0.83,100.00
Advance NZ,333,4.20,15.32,24.92,15.02,21.62,0.60,7.21,9.91,1.20,100.00
Aotearoa Legalise Cannabis Party,128,2.34,24.22,52.34,6.25,1.56,0.00,3.91,3.91,5.47,100.00
Green Party,1246,1.04,43.10,48.56,4.17,0.64,0.16,0.56,1.04,0.72,100.00
HeartlandNZ,3,0.00,0.00,0.00,33.33,0.00,33.33,33.33,0.00,0.00,100.00
Labour Party,24167,0.29,4.24,87.76,2.09,0.69,0.10,0.23,3.34,1.26,100.00
Māori Party,280,1.43,22.14,45.36,12.50,4.64,0.00,2.86,5.36,5.71,100.00
National Party,2846,0.28,1.86,6.89,83.84,2.81,0.14,0.32,3.34,0.53,100.00
New Conservative,540,0.19,1.67,7.41,15.19,71.85,0.00,0.37,2.78,0.56,100.00
New Zealand First Party,862,2.20,9.86,51.86,17.75,7.31,0.70,4.18,4.87,1.28,100.00
NZ Outdoors Party,9,22.22,11.11,33.33,22.22,0.00,0.00,0.00,11.11,0.00,100.00
ONE Party,79,1.27,3.80,15.19,32.91,35.44,0.00,1.27,7.59,2.53,100.00
Social Credit,11,9.09,9.09,0.00,0.00,0.00,72.73,9.09,0.00,0.00,100.00
Sustainable New Zealand Party,12,16.67,25.00,41.67,8.33,0.00,0.00,0.00,0.00,8.33,100.00
TEA Party,9,11.11,0.00,55.56,33.33,0.00,0.00,0.00,0.00,0.00,100.00
The Opportunities Party (TOP),127,1.57,24.41,46.46,21.26,0.00,0.00,1.57,2.36,2.36,100.00
Vision New Zealand,102,0.98,5.88,29.41,18.63,15.69,0.98,6.86,14.71,6.86,100.00
Informal Party Votes,400,0.25,2.25,39.00,5.50,2.00,0.00,0.25,47.50,3.25,100.00
Total Party Votes and Percentages,31637,0.48,6.10,73.03,11.72,2.74,0.18,0.52,3.97,1.26,100.00
