22 Manurewa,Total Party Votes,"JACKSON, Houahemotu Linder (Advance NZ)","VERMUNT, Annalucia Maria (Communist League)","VANO, Lourdes Faith Auhura Parehuia (Green Party)","WILLIAMS, Arena (Labour Party)","SAMARAKONE, Nuwanthie Tryone (National Party)","PAHULU, Motekiai (New Conservative)","HALL, John Harold (New Zealand First Party)","SINGH, Rattan (ONE Party)","BERNARDO, Wella (TEA Party)","WILCOX, Sonny (Vision New Zealand)","LINAKER, Luella Benita (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,519,1.35,0.39,1.93,19.46,55.11,5.78,6.74,0.96,0.96,0.77,2.50,3.66,0.39,100.00
Advance NZ,250,74.80,0.00,1.60,4.00,0.00,4.40,1.20,1.60,0.40,4.40,2.80,1.60,3.20,100.00
Aotearoa Legalise Cannabis Party,136,3.68,0.74,19.85,47.79,1.47,2.94,4.41,0.00,0.00,0.74,4.41,3.68,10.29,100.00
Green Party,907,0.33,0.44,38.26,48.73,1.87,1.10,1.76,0.11,0.22,0.55,3.20,0.99,2.43,100.00
HeartlandNZ,8,0.00,0.00,0.00,25.00,25.00,0.00,0.00,0.00,0.00,12.50,12.50,0.00,25.00,100.00
Labour Party,22137,0.23,0.05,2.14,86.89,0.80,0.86,1.49,0.33,0.32,0.26,0.82,3.16,2.66,100.00
Māori Party,245,2.45,0.41,11.02,43.67,4.08,3.67,7.76,0.41,0.00,7.76,4.90,3.27,10.61,100.00
National Party,3904,0.72,0.00,0.95,6.02,78.05,2.87,2.33,1.10,0.67,0.97,0.95,3.94,1.43,100.00
New Conservative,505,1.58,0.40,0.00,4.75,5.74,77.62,2.57,0.40,0.20,1.58,1.98,1.98,1.19,100.00
New Zealand First Party,861,0.81,0.23,0.81,32.40,3.95,3.95,50.41,0.35,0.35,1.16,1.28,1.97,2.32,100.00
NZ Outdoors Party,9,0.00,0.00,11.11,11.11,22.22,0.00,22.22,0.00,0.00,11.11,11.11,11.11,0.00,100.00
ONE Party,80,1.25,0.00,0.00,12.50,3.75,1.25,1.25,73.75,0.00,0.00,0.00,2.50,3.75,100.00
Social Credit,6,0.00,0.00,0.00,0.00,33.33,16.67,0.00,0.00,0.00,0.00,16.67,0.00,33.33,100.00
Sustainable New Zealand Party,14,7.14,0.00,35.71,21.43,7.14,7.14,7.14,0.00,0.00,0.00,14.29,0.00,0.00,100.00
TEA Party,37,2.70,8.11,2.70,8.11,0.00,0.00,2.70,0.00,59.46,0.00,8.11,5.41,2.70,100.00
The Opportunities Party (TOP),139,3.60,0.72,10.79,53.96,10.07,7.19,3.60,0.00,0.72,3.60,3.60,0.72,1.44,100.00
Vision New Zealand,196,0.00,0.00,0.51,10.20,0.00,3.06,2.04,1.53,0.51,71.43,0.00,2.55,8.16,100.00
Informal Party Votes,515,0.78,0.19,1.36,39.61,2.14,0.39,1.55,0.78,0.39,0.78,0.97,47.38,3.69,100.00
Total Party Votes and Percentages,30468,1.03,0.09,3.16,68.32,11.93,2.67,3.18,0.65,0.44,1.00,1.07,3.88,2.59,100.00
