24 Mt Albert,Total Party Votes,"WIJOHN, Luke Leon Taitoa (Green Party)","VAN DEN HEUVEL, Anthony Joseph James (Human Rights Party)","ARDERN, Jacinda (Labour Party)","LEE, Melissa Ji-Yun (National Party)","REURICH, Daniel (New Conservative)","LORD, Cameron Geoffrey Turville (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2485,2.82,0.48,27.61,60.93,1.41,4.67,1.57,0.52,100.00
Advance NZ,141,12.06,14.18,12.06,20.57,21.99,8.51,8.51,2.13,100.00
Aotearoa Legalise Cannabis Party,83,15.66,4.82,57.83,2.41,0.00,6.02,7.23,6.02,100.00
Green Party,8311,18.45,0.05,78.61,0.69,0.01,1.58,0.08,0.54,100.00
HeartlandNZ,3,0.00,0.00,66.67,0.00,0.00,0.00,33.33,0.00,100.00
Labour Party,20265,2.27,0.08,94.36,0.90,0.04,0.48,0.93,0.93,100.00
Māori Party,205,16.59,2.93,61.46,7.32,0.49,5.37,3.90,1.95,100.00
National Party,7769,1.25,0.09,18.72,76.19,0.54,1.27,1.08,0.86,100.00
New Conservative,241,0.83,0.41,11.62,17.43,66.39,0.83,1.66,0.83,100.00
New Zealand First Party,760,2.63,1.18,69.34,15.79,3.29,3.03,3.82,0.92,100.00
NZ Outdoors Party,16,0.00,18.75,43.75,6.25,6.25,6.25,12.50,6.25,100.00
ONE Party,34,0.00,0.00,17.65,52.94,26.47,0.00,2.94,0.00,100.00
Social Credit,4,0.00,0.00,50.00,25.00,0.00,0.00,0.00,25.00,100.00
Sustainable New Zealand Party,22,18.18,4.55,45.45,27.27,0.00,0.00,0.00,4.55,100.00
TEA Party,41,0.00,4.88,36.59,41.46,0.00,2.44,12.20,2.44,100.00
The Opportunities Party (TOP),1048,3.91,0.10,53.05,3.72,0.10,38.26,0.19,0.67,100.00
Vision New Zealand,11,27.27,0.00,27.27,9.09,0.00,9.09,27.27,0.00,100.00
Informal Party Votes,258,1.94,0.39,37.21,11.24,0.39,0.78,44.57,3.49,100.00
Total Party Votes and Percentages,41697,5.51,0.21,70.12,19.17,0.76,2.17,1.22,0.85,100.00
