27 Nelson,Total Party Votes,"BAILLIE, Christopher John (ACT New Zealand)","HARRIS, Benjamin Duncan (Advance NZ)","STALLARD, Aaron Richard (Green Party)","BOYACK-MAYER, Rachel Elizabeth (Labour Party)","SMITH, Nicolas Rex (National Party)","GUTSCHLAG, Simon Nigel (New Conservative)","GREY, Susan Jane (NZ Outdoors Party)","CLAASSENS, Deon Hofmeyr (ONE Party)","DYER, Bruce Douglas (Progressive Aotearoa New Zealand)","POTTINGER, Mathew William (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3639,20.83,0.30,0.47,5.50,69.33,0.38,1.35,0.08,0.05,0.63,0.63,0.44,100.00
Advance NZ,480,1.04,61.46,1.25,4.17,17.08,0.00,10.83,0.42,0.00,0.62,1.25,1.88,100.00
Aotearoa Legalise Cannabis Party,144,4.86,2.08,21.53,29.17,12.50,2.78,15.97,0.69,2.78,0.00,3.47,4.17,100.00
Green Party,4028,0.20,0.07,18.62,70.56,6.41,0.02,1.46,0.05,0.25,1.61,0.40,0.35,100.00
HeartlandNZ,2,0.00,0.00,0.00,50.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,23943,1.04,0.13,4.74,72.65,17.68,0.11,1.01,0.06,0.08,1.00,1.05,0.44,100.00
Māori Party,90,2.22,4.44,8.89,35.56,30.00,0.00,4.44,0.00,2.22,4.44,5.56,2.22,100.00
National Party,9185,2.48,0.14,0.42,2.04,93.01,0.28,0.33,0.03,0.00,0.36,0.66,0.24,100.00
New Conservative,690,1.59,1.01,0.14,4.35,57.54,30.72,2.46,0.58,0.14,0.72,0.72,0.00,100.00
New Zealand First Party,841,4.52,1.55,1.90,38.88,39.83,2.50,3.80,0.59,0.71,1.55,3.69,0.48,100.00
NZ Outdoors Party,173,2.31,1.16,1.16,5.78,5.20,0.00,82.08,0.00,0.00,0.58,1.73,0.00,100.00
ONE Party,180,0.56,1.11,1.11,18.33,33.33,1.67,1.11,41.11,0.56,0.56,0.56,0.00,100.00
Social Credit,33,3.03,3.03,6.06,12.12,30.30,6.06,21.21,0.00,0.00,6.06,12.12,0.00,100.00
Sustainable New Zealand Party,17,5.88,5.88,23.53,5.88,47.06,0.00,5.88,0.00,0.00,0.00,5.88,0.00,100.00
TEA Party,9,11.11,0.00,0.00,0.00,77.78,11.11,0.00,0.00,0.00,0.00,0.00,0.00,100.00
The Opportunities Party (TOP),775,0.39,0.90,3.87,25.68,19.35,0.13,1.55,0.26,0.39,46.45,0.65,0.39,100.00
Vision New Zealand,130,0.77,0.77,0.00,3.85,86.92,2.31,2.31,0.00,0.77,0.00,0.77,1.54,100.00
Informal Party Votes,276,1.09,0.00,0.72,17.39,28.26,1.09,0.72,0.00,0.00,0.36,48.91,1.45,100.00
Total Party Votes and Percentages,44635,2.96,0.88,4.58,47.89,37.75,0.71,1.52,0.25,0.11,1.68,1.24,0.42,100.00
