30 North Shore,Total Party Votes,"KEARNEY, Nicholas Norman (ACT New Zealand)","OSBORN, Megan Elspeth (Advance NZ)","RAWLINGS, Elizabeth Jennifer (Green Party)","UDANGA, Romeo (Labour Party)","WATTS, Simon Glen (National Party)","BREWER, Michael Gordon (New Conservative)","DICK, Susan Euphemia (NZ Outdoors Party)","HUUSKO, Mari Hannele (Sustainable New Zealand Party)","NAVOT, Shai (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4172,18.91,0.10,0.48,3.21,73.32,1.27,0.19,0.07,1.29,0.81,0.34,100.00
Advance NZ,230,1.30,68.26,2.61,2.17,11.30,3.04,2.17,0.00,5.65,0.87,2.61,100.00
Aotearoa Legalise Cannabis Party,66,7.58,6.06,18.18,28.79,16.67,0.00,7.58,1.52,4.55,4.55,4.55,100.00
Green Party,3530,0.62,0.06,29.32,56.01,4.76,0.08,0.40,0.25,7.82,0.40,0.28,100.00
HeartlandNZ,1,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00
Labour Party,17498,1.53,0.05,7.80,72.36,12.28,0.43,0.29,0.18,2.70,1.67,0.71,100.00
Māori Party,104,0.00,1.92,9.62,40.38,18.27,0.00,4.81,1.92,7.69,7.69,7.69,100.00
National Party,14411,3.09,0.06,0.41,1.21,91.68,1.36,0.12,0.08,0.61,0.92,0.46,100.00
New Conservative,511,0.59,0.20,0.78,1.76,15.46,78.08,0.00,0.20,0.00,1.76,1.17,100.00
New Zealand First Party,802,4.86,0.62,5.49,35.41,34.79,4.24,1.25,0.75,4.74,6.11,1.75,100.00
NZ Outdoors Party,26,0.00,0.00,0.00,7.69,7.69,3.85,69.23,3.85,3.85,3.85,0.00,100.00
ONE Party,32,3.12,9.38,3.12,9.38,21.88,40.62,3.12,0.00,9.38,0.00,0.00,100.00
Social Credit,5,0.00,0.00,40.00,0.00,20.00,0.00,0.00,0.00,20.00,20.00,0.00,100.00
Sustainable New Zealand Party,38,0.00,2.63,10.53,10.53,26.32,0.00,0.00,42.11,5.26,2.63,0.00,100.00
TEA Party,80,15.00,0.00,7.50,17.50,50.00,1.25,0.00,0.00,3.75,5.00,0.00,100.00
The Opportunities Party (TOP),806,0.87,0.25,2.73,14.14,13.90,0.62,0.12,0.50,65.51,0.37,0.99,100.00
Vision New Zealand,7,0.00,28.57,0.00,14.29,14.29,0.00,14.29,0.00,0.00,28.57,0.00,100.00
Informal Party Votes,178,1.69,0.00,3.37,14.04,15.73,1.69,0.56,0.00,1.12,60.11,1.69,100.00
Total Party Votes and Percentages,42497,3.76,0.47,6.11,36.40,45.18,1.86,0.32,0.20,3.51,1.56,0.62,100.00
