31 Northcote,Total Party Votes,"KRONFELD, Timothy Paul (ACT New Zealand)","FAIRLEY, Natasha Josephine (Green Party)","HALBERT, Shanan (Labour Party)","BIDOIS, Daniel Michael (National Party)","DYET, William Richard McInnes (New Conservative)","USMANI, Lynn Donna (NZ Outdoors Party)","READ, Bevan Harding (Sustainable New Zealand Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2935,15.67,0.72,6.10,75.57,0.31,0.24,0.03,0.85,0.51,100.00
Advance NZ,231,13.42,9.96,6.06,24.24,17.32,12.99,5.63,9.52,0.87,100.00
Aotearoa Legalise Cannabis Party,95,4.21,27.37,41.05,8.42,0.00,4.21,4.21,8.42,2.11,100.00
Green Party,3482,0.29,20.71,67.83,8.82,0.11,0.17,0.60,0.78,0.69,100.00
HeartlandNZ,2,0.00,0.00,50.00,0.00,0.00,50.00,0.00,0.00,0.00,100.00
Labour Party,19860,0.52,4.60,77.74,14.19,0.16,0.12,0.26,1.58,0.83,100.00
Māori Party,93,2.15,12.90,41.94,30.11,2.15,1.08,2.15,4.30,3.23,100.00
National Party,11086,1.31,0.52,2.19,93.02,0.85,0.05,0.05,1.38,0.62,100.00
New Conservative,536,0.19,0.19,3.17,26.31,67.35,0.19,0.00,1.49,1.12,100.00
New Zealand First Party,774,3.88,3.36,43.54,35.27,5.30,1.42,1.03,5.56,0.65,100.00
NZ Outdoors Party,26,3.85,3.85,15.38,15.38,11.54,50.00,0.00,0.00,0.00,100.00
ONE Party,44,2.27,2.27,11.36,38.64,22.73,0.00,2.27,20.45,0.00,100.00
Social Credit,10,0.00,0.00,50.00,20.00,10.00,0.00,20.00,0.00,0.00,100.00
Sustainable New Zealand Party,53,1.89,3.77,18.87,24.53,1.89,1.89,47.17,0.00,0.00,100.00
TEA Party,89,3.37,2.25,6.74,65.17,2.25,2.25,2.25,13.48,2.25,100.00
The Opportunities Party (TOP),741,1.75,11.74,46.02,34.01,0.00,0.81,2.56,1.62,1.48,100.00
Vision New Zealand,13,0.00,23.08,7.69,53.85,0.00,7.69,0.00,7.69,0.00,100.00
Informal Party Votes,212,0.47,3.30,20.28,17.45,0.47,0.00,0.47,56.13,1.42,100.00
Total Party Votes and Percentages,40282,2.00,4.73,47.38,41.09,1.49,0.28,0.39,1.88,0.76,100.00
