32 Northland,Total Party Votes,"CAMERON, Mark Stuart (ACT New Zealand)","MITCHELL, Nathan John (Advance NZ)","TANA HOFF-NIELSEN, Darleen Sheree (Green Party)","XIAO, Yuhui (Harmony)","PRIME, Willow-Jean (Labour Party)","KING, Ronald Matthew (National Party)","BARFOOTE, Trevor James (New Conservative)","JONES, Shane Geoffrey (New Zealand First Party)","MITCALFE, Michele Andra (NZ Outdoors Party)","FLUTEY, Brad Raymond (Social Credit)","MARSH, Helen Gordon (The Opportunities Party (TOP))","SHAW, Michael William (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4326,17.08,0.32,0.49,0.05,3.28,70.55,0.72,5.69,0.35,0.02,0.25,0.49,0.37,0.35,100.00
Advance NZ,949,0.74,75.66,0.53,0.21,2.53,6.32,1.05,5.37,2.32,0.32,0.53,2.21,0.95,1.26,100.00
Aotearoa Legalise Cannabis Party,294,1.70,2.72,20.07,0.68,30.95,8.84,2.04,5.10,7.14,1.02,1.36,5.10,5.44,7.82,100.00
Green Party,2772,0.25,0.14,23.16,0.14,62.77,4.22,0.22,5.45,0.36,0.25,0.97,0.40,0.87,0.79,100.00
HeartlandNZ,3,0.00,0.00,0.00,0.00,0.00,66.67,0.00,33.33,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,19997,0.80,0.18,4.58,0.06,71.33,8.00,0.26,11.05,0.24,0.09,0.44,0.47,1.33,1.18,100.00
Māori Party,181,1.66,1.66,10.50,0.00,36.46,8.29,0.55,23.20,2.21,0.55,1.66,4.42,2.76,6.08,100.00
National Party,12496,2.58,0.20,0.18,0.01,0.97,90.56,0.58,3.04,0.11,0.02,0.06,0.53,0.85,0.32,100.00
New Conservative,842,1.66,0.83,0.36,0.00,1.78,27.67,54.16,3.92,0.48,0.12,0.00,7.72,0.71,0.59,100.00
New Zealand First Party,2651,0.57,0.23,0.34,0.08,13.62,9.96,0.68,71.18,0.41,0.19,0.23,1.24,0.57,0.72,100.00
NZ Outdoors Party,106,0.00,3.77,3.77,0.00,4.72,19.81,0.00,6.60,55.66,0.00,0.94,2.83,1.89,0.00,100.00
ONE Party,248,0.00,4.03,1.21,0.00,6.05,18.15,10.48,7.66,0.40,0.40,0.81,47.18,2.82,0.81,100.00
Social Credit,69,0.00,0.00,1.45,0.00,8.70,13.04,0.00,13.04,0.00,57.97,0.00,4.35,1.45,0.00,100.00
Sustainable New Zealand Party,37,0.00,2.70,24.32,2.70,13.51,24.32,2.70,5.41,8.11,0.00,2.70,10.81,2.70,0.00,100.00
TEA Party,6,0.00,0.00,0.00,16.67,0.00,16.67,0.00,16.67,0.00,0.00,0.00,33.33,0.00,16.67,100.00
The Opportunities Party (TOP),460,1.09,1.30,4.35,0.00,26.96,16.09,0.00,9.35,1.09,0.00,36.52,1.74,0.87,0.65,100.00
Vision New Zealand,30,0.00,3.33,6.67,0.00,10.00,20.00,0.00,13.33,3.33,0.00,3.33,16.67,16.67,6.67,100.00
Informal Party Votes,363,0.55,1.10,3.86,0.55,23.42,14.33,1.65,4.96,0.28,0.00,0.55,1.10,44.90,2.75,100.00
Total Party Votes and Percentages,45830,2.79,1.85,3.82,0.06,37.24,36.88,1.50,11.17,0.48,0.18,0.71,1.05,1.41,0.87,100.00
