34 Ōtaki,Total Party Votes,"GRATTAN, Wayne Desmond (ACT New Zealand)","KAY, Michael Douglas (Attica)","LONG, Bernard John (Green Party)","NGOBI, Terisa Telesia (Labour Party)","COSTLEY, Timothy John (National Party)","FRAUENSTEIN, Martin Victor (New Conservative)","SEALA, Pisa (ONE Party)","VICKERS, Amanda Michelle (Social Credit)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3284,14.71,0.52,0.67,3.81,78.87,0.30,0.00,0.12,0.79,0.21,100.00
Advance NZ,372,6.45,12.10,14.52,10.48,22.85,12.10,3.23,7.26,10.48,0.54,100.00
Aotearoa Legalise Cannabis Party,141,3.55,4.26,26.95,40.43,9.93,0.71,1.42,2.13,6.38,4.26,100.00
Green Party,2947,0.44,0.95,23.82,65.02,8.08,0.00,0.10,0.20,0.81,0.58,100.00
HeartlandNZ,2,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,100.00
Labour Party,24023,0.76,0.25,4.67,77.94,13.50,0.21,0.09,0.22,1.69,0.67,100.00
Māori Party,141,2.13,2.84,13.48,54.61,17.02,0.71,0.00,2.13,2.84,4.26,100.00
National Party,12159,1.29,0.15,0.30,0.76,95.80,0.26,0.07,0.07,0.95,0.35,100.00
New Conservative,633,0.32,0.95,0.32,2.21,45.50,48.50,0.79,0.32,0.95,0.16,100.00
New Zealand First Party,1218,2.71,1.23,3.94,42.86,38.75,3.37,1.15,2.22,3.37,0.41,100.00
NZ Outdoors Party,41,7.32,24.39,2.44,24.39,29.27,0.00,0.00,7.32,4.88,0.00,100.00
ONE Party,144,0.00,0.00,0.69,9.72,27.78,0.00,59.03,0.00,1.39,1.39,100.00
Social Credit,60,1.67,3.33,1.67,10.00,6.67,0.00,3.33,66.67,6.67,0.00,100.00
Sustainable New Zealand Party,21,4.76,14.29,23.81,9.52,23.81,0.00,4.76,14.29,4.76,0.00,100.00
TEA Party,6,16.67,0.00,0.00,33.33,16.67,16.67,0.00,0.00,16.67,0.00,100.00
The Opportunities Party (TOP),485,2.06,4.74,15.26,41.65,30.10,1.03,0.21,2.68,1.24,1.03,100.00
Vision New Zealand,30,0.00,6.67,6.67,23.33,13.33,3.33,23.33,0.00,20.00,3.33,100.00
Informal Party Votes,300,0.00,0.67,2.33,19.67,21.00,0.00,0.00,0.00,52.67,3.67,100.00
Total Party Votes and Percentages,46007,2.00,0.52,4.64,47.53,41.04,1.08,0.35,0.42,1.85,0.58,100.00
