35 Pakuranga,Total Party Votes,"POON, Mo Yee (ACT New Zealand)","XU-NAN, Lawrence Xi (Green Party)","HENRY, Nerissa Carley (Labour Party)","BROWN, Simeon Peter (National Party)","SAMPSON, Ian Ronald (New Conservative)","WOOD, Rachel Dominique Natasha (Sustainable New Zealand Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3198,14.54,0.53,2.47,79.71,0.50,0.50,1.34,0.41,100.00
Advance NZ,193,5.18,7.25,5.70,41.97,22.80,4.15,11.40,1.55,100.00
Aotearoa Legalise Cannabis Party,68,1.47,25.00,27.94,29.41,0.00,2.94,13.24,0.00,100.00
Green Party,1731,0.46,35.12,44.54,15.66,0.17,2.54,0.87,0.64,100.00
HeartlandNZ,2,50.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,100.00
Labour Party,15698,0.94,4.96,64.28,25.23,0.26,0.82,2.60,0.93,100.00
Māori Party,73,4.11,9.59,36.99,36.99,2.74,4.11,2.74,2.74,100.00
National Party,14387,1.66,0.61,0.78,94.70,0.36,0.14,1.31,0.44,100.00
New Conservative,498,1.81,0.40,1.81,51.20,42.57,0.00,2.01,0.20,100.00
New Zealand First Party,806,3.10,2.73,31.14,50.25,4.84,2.85,3.47,1.61,100.00
NZ Outdoors Party,12,0.00,16.67,0.00,25.00,16.67,25.00,16.67,0.00,100.00
ONE Party,81,2.47,1.23,7.41,66.67,8.64,2.47,11.11,0.00,100.00
Social Credit,4,0.00,0.00,25.00,0.00,25.00,25.00,25.00,0.00,100.00
Sustainable New Zealand Party,34,0.00,5.88,0.00,26.47,0.00,67.65,0.00,0.00,100.00
TEA Party,175,12.00,7.43,8.57,61.14,0.00,1.14,9.14,0.57,100.00
The Opportunities Party (TOP),347,2.59,14.99,28.82,42.94,0.58,6.63,2.31,1.15,100.00
Vision New Zealand,28,3.57,3.57,21.43,25.00,10.71,7.14,17.86,10.71,100.00
Informal Party Votes,217,0.92,3.69,12.90,24.88,0.46,0.92,53.00,3.23,100.00
Total Party Votes and Percentages,37552,2.51,4.35,30.69,57.45,1.13,0.80,2.35,0.71,100.00
