39 Port Waikato,Total Party Votes,"KING, David Frederick (ACT New Zealand)","MACGREGOR, Jamie Ian (Advance NZ)","WILSON, William Robert (Green Party)","BALL, Mark Robert (HeartlandNZ)","KAUR, Baljit (Labour Party)","BAYLY, Andrew Henry (National Party)","SENN, Steven George (New Conservative)","RUTHERFURD, Lucille (NZ Outdoors Party)","JOHNSON, Ian William (ONE Party)","PAK, Nicholas Michael (Independent)","CUMMINGS, Ian James (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4343,16.69,0.14,0.21,25.40,1.52,53.99,0.23,0.41,0.05,0.02,0.39,0.46,0.48,100.00
Advance NZ,353,1.13,76.77,0.28,9.35,0.28,4.82,0.28,0.57,0.85,2.27,1.13,1.13,1.13,100.00
Aotearoa Legalise Cannabis Party,147,1.36,1.36,21.09,20.41,19.73,10.20,2.72,6.80,0.68,1.36,2.04,6.12,6.12,100.00
Green Party,1357,0.37,0.15,30.66,15.11,39.57,8.99,0.88,1.33,0.07,0.44,0.44,1.18,0.81,100.00
HeartlandNZ,574,0.52,0.00,0.70,85.54,1.74,7.67,0.35,0.35,0.17,0.35,0.35,1.57,0.70,100.00
Labour Party,16369,1.13,0.13,4.56,18.37,61.69,9.39,0.26,0.40,0.18,0.06,0.45,1.75,1.62,100.00
Māori Party,130,0.77,0.77,10.00,23.85,28.46,14.62,1.54,1.54,1.54,0.00,2.31,2.31,12.31,100.00
National Party,14756,2.47,0.14,0.24,19.55,0.45,74.65,0.43,0.06,0.12,0.03,0.47,0.83,0.56,100.00
New Conservative,684,0.58,0.15,1.32,14.62,0.29,18.57,52.92,0.73,1.32,0.00,8.19,0.88,0.44,100.00
New Zealand First Party,1190,2.27,1.09,2.52,32.35,26.55,22.52,1.85,1.43,1.51,0.17,2.94,3.45,1.34,100.00
NZ Outdoors Party,49,4.08,0.00,0.00,14.29,0.00,2.04,0.00,79.59,0.00,0.00,0.00,0.00,0.00,100.00
ONE Party,135,2.22,0.00,0.74,8.89,11.11,5.19,0.74,0.00,64.44,0.74,2.96,1.48,1.48,100.00
Social Credit,7,0.00,0.00,0.00,85.71,0.00,14.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Sustainable New Zealand Party,26,0.00,0.00,11.54,34.62,11.54,23.08,0.00,0.00,0.00,0.00,7.69,11.54,0.00,100.00
TEA Party,17,5.88,0.00,0.00,5.88,17.65,35.29,5.88,0.00,0.00,0.00,5.88,23.53,0.00,100.00
The Opportunities Party (TOP),374,2.41,0.53,10.96,29.95,25.94,18.45,1.07,5.88,0.27,0.53,2.14,0.80,1.07,100.00
Vision New Zealand,22,0.00,0.00,0.00,18.18,27.27,18.18,9.09,0.00,9.09,4.55,0.00,4.55,9.09,100.00
Informal Party Votes,269,1.49,0.37,1.12,15.24,13.01,11.90,0.00,0.00,0.37,0.37,0.00,53.90,2.23,100.00
Total Party Votes and Percentages,40802,3.28,0.84,3.29,20.74,27.75,38.32,1.30,0.51,0.43,0.10,0.70,1.65,1.09,100.00
