04 Botany,Total Party Votes,"SMITH, Damien Francis (ACT New Zealand)","CHEN, Naisi (Labour Party)","LUXON, Christopher (National Party)","DE BOER, Dirk Willem (New Conservative)","FLEMING, Peter William (Sustainable New Zealand Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2563,22.59,3.04,71.67,0.82,0.31,1.01,0.55,100.00
Advance NZ,159,15.09,14.47,23.90,20.13,12.58,11.95,1.89,100.00
Aotearoa Legalise Cannabis Party,76,11.84,53.95,15.79,3.95,5.26,6.58,2.63,100.00
Green Party,1236,2.27,70.71,16.50,1.38,4.53,3.32,1.29,100.00
HeartlandNZ,5,20.00,0.00,60.00,0.00,0.00,0.00,20.00,100.00
Labour Party,17900,1.80,73.40,18.39,0.54,0.96,3.80,1.11,100.00
Māori Party,70,2.86,54.29,24.29,5.71,4.29,5.71,2.86,100.00
National Party,13970,1.48,2.45,92.51,0.56,0.21,2.08,0.72,100.00
New Conservative,536,0.93,3.54,35.26,56.72,0.93,1.68,0.93,100.00
New Zealand First Party,541,5.36,37.34,40.67,5.73,4.07,6.10,0.74,100.00
NZ Outdoors Party,15,20.00,13.33,60.00,0.00,6.67,0.00,0.00,100.00
ONE Party,85,4.71,20.00,42.35,17.65,2.35,11.76,1.18,100.00
Social Credit,4,0.00,50.00,25.00,25.00,0.00,0.00,0.00,100.00
Sustainable New Zealand Party,26,0.00,30.77,23.08,3.85,34.62,3.85,3.85,100.00
TEA Party,152,3.29,34.21,46.71,3.95,1.97,8.55,1.32,100.00
The Opportunities Party (TOP),237,5.06,46.84,37.55,0.42,8.44,1.27,0.42,100.00
Vision New Zealand,40,7.50,20.00,22.50,27.50,5.00,15.00,2.50,100.00
Informal Party Votes,261,0.77,23.75,22.99,1.15,0.77,47.51,3.07,100.00
Total Party Votes and Percentages,37876,3.26,39.65,50.21,1.65,0.95,3.34,0.95,100.00
