42 Remutaka,Total Party Votes,"O'SULLIVAN, Graeme Arthur (ACT New Zealand)","STACE, Michael Alexander (Advance NZ)","NORTON, Christopher Bruce (Green Party)","HIPKINS, Christopher John (Labour Party)","CROFSKEY, Mark Baden (National Party)","OPTLAND, Hendrik Johannes (New Conservative)","MEIKLE, Talani Cavelle (New Zealand First Party)","EIJGENRAAM, Frank Alexander (ONE Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2607,24.01,0.12,0.61,22.78,50.06,0.38,0.81,0.38,0.54,0.31,100.00
Advance NZ,245,3.67,75.51,1.22,7.35,5.31,2.45,1.22,0.82,0.82,1.63,100.00
Aotearoa Legalise Cannabis Party,132,3.03,3.79,13.64,54.55,6.82,0.00,5.30,1.52,3.79,7.58,100.00
Green Party,3105,0.16,0.13,22.13,74.24,1.80,0.16,0.45,0.23,0.52,0.19,100.00
HeartlandNZ,2,0.00,0.00,0.00,50.00,0.00,0.00,50.00,0.00,0.00,0.00,100.00
Labour Party,25347,0.30,0.04,2.78,92.53,1.31,0.09,0.69,0.24,1.38,0.64,100.00
Māori Party,171,0.58,1.17,15.20,56.73,5.85,2.92,5.26,4.68,4.09,3.51,100.00
National Party,8274,2.32,0.27,0.41,14.07,79.18,1.05,0.34,0.86,1.22,0.29,100.00
New Conservative,686,0.58,0.44,0.29,7.58,18.37,65.74,0.73,5.54,0.73,0.00,100.00
New Zealand First Party,1296,0.69,0.39,0.69,56.40,11.88,0.93,25.62,0.85,2.16,0.39,100.00
NZ Outdoors Party,27,3.70,7.41,18.52,55.56,3.70,0.00,0.00,7.41,3.70,0.00,100.00
ONE Party,462,0.22,0.43,0.43,13.64,4.55,0.22,0.22,78.35,1.73,0.22,100.00
Social Credit,16,6.25,18.75,0.00,56.25,0.00,6.25,6.25,0.00,6.25,0.00,100.00
Sustainable New Zealand Party,24,4.17,4.17,20.83,41.67,16.67,0.00,4.17,8.33,0.00,0.00,100.00
TEA Party,6,0.00,0.00,16.67,66.67,0.00,0.00,0.00,16.67,0.00,0.00,100.00
The Opportunities Party (TOP),822,2.80,0.49,11.44,62.41,13.75,1.34,3.16,1.70,2.19,0.73,100.00
Vision New Zealand,70,0.00,7.14,2.86,20.00,14.29,7.14,11.43,14.29,22.86,0.00,100.00
Informal Party Votes,283,0.00,0.35,0.71,35.69,5.30,0.00,0.71,0.71,54.77,1.77,100.00
Total Party Votes and Percentages,43575,2.18,0.59,3.69,67.05,20.01,1.42,1.46,1.38,1.67,0.55,100.00
