46 Southland,Total Party Votes,"WILSON, Robert Douglas (Advance NZ)","KENNEDY, David John (Green Party)","MITCHELL, John Frederick (Labour Party)","MOONEY, Joseph (National Party)","MEYER, Fiona Joy (New Conservative)","TERRILL, Judith Anne (ONE Party)","DACKER, Elisabeth Roimata (Social Credit)","ROWLANDS, Joel (The Opportunities Party (TOP))",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,5016,1.34,1.63,6.30,84.13,1.73,0.14,0.42,2.05,1.63,0.62,100.00
Advance NZ,373,81.23,0.27,3.22,6.70,1.34,1.07,1.07,2.68,1.34,1.07,100.00
Aotearoa Legalise Cannabis Party,151,6.62,21.19,35.10,17.88,1.32,1.32,1.32,7.28,4.64,3.31,100.00
Green Party,2085,0.19,34.77,53.14,6.47,0.29,0.19,0.48,3.12,0.62,0.72,100.00
HeartlandNZ,8,0.00,12.50,12.50,37.50,12.50,0.00,12.50,0.00,12.50,0.00,100.00
Labour Party,15341,0.22,7.29,79.38,8.50,0.29,0.10,0.18,1.77,1.68,0.58,100.00
Māori Party,60,1.67,18.33,35.00,20.00,1.67,5.00,1.67,8.33,0.00,8.33,100.00
National Party,14244,0.25,0.57,1.02,95.59,0.65,0.13,0.06,0.28,1.05,0.39,100.00
New Conservative,588,1.70,1.36,2.72,27.38,62.93,0.00,0.17,1.87,1.19,0.68,100.00
New Zealand First Party,794,3.27,2.39,37.66,35.77,5.42,1.26,3.90,3.65,6.05,0.63,100.00
NZ Outdoors Party,56,17.86,8.93,14.29,30.36,3.57,3.57,3.57,12.50,5.36,0.00,100.00
ONE Party,78,2.56,1.28,2.56,10.26,2.56,79.49,0.00,0.00,0.00,1.28,100.00
Social Credit,39,0.00,0.00,10.26,17.95,0.00,0.00,69.23,0.00,2.56,0.00,100.00
Sustainable New Zealand Party,25,0.00,32.00,16.00,36.00,0.00,0.00,0.00,16.00,0.00,0.00,100.00
TEA Party,6,16.67,0.00,0.00,50.00,0.00,16.67,0.00,0.00,16.67,0.00,100.00
The Opportunities Party (TOP),616,0.32,4.87,23.05,17.53,0.16,0.16,0.16,52.60,0.97,0.16,100.00
Vision New Zealand,7,14.29,0.00,14.29,28.57,28.57,0.00,0.00,0.00,0.00,14.29,100.00
Informal Party Votes,164,0.61,2.44,11.59,20.73,2.44,0.00,0.61,0.00,60.37,1.22,100.00
Total Party Votes and Percentages,39651,1.28,5.36,36.14,50.38,1.67,0.33,0.35,2.22,1.71,0.55,100.00
