48 Takanini,Total Party Votes,"McCORMICK, Michael Andrew (ACT New Zealand)","KAGATHRA, Mitesh Harkant (Advance NZ)","ASI TUIATAGA LEAVASA, Neru (Labour Party)","NAKHLE, Rima Jillian (National Party)","IKILEI, Elliot Ewen Pasione (New Conservative)","HONG, Cheng Chen (TEA Party)","GEORGE, Ngatai (Vision New Zealand)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,1688,34.48,0.18,6.28,53.26,1.07,2.90,0.12,1.24,0.47,100.00
Advance NZ,223,1.35,67.71,10.76,6.28,4.48,1.35,3.14,1.79,3.14,100.00
Aotearoa Legalise Cannabis Party,97,7.22,0.00,55.67,6.19,2.06,5.15,6.19,7.22,10.31,100.00
Green Party,1206,1.49,0.66,82.75,7.13,0.75,1.49,1.16,2.82,1.74,100.00
HeartlandNZ,3,0.00,0.00,0.00,33.33,0.00,33.33,0.00,33.33,0.00,100.00
Labour Party,20022,1.27,0.12,86.10,5.03,0.52,1.20,0.48,3.50,1.78,100.00
Māori Party,162,4.32,2.47,56.17,9.88,2.47,1.23,11.73,2.47,9.26,100.00
National Party,10952,3.37,0.10,2.14,85.28,1.85,3.30,0.31,2.93,0.72,100.00
New Conservative,618,0.49,0.16,3.07,8.09,84.30,0.81,0.49,1.29,1.29,100.00
New Zealand First Party,722,5.26,1.39,56.23,22.02,5.82,1.66,3.19,3.46,0.97,100.00
NZ Outdoors Party,15,20.00,0.00,6.67,33.33,0.00,13.33,20.00,0.00,6.67,100.00
ONE Party,69,2.90,2.90,27.54,14.49,13.04,5.80,15.94,13.04,4.35,100.00
Social Credit,2,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,100.00
Sustainable New Zealand Party,13,7.69,0.00,15.38,46.15,7.69,0.00,15.38,7.69,0.00,100.00
TEA Party,211,0.00,0.47,0.47,3.79,0.00,89.57,0.47,3.32,1.90,100.00
The Opportunities Party (TOP),219,6.85,0.00,57.99,21.92,2.74,0.91,2.28,5.48,1.83,100.00
Vision New Zealand,183,0.00,0.00,4.92,3.83,3.83,1.09,72.68,7.65,6.01,100.00
Informal Party Votes,318,1.57,0.00,31.76,13.84,0.63,2.20,0.31,48.11,1.57,100.00
Total Party Votes and Percentages,36723,3.56,0.59,52.91,31.88,2.56,2.46,0.98,3.60,1.47,100.00
