05 Christchurch Central,Total Party Votes,"JOHNSON, Abigail Kate (ACT New Zealand)","CHURCH, Carole Maree (Advance NZ)","BRITNELL, Michael Allan (Aotearoa Legalise Cannabis Party)","HORN, Chrys Marie Isabelle (Green Party)","WEBB, Duncan Alexander (Labour Party)","STEPHENS, Dale Aotea (National Party)","PRICE, Benjamin Daniel (New Conservative)","ARNEIL, Mark Russell (New Zealand First Party)","WEBB, Kenneth George (ONE Party)","LAURIE, Hayden (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2507,26.61,0.20,0.84,0.76,11.81,57.56,0.28,0.60,0.00,0.28,0.52,0.56,100.00
Advance NZ,325,0.62,83.08,2.15,1.23,2.77,4.62,0.92,0.31,0.31,0.31,1.85,1.85,100.00
Aotearoa Legalise Cannabis Party,257,0.00,0.78,73.15,1.95,14.40,0.78,0.00,1.56,0.39,0.39,3.11,3.50,100.00
Green Party,5168,0.23,0.21,0.62,21.77,72.76,2.98,0.06,0.06,0.06,0.14,0.50,0.62,100.00
HeartlandNZ,2,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,100.00
Labour Party,21681,0.67,0.11,1.65,5.39,85.33,3.16,0.09,0.65,0.23,0.17,1.55,1.01,100.00
Māori Party,142,2.82,1.41,4.93,11.97,46.48,15.49,1.41,2.11,2.11,2.11,1.41,7.75,100.00
National Party,7921,2.40,0.19,0.35,0.63,4.65,88.69,0.81,0.32,0.09,0.13,1.15,0.61,100.00
New Conservative,478,0.63,0.84,0.21,1.05,5.02,25.10,63.81,0.84,0.42,0.21,1.26,0.63,100.00
New Zealand First Party,862,1.04,0.81,1.39,1.39,35.03,17.29,1.16,38.05,0.12,0.46,2.09,1.16,100.00
NZ Outdoors Party,24,0.00,0.00,29.17,20.83,12.50,8.33,4.17,0.00,4.17,4.17,16.67,0.00,100.00
ONE Party,92,1.09,1.09,0.00,0.00,13.04,7.61,2.17,0.00,69.57,0.00,3.26,2.17,100.00
Social Credit,20,10.00,5.00,0.00,20.00,30.00,0.00,0.00,10.00,5.00,0.00,20.00,0.00,100.00
Sustainable New Zealand Party,24,16.67,0.00,12.50,16.67,20.83,20.83,0.00,0.00,0.00,12.50,0.00,0.00,100.00
TEA Party,11,9.09,9.09,9.09,0.00,18.18,27.27,0.00,0.00,0.00,9.09,9.09,9.09,100.00
The Opportunities Party (TOP),887,3.04,0.90,3.49,15.90,50.17,19.84,0.90,1.35,0.23,1.80,1.92,0.45,100.00
Vision New Zealand,22,9.09,9.09,0.00,4.55,27.27,9.09,0.00,9.09,18.18,0.00,9.09,4.55,100.00
Informal Party Votes,312,0.32,0.64,2.88,1.60,28.53,7.37,1.60,1.28,0.96,0.64,51.92,2.24,100.00
Total Party Votes and Percentages,40735,2.63,0.87,1.73,6.30,58.75,24.14,1.06,1.34,0.35,0.23,1.72,0.90,100.00
