52 Tauranga,Total Party Votes,"LUXTON, Cameron Gib (ACT New Zealand)","CROSA, Daniel Armando (Advance NZ)","COLE, Joshua Jarad (Green Party)","TINETTI, Janette Rose (Labour Party)","BRIDGES, Simon (National Party)","HIGNETT, Paul Anthony (New Conservative)","HARVEY, Erika Lyn (New Zealand First Party)","LIVINGSTON-POOLEY, Tracy Jane (NZ Outdoors Party)","CAIE, Andrew Stephen (The Opportunities Party (TOP))","LAMARE, Yvette Nora (Independent)","CAPAMAGIAN, James William Douglas (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3952,23.46,0.05,0.58,4.76,66.68,0.51,1.09,0.51,0.68,0.13,0.20,0.91,0.46,100.00
Advance NZ,540,0.93,73.89,2.41,3.15,9.81,1.30,1.85,1.67,0.37,0.00,1.11,0.74,2.78,100.00
Aotearoa Legalise Cannabis Party,139,2.16,4.32,23.74,28.78,10.79,0.72,4.32,6.47,0.72,2.88,2.88,7.19,5.04,100.00
Green Party,2407,0.87,0.21,28.54,56.83,6.86,0.04,0.54,0.58,3.91,0.08,0.12,0.83,0.58,100.00
HeartlandNZ,3,0.00,0.00,0.00,0.00,66.67,0.00,0.00,0.00,0.00,33.33,0.00,0.00,0.00,100.00
Labour Party,18547,1.22,0.10,5.26,76.99,9.75,0.15,2.10,0.31,1.32,0.11,0.15,1.45,1.09,100.00
Māori Party,155,1.29,0.65,10.97,47.74,20.65,0.00,5.16,1.29,5.16,1.94,0.00,3.23,1.94,100.00
National Party,14347,3.56,0.15,0.52,1.47,90.23,0.62,0.92,0.17,0.40,0.11,0.17,1.17,0.50,100.00
New Conservative,1032,0.58,0.39,0.29,2.13,41.18,52.13,1.16,0.39,0.39,0.10,0.10,0.87,0.29,100.00
New Zealand First Party,1595,1.50,0.25,1.19,24.76,21.50,1.00,46.33,0.25,1.00,0.13,0.13,1.19,0.75,100.00
NZ Outdoors Party,53,7.55,0.00,1.89,3.77,20.75,0.00,0.00,52.83,3.77,5.66,0.00,1.89,1.89,100.00
ONE Party,95,1.05,3.16,1.05,5.26,58.95,20.00,2.11,1.05,1.05,2.11,1.05,2.11,1.05,100.00
Social Credit,11,0.00,0.00,18.18,36.36,18.18,9.09,18.18,0.00,0.00,0.00,0.00,0.00,0.00,100.00
Sustainable New Zealand Party,31,3.23,3.23,12.90,19.35,32.26,0.00,0.00,19.35,0.00,0.00,3.23,3.23,3.23,100.00
TEA Party,9,0.00,0.00,0.00,0.00,33.33,0.00,0.00,11.11,11.11,11.11,11.11,22.22,0.00,100.00
The Opportunities Party (TOP),847,0.35,0.12,4.72,21.13,13.93,0.35,1.18,0.35,56.08,0.24,0.00,0.35,1.18,100.00
Vision New Zealand,51,0.00,5.88,5.88,11.76,21.57,1.96,11.76,5.88,1.96,0.00,0.00,21.57,11.76,100.00
Informal Party Votes,334,1.50,0.90,1.20,20.66,25.75,0.30,2.10,0.60,0.30,0.00,0.90,43.71,2.10,100.00
Total Party Votes and Percentages,44148,3.94,1.07,4.31,38.20,42.41,1.64,3.12,0.43,2.12,0.14,0.19,1.60,0.84,100.00
