06 Christchurch East,Total Party Votes,"SEVERIN, Toni Gae (ACT New Zealand)","McCONNELL, Glen Samuel (Advance NZ)","LAMBERT, Paula (Aotearoa Legalise Cannabis Party)","BERRY, Nicola Jane (Green Party)","WILLIAMS, Munokoa Poto (Labour Party)","PLATT, Lincoln (National Party)","HOUGHTON, Helen (New Conservative)","McCARTHY, Charlotte Miria (NZ Outdoors Party)","EASON, Paula Maree (ONE Party)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2511,34.93,0.56,0.84,1.15,12.43,46.08,1.63,0.68,0.04,1.23,0.44,100.00
Advance NZ,357,0.28,78.99,1.12,2.80,5.04,3.36,3.64,0.28,0.84,0.84,2.80,100.00
Aotearoa Legalise Cannabis Party,256,0.00,0.39,69.14,3.52,17.58,2.73,0.39,0.78,0.39,1.17,3.91,100.00
Green Party,3447,0.17,0.09,1.77,29.50,63.56,2.41,0.32,0.29,0.06,0.90,0.93,100.00
HeartlandNZ,8,0.00,0.00,0.00,0.00,75.00,0.00,12.50,12.50,0.00,0.00,0.00,100.00
Labour Party,24563,0.63,0.15,1.80,5.61,85.97,2.43,0.41,0.34,0.15,1.42,1.07,100.00
Māori Party,141,0.71,2.84,3.55,10.64,53.90,12.77,2.84,0.00,2.84,4.96,4.96,100.00
National Party,6760,3.31,0.33,0.84,1.18,5.95,83.65,2.13,0.21,0.24,1.46,0.70,100.00
New Conservative,827,0.24,0.48,0.85,0.85,5.08,10.04,79.20,0.48,0.97,1.09,0.73,100.00
New Zealand First Party,1015,3.65,1.38,3.35,4.53,56.65,15.67,5.42,2.96,0.79,5.02,0.59,100.00
NZ Outdoors Party,67,2.99,1.49,5.97,5.97,25.37,2.99,0.00,50.75,0.00,1.49,2.99,100.00
ONE Party,135,2.22,0.74,0.00,0.74,9.63,5.19,2.96,0.00,71.85,2.96,3.70,100.00
Social Credit,20,0.00,5.00,5.00,20.00,30.00,15.00,5.00,5.00,0.00,15.00,0.00,100.00
Sustainable New Zealand Party,33,6.06,0.00,9.09,15.15,30.30,15.15,3.03,15.15,0.00,6.06,0.00,100.00
TEA Party,6,0.00,0.00,33.33,0.00,16.67,0.00,16.67,33.33,0.00,0.00,0.00,100.00
The Opportunities Party (TOP),582,4.98,0.86,3.44,18.04,50.00,14.78,1.72,1.20,0.34,3.61,1.03,100.00
Vision New Zealand,32,0.00,9.38,3.12,6.25,25.00,6.25,15.62,9.38,12.50,9.38,3.12,100.00
Informal Party Votes,299,0.33,0.67,1.67,2.34,34.45,7.36,0.67,0.00,0.33,50.17,2.01,100.00
Total Party Votes and Percentages,41059,3.26,0.96,2.05,6.62,61.46,19.24,2.56,0.52,0.45,1.87,1.01,100.00
