61 West Coast-Tasman,Total Party Votes,"GARDNER, William Stuart (ACT New Zealand)","FITZSIMON, Anne (Advance NZ)","RICHARDS, Stephen Thomas (Green Party)","O'CONNOR, Damien Peter (Labour Party)","OSMASTON, Richard (Money Free Party)","PUGH, Maureen Helena (National Party)","BARKLEY, Karl (New Conservative)","FARRELLY, Jacqueline Ann (New Zealand First Party)","KING, Luke Fabian (NZ Outdoors Party)","COLLIN, John Edward (Social Credit)","EWEN, Richard Peter (Independent)","AITKEN, Cory Alexander (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,4237,21.60,0.64,0.71,10.41,0.00,60.30,0.97,0.38,1.58,0.26,1.75,0.33,0.73,0.35,100.00
Advance NZ,747,0.67,74.30,3.08,4.69,0.54,7.90,1.07,0.13,4.82,0.67,1.07,0.27,0.54,0.27,100.00
Aotearoa Legalise Cannabis Party,250,1.20,1.20,17.20,35.20,3.20,13.60,2.00,1.60,12.40,1.20,2.00,2.00,4.80,2.40,100.00
Green Party,3572,0.14,0.28,27.13,67.92,0.28,1.76,0.00,0.06,0.95,0.20,0.06,0.22,0.59,0.42,100.00
HeartlandNZ,5,0.00,0.00,0.00,20.00,0.00,20.00,0.00,20.00,0.00,0.00,20.00,20.00,0.00,0.00,100.00
Labour Party,20521,0.90,0.30,5.31,79.41,0.12,7.25,0.25,1.13,0.91,0.23,1.81,0.49,1.32,0.59,100.00
Māori Party,88,0.00,0.00,14.77,44.32,1.14,21.59,1.14,5.68,2.27,2.27,3.41,1.14,1.14,1.14,100.00
National Party,10934,2.67,0.16,0.32,4.50,0.05,88.56,0.59,0.29,0.29,0.10,1.12,0.21,0.78,0.35,100.00
New Conservative,730,0.14,1.37,1.23,10.41,0.00,27.12,53.29,1.51,1.92,0.14,1.10,0.41,1.23,0.14,100.00
New Zealand First Party,1281,1.64,0.94,1.48,35.75,0.47,20.06,1.56,28.34,2.11,0.39,4.76,1.17,1.01,0.31,100.00
NZ Outdoors Party,229,2.18,2.18,3.49,12.66,0.44,5.24,2.62,0.87,66.38,0.44,1.31,0.87,0.44,0.87,100.00
ONE Party,60,1.67,5.00,3.33,16.67,1.67,36.67,16.67,6.67,8.33,0.00,1.67,0.00,1.67,0.00,100.00
Social Credit,78,1.28,1.28,1.28,14.10,0.00,10.26,1.28,0.00,2.56,51.28,8.97,5.13,0.00,2.56,100.00
Sustainable New Zealand Party,33,0.00,3.03,33.33,21.21,0.00,18.18,3.03,0.00,6.06,0.00,6.06,9.09,0.00,0.00,100.00
TEA Party,8,12.50,12.50,25.00,25.00,0.00,0.00,12.50,0.00,0.00,0.00,0.00,12.50,0.00,0.00,100.00
The Opportunities Party (TOP),553,3.25,0.72,14.65,48.64,0.90,16.82,0.54,1.81,4.16,1.27,3.07,2.53,1.45,0.18,100.00
Vision New Zealand,21,4.76,9.52,4.76,14.29,4.76,19.05,9.52,0.00,0.00,0.00,4.76,19.05,4.76,4.76,100.00
Informal Party Votes,288,0.35,1.39,1.39,24.65,0.69,15.28,0.35,1.04,1.74,0.00,3.47,0.35,48.26,1.04,100.00
Total Party Votes and Percentages,43635,3.33,1.64,5.36,47.56,0.16,33.33,1.39,1.57,1.42,0.32,1.60,0.46,1.37,0.49,100.00
