62 Whanganui,Total Party Votes,"WEBER, Charlotte (Advance NZ)","CLAY, Alan Victor (Green Party)","LEWIS CARR, Stephanie (Labour Party)","HIPANGO, Harete (National Party)","MARSHALL, Jonathan Kevin Philip (New Conservative)","SMITH, Heather Marion (Social Credit)","KIEFT, Hillary Ann (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,3260,2.45,1.56,15.28,70.89,2.64,0.80,2.21,3.80,0.37,100.00
Advance NZ,531,77.40,1.13,3.58,10.55,1.13,0.38,2.07,1.88,1.88,100.00
Aotearoa Legalise Cannabis Party,198,5.56,26.77,41.41,4.04,3.03,1.01,4.55,8.59,5.05,100.00
Green Party,2004,0.45,25.75,66.12,5.24,0.20,0.30,0.55,0.85,0.55,100.00
HeartlandNZ,2,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,100.00
Labour Party,21228,0.36,3.24,88.44,4.49,0.28,0.17,0.40,1.92,0.70,100.00
Māori Party,222,3.60,13.96,53.15,17.12,1.35,0.45,1.35,4.50,4.50,100.00
National Party,10828,0.62,0.54,3.37,91.05,1.15,0.23,0.66,1.96,0.42,100.00
New Conservative,690,1.59,0.43,4.06,34.93,56.23,0.43,0.87,1.01,0.43,100.00
New Zealand First Party,1368,3.51,2.27,54.24,25.07,4.97,1.97,2.92,4.75,0.29,100.00
NZ Outdoors Party,43,20.93,9.30,23.26,13.95,4.65,13.95,6.98,6.98,0.00,100.00
ONE Party,189,10.05,1.06,11.11,34.92,17.46,0.53,16.93,7.41,0.53,100.00
Social Credit,63,1.59,0.00,19.05,4.76,0.00,73.02,0.00,1.59,0.00,100.00
Sustainable New Zealand Party,24,4.17,12.50,50.00,16.67,0.00,0.00,8.33,8.33,0.00,100.00
TEA Party,5,40.00,0.00,20.00,0.00,0.00,0.00,40.00,0.00,0.00,100.00
The Opportunities Party (TOP),390,3.33,10.26,57.95,21.03,0.26,1.54,3.59,1.54,0.51,100.00
Vision New Zealand,10,20.00,0.00,20.00,10.00,0.00,0.00,20.00,30.00,0.00,100.00
Informal Party Votes,253,1.98,1.19,25.30,12.25,1.19,0.40,1.19,54.15,2.37,100.00
Total Party Votes and Percentages,41308,1.87,3.61,53.98,34.15,1.90,0.46,0.89,2.51,0.64,100.00
