65 Wigram,Total Party Votes,"McCONWAY, Miles Jacin (ACT New Zealand)","ALLINGTON, Douglas John (Advance NZ)","WESLEY, Richard Laurence (Green Party)","WOODS, Megan Cherie (Labour Party)","CAMPBELL, Hamish George (National Party)","NUTTALL, Averil Clare (New Conservative)","HANSEN, Christopher Michael (NZ Economic Euthenics Party)","McLAUGHLIN, Linda Elvira (ONE Party)","LANDRETH, Deane Phillip (Social Credit)","McTAGUE, Geoffrey William (Independent)",Informal Candidate Votes,Party Vote Only,Total %
ACT New Zealand,2247,30.40,0.22,1.02,16.20,48.78,0.62,0.31,0.18,0.13,0.18,1.25,0.71,100.00
Advance NZ,282,1.77,73.76,1.77,8.87,7.80,0.35,0.00,1.06,0.35,0.00,2.48,1.77,100.00
Aotearoa Legalise Cannabis Party,165,3.64,1.21,26.06,51.52,5.45,0.61,1.21,0.61,0.00,1.82,4.85,3.03,100.00
Green Party,3541,0.14,0.11,25.42,69.61,3.02,0.11,0.06,0.08,0.11,0.20,0.51,0.62,100.00
HeartlandNZ,5,20.00,0.00,0.00,40.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,100.00
Labour Party,21454,0.57,0.11,3.67,89.77,2.72,0.16,0.13,0.16,0.10,0.09,1.61,0.92,100.00
Māori Party,124,2.42,0.81,11.29,58.87,12.10,2.42,1.61,0.00,0.00,1.61,5.65,3.23,100.00
National Party,8388,2.25,0.27,0.60,7.78,84.78,1.04,0.15,0.46,0.08,0.07,1.85,0.66,100.00
New Conservative,639,0.47,1.10,0.31,9.23,15.34,68.39,0.16,1.72,0.00,0.31,1.72,1.25,100.00
New Zealand First Party,791,2.28,2.15,3.92,57.02,19.47,3.79,1.14,1.26,1.39,2.53,4.30,0.76,100.00
NZ Outdoors Party,28,7.14,3.57,7.14,21.43,10.71,3.57,21.43,0.00,3.57,10.71,7.14,3.57,100.00
ONE Party,162,1.23,0.00,0.00,8.02,10.49,1.85,0.00,76.54,0.00,0.62,0.62,0.62,100.00
Social Credit,31,3.23,3.23,0.00,22.58,3.23,0.00,3.23,0.00,61.29,0.00,3.23,0.00,100.00
Sustainable New Zealand Party,24,4.17,0.00,8.33,41.67,20.83,0.00,4.17,0.00,4.17,8.33,8.33,0.00,100.00
TEA Party,37,5.41,2.70,0.00,21.62,45.95,2.70,0.00,2.70,2.70,10.81,5.41,0.00,100.00
The Opportunities Party (TOP),957,2.72,1.25,16.51,57.78,15.78,1.99,0.31,0.84,0.52,0.63,1.25,0.42,100.00
Vision New Zealand,15,0.00,0.00,13.33,13.33,13.33,13.33,0.00,6.67,6.67,6.67,13.33,13.33,100.00
Informal Party Votes,404,0.74,0.74,0.50,37.38,5.94,0.25,0.25,0.99,0.25,0.25,51.24,1.49,100.00
Total Party Votes and Percentages,39294,2.73,0.78,5.15,61.55,23.96,1.62,0.19,0.62,0.19,0.21,2.14,0.85,100.00
